Programme,Sub-Programme,Approved Estimates (Kshs.),col_3,"Actual Expenditure as of 31st
March 2023 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",474,1
County Assembly,,,,,,,,474,1
Programme 1,Legislation,"504,559,078",,"301,842,338.30",,59.8,-,474,1
,Oversight,"40,000,000",,"34,444,025",,86.1,-,474,1
,"Staff Management
and Development","363,709,802","411,888,752","270,573,074","91,996,692",74.4,22.3,474,1
,Sub Total,"908,268,880.00","411,888,752.00","606,859,437.30","91,996,692.00",66.8,22.3,474,1
Governance and Administration,,,,,,,,474,1
"General
Administra-
tion, Planning
and Support
Services","General Adminis-
tration, Planning
and Support Ser-
vices","269,552,963","10,500,000","102,566,655.10",-,38.1,-,474,1
"The Office of
the Governor","The Office of the
Governor","141,425,762",,"52,507,873.40",,37.1,-,474,1
"County Public
Service Board","County Public Ser-
vice Board","61,651,031",,"5,587,354.80",,9.1,-,474,1
"Fire Fighting
and Disaster
Management","Fire Fighting and
Disaster Manage-
ment","6,567,848",,"2,238,026.20",,34.1,-,474,1
"Sub County
Administration","Sub County Ad-
ministration","97,557,046",,"3,062,934.95",,3.1,-,474,1
"Human
Resource
Management","Human Resource
Management","30,294,879",,"614,250",,2.0,-,474,1
,Sub-Total,"607,049,529.00","10,500,000.00","166,577,094.45",-,27.4,-,474,1
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",475,0
Finance and Economic Planning,,,,,,,,475,0
"Financial Ser-
vices",Financial Services,"17,058,211",,"3,299,115",,19.3,-,475,0
"Administration,
Planning,
Revenue and
Accounting","Administration,
Planning, Revenue
and Accounting","786,819,350","36,946,152","205,789,719.30",-,26.2,-,475,0
Procurement,Procurement,"5,454,630",,"3,068,060",,56.2,-,475,0
Budget Services,Budget Services,"42,535,007",,"32,155,769",,75.6,-,475,0
Internal Audit,Internal Audit,"10,239,329",,"6,549,073",,64.0,-,475,0
"Economic
Planning
Services","Economic Plan-
ning Services","46,104,736",,"19,998,111.85",,43.4,-,475,0
"Economic
Planning
Services","Economic Plan-
ning Services","34,396,309",,"17,646,767",,51.3,-,475,0
,Sub -Total,"942,607,572.00","36,946,152.00","288,506,615.15",-,30.6,-,475,0
"Agriculture, Food, Livestock and Fisheries",,,,,,,,475,0
