Department,Programme,Sub-Programme,"Approved
Estimates
(Kshs.)","Actual Ex-
penditure as
of 31st March
2023","Absorption
Rate (%)",page_number,table_index
Governor’s Office,"General administration
support services",Employee Support Services,"184,145,119","126,224,424",68.5,564,0
,,,,,,564,0
Finance,Financial Services,Financial Services,"340,581,459","265,468,755",77.9,564,0
,,,,,,564,0
"Public Service Manage-
ment","General administration
support services",Administrative support services,"636,190,785","496,270,859",78.0,564,0
,"Records management ser-
vices",Registry Services,"455,000","120,600",26.5,564,0
,,Library Services,"62,048,000","9,018,262",14.5,564,0
,,,,,,564,0
"ICT, E-Government and
Innovation",ICT services,ICT Services,"155,445,215","34,564,968",22.2,564,0
,,,,,,564,0
"Roads, Transport and
Public Works","General administration
support services",Administrative support services,"358,787,407","25,486,771",7.1,564,0
,"Road &Transport Infra-
structure Development",Roads Infrastructure Services,"1,009,560,546","547,463,858",54.2,564,0
,Energy Services,Lighting services,"10,000,000",-,-,564,0
,Public Works Services,Public Works Services,"6,590,819",-,-,564,0
,"Fire & Emergency Ser-
vices",Fire and Emergency Services,"60,000,000",-,-,564,0
,,,,,,564,0
Lands and Housing,"Land Management and
Administration",Administrative support services,"13,036,965","27,459,481",210.6,564,0
,,,,,,564,0
"Water, Environment, Nat-
ural Resources, Tourism
and Wildlife Manage-
ment","Water & Sanitation Devel-
opment",Water Development Services,"143,338,693","204,012,372",142.3,564,0
,,,,,,564,0
Clinical Services,"Curative and Rehabilita-
tive Services",County Referral Health Services,"2,384,986,750","1,405,651,635",58.9,564,0
,,Health transport services,"202,110,000","44,019,701",21.8,564,0
,,,,,,564,0
"Agriculture and Agri-
business","Crop Development and
Management","Post-Harvest Management
Services","232,770,773","162,463,876",69.8,564,0
,,"Crop Pest and Disease Control
Services","33,880,335","26,183",0.1,564,0
,,Crop Diversification,"82,655,169",-,-,564,0
,,"Climate Smart Agriculture
(World Bank)","383,463,189","12,732,581",3.3,564,0
,"Agricultural training ser-
vices",ATC Services,"11,666,238","110,000",0.9,564,0
,,,,,,565,0
"Trade, Industry, Invest-
ment and Tourism","Trade Development and
Promotion","Market Infrastructure
Development Services","237,412,040","140,903,335",59.3,565,0
,"Industrial Development,
Investments and Interna-
tional Trade",Land Banking,"53,610,931","31,556,912",58.9,565,0
,,,,,,565,0
"Education and Vocation-
al Training",ECD Education,Administrative Support Services,"717,031,918","501,015,381",69.9,565,0
,"Social Development Ser-
vices","Community Development
Services","56,030,172","3,454,550",6.2,565,0
,"Development & Promo-
tion of Culture",Cultural Services,"24,794,880","15,605,472",62.9,565,0
,"Education bursaries and
scholarships services",Bursary & Scholarship,"150,500,000","119,500,000",79.4,565,0
,,,,,,565,0
"County Public Service
Board","General administration,
planning and support ser-
vices",Administrative Support Services,"73,723,564","43,218,019",58.6,565,0
,,,,,,565,0
County Assembly,"General administration,
planning and support ser-
vices",Administrative Support Services,"1,214,536,574","788,072,665",64.9,565,0
,,,,,,565,0
Economic Planning,"Economic Planning Ser-
vices",Planning Services,"104,199,531","60,656,406",58.2,565,0
,,M&E Services,"26,500,000","17,050,780",64.3,565,0
,,Statistical Services,"25,000,000","8,234,480",32.9,565,0
,,,,,,565,0
"Devolution and Public
Administration","General administration
support services",Employee support services,"291,009,050","140,778,776",48.4,565,0
,,Field Administrative Services,"268,176,055","67,328,097",25.1,565,0
,,,,,,565,0
"Youth and Sports Devel-
opment","Youth Training and Em-
powerment",Administrative Support Services,"100,492,979","90,256,322",89.8,565,0
,,Youth Support Services,"96,618,178","37,105,231",38.4,565,0
,Sports Development,Sports Development,"61,103,638","12,747,700",20.9,565,0
,,,,,,565,0
"Cooperatives and Enter-
prise Development","General Administrative
Support Services",Administrative support services,"71,860,523","49,990,371",69.6,565,0
,"Cooperative Develop-
ment Services","Cooperative Development and
Management Services","30,000,000","30,000,000",100.0,565,0
,,"Enterprise Development Ser-
vices","22,500,000","22,500,000",100.0,565,0
,,,,,,565,0
"Livestock Development
and Fisheries",Veterinary Services,Animal Breeding,"112,323,230","12,869,330",11.5,565,0
,,"Livestock Disease Control Ser-
vices","63,610,638","31,327,344",,565,0
,Livestock Production,Livestock Production Services,"28,097,487",-,-,565,0
,Fisheries Production,Fisheries Production Services,"3,700,000",-,-,565,0
,,,,,,565,0
"Physical Planning and
Urban Development","Physical Planning Ser-
vices",Physical Planning Services,"5,626,031","5,626,031",100.0,565,0
,,,,,,565,0
Eldoret Municipality,"Road and Transport Infra-
structure Development",Construction of roads,"196,400,898","107,348,676",54.7,566,0
,,Construction of NMTs,"103,000,000","50,000,000",48.5,566,0
,"Urban Development &
Management Services","Urban Development &
Management Services","27,695,891","20,000,000",72.2,566,0
,"General administration
support services",Administration support services,"133,706,161","82,265,588",61.5,566,0
,,,,,,566,0
"Promotive and Preven-
tive Heath","General administration
support services","General administration support
services","30,200,978","668,340",2.2,566,0
,,,,,,566,0
"Energy, Environment,
Climate Change and Nat-
ural Resources","General administration
support services","General administration support
services","8,000,000","1,454,740",18.2,566,0
,"Environment and Natural
Resources","Environment and Natural
Resources","34,703,601",-,-,566,0
,"Climate Change Mitiga-
tion",Climate Change Mitigation,"58,321,246",-,-,566,0
,,,,,,566,0
"Partnership, Liaison and
Linkages","General administration
support services","General administration support
services","8,000,000","377,144",4.7,566,0
,,,,,,566,0
"Gender, Protection and
Culture","General administration
support services","General administration support
services","4,800,000","813,043",16.9,566,0
,Social Protection,Social Protection,"84,283,757","12,753,573",15.1,566,0
,Culture,Culture,"29,529,843","28,563,410",96.7,566,0
,,,,,,566,0
"Housing and Urban De-
velopment","General administration
support services","General administration support
services","43,283,300","3,166,800",7.3,566,0
,Urban Development,Urban Development,"176,524,286",-,-,566,0
,,,,,,566,0
"Lands and Physical Plan-
ning","General administration
support services","General administration support
services","107,273,315","1,095,760",1.0,566,0
,Survey Section,Survey Section,"275,385,912",-,-,566,0
,,,,,,566,0
"Water, Irrigation and
Sanitation","General administration
support services","General administration support
services","161,640,107","5,224,268",3.2,566,0
,Water Section,Water Section,"418,989,192",-,-,566,0
Total,,,"12,051,908,369","5,904,622,870",49.0,566,0
