col_0,Programme Description,"Approved Bud-
get",Actual Payments,Variance,"Absorption
Rate (%)",page_number,table_index
,,(Kshs.),(Kshs.),(Kshs.),,409,0
"Lands, Environment and Nat-
ural Resources",Land Policy and Planning,"275,877,543","162,704,965","113,172,578",59,409,0
,"Development Planning and
Land Reforms","275,877,543","162,704,965","113,172,578",59,409,0
,"Housing Development and
Human Settlement",,,,,409,0
,Housing Development,,,,,409,0
,,"588,479,420","303,236,110","285,243,310",51.5,409,0
,"Building Standards and Re-
search","588,479,420","303,236,110","285,243,310",51.5,409,0
"Agriculture, Livestock and
Fisheries","General Administration Plan-
ning and Support Services","429,711,061","124,519,649","305,191,412",29,409,0
,"Agricultural Policy, Legal and
Regulatory Frameworks","429,711,061","124,519,649","305,191,412",29,409,0
,"Irrigation and Drainage Infra-
structure","319,478,930","112,063,033","207,415,897",35.1,409,0
,"Promotion of Irrigation and
Drainage Development and
Management","319,478,930","112,063,033","207,415,897",35.1,409,0
"Roads Transport and Public
Works","General Administration, Plan-
ning and Support Services","232,834,518","53,510,571","179,323,947",23,409,0
,"General Administration, Plan-
ning and Support Services","232,834,518","53,510,571","179,323,947",23,409,0
,Road Transport,"357,509,059","116,435,109","241,073,950",32.6,409,0
,"Construction of Roads and
Bridges",-,-,-,-,409,0
,Rehabilitation of Roads,"357,509,059","116,435,109","241,073,950",32.6,409,0
"Trade and Industrial Devel-
opment","General Administration Plan-
ning and Support Services","235,851,793","73,123,354","162,728,439",31,409,0
,"General Administration Plan-
ning and Support Services","235,851,793","73,123,354","162,728,439",31,409,0
,"Industrial Development and
Investments","87,470,383","3,952,390","83,517,993",4.5,409,0
,"Promotion of Industrial Devel-
opment and Investments","87,470,383","3,952,390","83,517,993",4.5,409,0
"Tourism, Culture and Co-op-
erative Development","Tourism Development and
Promotion","11,372,000","2,395,400","8,976,600",21.1,409,0
,"Tourism Promotion and Mar-
keting",-,-,-,-,409,0
,"Niche tourism product devel-
opment and diversification","11,372,000","2,395,400","8,976,600",21.1,409,0
Health and Sanitation,"Preventive & Promotive
Health Services","2,914,245,923","2,095,185,640","819,060,283",71.9,409,0
,"Communicable Disease Con-
trol","2,914,245,923","2,095,185,640","819,060,283",71.9,409,0
"Education Research and Vo-
cational Training",Primary Education,"458,873,616","381,621,450","77,252,166",83.2,409,0
,Free Primary Education,"458,873,616","381,621,450","77,252,166",83.2,409,0
,Secondary Education,"202,693,002","50,550,966","152,142,036",24.9,409,0
,"Secondary Bursary Manage-
ment Services","202,693,002","50,550,966","152,142,036",24.9,409,0
