Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expenditure
Q3 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,Sub total,"769,245,836","180,028,923","589,216,913",23.4,539,0
"Office of the Deputy
Governor",,,,,,539,0
"General Planning and
Support","General Planning and Support
services","25,351,000","5,093,512","20,257,488",20.1,539,0
"Government
Programming",Govt Programming,"8,300,000","515,700","7,784,300",6.2,539,0
,Community Engagement,"10,100,568","3,197,600","6,902,968",31.7,539,0
,Govt Stakeholder Engagement,"6,800,000","1,417,200","5,382,800",20.8,539,0
,Govt Transformation,"5,600,090",-,"5,600,090",-,539,0
,Sub total,"56,151,658","10,224,012","45,927,646",18.2,539,0
,,A,B,C=A-B,D=B/A*100,540,0
Ministry of Finance and Economic Planning,,,,,,540,0
"General Administration,
Planning and Support
Service",General Administration Services,"2,344,326,326","1,849,840,811","494,485,515",78.9,540,0
,"General Administration - Eco-
nomic planning","34,733,408","20,288,515","14,444,893",58.4,540,0
"Government
Communication and
Media Relations","Acquiring and developing of
communication systems/equip-
ment","9,500,000","3,445,510","6,054,491",36.3,540,0
,Policies,"14,000,000","8,700,338","5,299,662",62.1,540,0
,"Development and Implementa-
tion of ICT Policy and Regula-
tions","2,533,806","801,013","1,732,793",31.6,540,0
"Revenue Collection
Systems","Feasibility Study on Revenue
Base","2,100,775","875,900","1,224,875",41.7,540,0
,"Awareness and Campaigns on
Revenue.","8,974,000","3,421,194","5,552,806",38.1,540,0
,"Motorbikes for Revenue Officers
30 No.","1,377,569","350,900","1,026,669",25.5,540,0
,Strengthening Revenue Systems,"21,694,822","4,983,102","16,711,721",23.0,540,0
,"Revenue Forecast and Revenue
Budget Preparation","7,683,726","642,640","7,041,086",8.4,540,0
,"Completion of Lokiriama Reve-
nue Centre","20,000,000",-,"20,000,000",-,540,0
"Accountability and
Transparency",Internal Audit,"52,100,000","12,298,170","39,801,830",23.6,540,0
,Procurement systems,"4,500,000","3,073,500","1,426,500",68.3,540,0
,IFMIS training,"5,058,150","2,114,584","2,943,566",41.8,540,0
,Civil Contingency Reserve,-,-,-,-,540,0
,"Financial Reporting/Research
and Development","53,200,000","34,493,475","18,706,525",64.8,540,0
,,A,B,C=A-B,D=B/A*100,541,0
"Planning and Policy
formulation","Economic Policy Formulation
and Dissemination","17,095,355","11,834,526","5,260,829",69.2,541,0
,CIDP review and Dissemination,"1,546,736","794,000","752,736",51.3,541,0
,"County Budget and Economic
Forums and Budget Preparation","135,166,723",-,"135,166,723",-,541,0
,Emergency Fund,"370,871,497","370,871,497",-,100.0,541,0
,"Public Participation and Access
to Information","3,017,266","3,017,266",-,100.0,541,0
,Waste Management,"1,640,695","1,198,100","442,595",73.0,541,0
"Monitoring and
Evaluation","Softwares (E-ProMIS, GIS, e.t.c)","9,395,198","1,582,234","7,812,964",16.8,541,0
,"Field visits, data collection and
Reporting","7,084,583","3,438,191","3,646,392",48.5,541,0
,"Training and Knowledge man-
agement","6,108,968","2,821,900","3,287,068",46.2,541,0
,"Devolved Monitoring and Eval-
uation Committees","3,049,014","272,000","2,777,014",8.9,541,0
County Statistical Unit,"Soft wares, databases and tools","35,600,000","27,434,992","8,165,008",77.1,541,0
,Capacity Development,"3,026,422","1,321,708","1,704,714",43.7,541,0
,Project Mgt Information System,"1,000,000","440,458","559,542",44.0,541,0
Budgetary Supply,"Budget Formulation, Coordina-
tion and Management","72,568,288","27,852,245","53,884,017",38.4,541,0
,"Public Participation in Budget-
ing","42,070,000","31,368,563","10,701,438",74.6,541,0
,"County Budget and Economic
Forum","16,806,053","8,695,830","8,110,223",51.7,541,0
,"Accountability in Resource
Allocation","22,600,000","12,883,592","9,716,408",57.0,541,0
Resource Mobilisation,Resource Mobilisation,"5,017,378","1,811,600","3,205,778",36.1,541,0
,Sub total,"3,335,446,758","2,452,968,352","882,478,406",73.5,541,0
,,A,B,C=A-B,D=B/A*100,542,0
"Ministry of Water Services, Environment and Mineral Resources",,,,,,542,0
"Turkana Water Pro-
gramme","General Administration, Plan-
ning and support services","2,000,000",-,"2,000,000",-,542,0
,"Construction and Desilting of
Water Pans/Rock Catchment","55,000,000",-,"55,000,000",-,542,0
,"Rehabilitation of Water Infra-
structure","228,908,716","10,066,736","218,841,980",4.4,542,0
,"Drilling and Equipping of
Boreholes","434,999,963","12,995,109","422,004,854",3.0,542,0
,"Equipment of Quality Analysis
Laboratory","4,500,000",-,"4,500,000",-,542,0
,"Project Coordination and Man-
agement","3,000,000","749,952","2,250,048",25.0,542,0
"Joint planning with
stakeholders",Technical planning and design,"99,177,290","44,108,220","55,069,070",44.5,542,0
"Irrigation and
Schemes Development
Programme","Feasibility studies for irrigation
systems development","3,300,000","651,000","2,649,000",19.7,542,0
"General Administration
and Support","General Administration and
Support","88,220,000","38,552,612","49,667,388",43.7,542,0
,Sub total,"919,105,969","107,123,629","811,982,340",11.7,542,0
Ministry of Health & Sanitation Services,,,,,,542,0
"General Administration,
Planning and support
services","General Administration, Plan-
ning and support services","418,313,145","136,502,471","281,810,674",32.6,542,0
,Health Facilities,"484,003,789","67,106,059","416,897,730",13.9,542,0
,,A,B,C=A-B,D=B/A*100,543,0
"Support to Health
Programs","HIV & AIDS, including com-
munity-based HIV interventions","606,000","105,000","501,000",17.3,543,0
,TB & Leprosy,"300,000",-,"300,000",-,543,0
,Malaria,"500,000",-,"500,000",-,543,0
,"NTDs (neglected tropical
diseases)","500,000",-,"500,000",-,543,0
,Nutrition,"542,500",-,"542,500",-,543,0
,Reproductive health,"480,000",-,"480,000",-,543,0
,Disease surveillance,"750,000",-,"750,000",-,543,0
,EPI/outreaches,"500,000",-,"500,000",-,543,0
,Health promotion,"75,530,390","34,047,945","41,482,445",45.1,543,0
,Environmental health services,"600,000","45,000","555,000",7.5,543,0
,"Emergency preparedness &
disaster response","600,000",-,"600,000",-,543,0
,mainstreaming,"350,000",-,"350,000",-,543,0
,Community Health Services,"130,568,000","74,486,925","56,081,075",57.0,543,0
Laboratory Services,Laboratory Services,"700,000","291,200","408,800",41.6,543,0
,Blood Transfusion Services,"1,400,000",-,"1,400,000",-,543,0
,Rehabilitative Services,"500,000","245,000","255,000",49.0,543,0
,Referrals & Emergency Services,"24,000,000",-,"24,000,000",-,543,0
,Radiology Services,"500,000",-,"500,000",-,543,0
,Dental Services,"500,000",-,"500,000",-,543,0
,Clinical Services,"472,500",-,"472,500",-,543,0
,Nursing Services,"400,000",-,"400,000",-,543,0
,Rural Health Facility Support,"47,698,888","23,576,040","24,122,848",49.4,543,0
,"Sub county Health Facilities
Support","2,600,000",-,"2,600,000",-,543,0
,Turkana Level 6 Hospital,"18,000,000",-,"18,000,000",-,543,0
,Medical Supplies,"364,263,000","228,167,303","136,095,697",62.6,543,0
,UHC Turkana,"12,600,000",-,"12,600,000",-,543,0
,,A,B,C=A-B,D=B/A*100,544,0
"Health Information
and Management",Health Information & Mgt,"1,773,000","147,000","1,626,000",8.3,544,0
,Quality Assurance,"448,000",-,"448,000",-,544,0
,Electronic Medical Records,"4,400,000","1,784,010","2,615,990",40.5,544,0
,Monitoring & Evaluation Health,"950,000","105,500","844,500",11.1,544,0
,Research & Development,"200,000",-,"200,000",-,544,0
,Policy & Planning Services,-,-,-,-,544,0
,Rehabilitation & Treatment,"1,700,000","294,000","1,406,000",17.3,544,0
,Public Education & Awareness,"800,000",-,"800,000",-,544,0
,Liquor Licensing,"11,215,000","251,300","10,963,700",2.2,544,0
,Training & Capacity Building,"600,000","282,800","317,200",47.1,544,0
,Sub total,"1,609,864,212","567,437,552","1,042,426,660",35.2,544,0
"Ministry of Trade, Gender and Youth Affairs",,,,,,544,0
"Youth Affairs Develop-
ment","Youth Coordination and Repre-
sentation","5,700,000","1,071,872","4,628,128",18.8,544,0
,Youth Employment Scheme,"3,895,000","1,925,859","1,969,141",49.4,544,0
,Youth Rare skills,"4,105,000","982,650","3,122,350",23.9,544,0
,Youth and Women Fund,"186,343,940","186,293,940","50,000",100.0,544,0
,,A,B,C=A-B,D=B/A*100,545,0
"Modern Physical
Markets Infrastructure","Construction & Development
of Modern Physical Market","8,172,570","5,246,152","2,926,418",64.2,545,0
,"Co-operative Marketing, Value
Addition, Surveys & Research","5,300,000","1,904,059","3,395,941",35.9,545,0
,"Co-operative Education, Train-
ing, Exchange and Ushirika Day
Celeb","6,550,000","2,999,967","3,550,033",45.8,545,0
,"Strengthening of Key Dormant
Co-operative Societies","2,050,000","1,979,452","70,548",96.6,545,0
,"Formulation of Cooperative
Policy and Legal Frame Work","2,800,000","890,438","1,909,562",31.8,545,0
,Cooperative Development Fund,"47,326,825","47,326,825",-,100.0,545,0
"Cooperative Societies
Development
& Performance
Improvement","Business Development and
Training Services","3,050,000","1,471,562","1,578,438",48.2,545,0
,Consumer rights education,"1,250,000","1,067,931","182,069",85.4,545,0
,"Industrial Development and In-
vestments","4,700,000","1,528,040","3,171,960",32.5,545,0
,Biashara Fund,"150,000,000","150,000,000","151,592,500",100.0,545,0
General Administration,General Administration,"157,710,733","60,300,554","97,410,179",38.2,545,0
,Sub total,"588,954,068","464,989,301","275,557,267",79.0,545,0
"Ministry of Education, Sports and Social Protection",,,,,,545,0
"Social protection pro-
grams/ Affirmative Action","Construction of PWDs
multi-purpose resource centre","22,782,535","8,730,080","14,052,455",38.3,545,0
,"Marginalised and Minority
groups support","31,520,000","15,832,000","15,688,000",50.2,545,0
,Child Rescue Centres,"39,572,923",-,"39,572,923",-,545,0
,Child Care & Protection,"33,273,549","17,266,750","16,006,799",51.9,545,0
"Sports and arts
programme",Construction of sport Stadia,"59,426,763","11,231,985","48,194,778",18.9,545,0
,,A,B,C=A-B,D=B/A*100,546,0
General administration,General Administration,"26,337,042","16,618,635","9,718,407",63.1,546,0
,"Turkana Education and Skill
Development Fund","386,496,520","384,219,180","2,277,340",99.4,546,0
Vocational Training,"Youth Polytechnic Infrastruc-
ture","60,600,000","6,477,044","54,122,956",10.7,546,0
,Training and Development,"4,610,000","2,265,566","2,344,434",49.1,546,0
,Co-Curricular Activities,"3,501,017","263,800","3,237,217",7.5,546,0
,"Youth Polytechnics- Condi-
tional","12,709,894","12,709,894",-,100.0,546,0
Public Relations,Publicity,"1,220,000","292,000","928,000",23.9,546,0
,Research and Sensitization,"1,708,000","422,000","1,286,000",24.7,546,0
"Early Childhood
Education",School Feeding,"148,787,478","125,185,208","23,602,270",84.1,546,0
,Quality Improvement,"6,614,000","3,070,000","3,544,000",46.4,546,0
,Infrastructure Development,"331,624,074","8,982,400","322,641,674",2.7,546,0
,"Support to Pre-Primary Train-
ing","7,201,615","5,977,000","1,224,615",83.0,546,0
,Sub total,"1,177,985,410","619,543,542","558,441,868",52.6,546,0
"Ministry of Public Services, Decentralized Administration & Disaster Management",,,,,,546,0
"Operationalisation of
Decentralised Units","Operationalisation of Decen-
tralised Units","10,761,200","3,866,656","6,894,544",35.9,546,0
,Decentralised County Policy,"35,621,258","15,774,588","19,846,670",44.3,546,0
,Coordinated development,"11,600,000","4,871,500","6,728,500",42.0,546,0
,"Policy sensitisation and dissem-
ination","16,933,500","5,237,450","11,696,050",30.9,546,0
,,A,B,C=A-B,D=B/A*100,547,0
"Governance and
Public participation",Civic education Programme,"1,564,400","802,500","761,900",51.3,547,0
,"Public Participation and access
to information","8,747,050","478,700","8,268,350",5.5,547,0
,County Dialogue Forum,"1,400,000","320,000","1,080,000",22.9,547,0
,National & County Holidays,"1,655,500",-,"1,655,500",-,547,0
,Policies Design,"805,500","811,000","(5,500)",100.7,547,0
"Disaster risk
management","Disaster Preparedness Pro-
grammes","2,000,000","546,860","1,453,140",27.3,547,0
,"Disaster Mitigation Pro-
grammes","2,000,000","370,000","1,630,000",18.5,547,0
,"Stakeholders Coordination and
Support Programme","2,000,000","350,000","1,650,000",17.5,547,0
,"Humanitarian Relief Food
Programme","819,368,027","408,262,233","411,105,794",49.8,547,0
,Disaster Risk Mgt,"800,000",-,"800,000",-,547,0
Inspectorate services,Inspectorate Training Institute,"20,866,848",-,"20,866,848",-,547,0
,Dispute Resolution,"2,055,390","391,000","1,664,390",19.0,547,0
,Capacity Building,"2,230,664","643,000","1,587,664",28.8,547,0
,Inspectorate Services,"3,700,000","775,900","2,924,100",21.0,547,0
,Inspectorate Services Equip,"3,700,000","2,328,120","1,371,880",62.9,547,0
,,A,B,C=A-B,D=B/A*100,548,0
"Human resource
management",Payroll and record management,"1,500,000","591,660","908,340",39.4,548,0
,Human Resource Development,"19,900,000","6,061,800","13,838,200",30.5,548,0
,"GHRIS Leave & Performance
Module Implementation","2,200,000","216,960","1,983,040",9.9,548,0
,"Digitisation and Automation of
Human Resource Registry","3,800,000","723,840","3,076,160",19.0,548,0
,"Mainstreaming Public Sector
Integrity Programme","2,435,000","2,035,131","399,869",83.6,548,0
,"County performance manage-
ment","2,098,400","1,436,301","662,099",68.4,548,0
,Public Service Week,"1,489,000","789,000","700,000",53.0,548,0
,Records Mgt,"1,365,600","1,060,800","304,800",77.7,548,0
,HRM,"1,712,000","290,370","1,421,630",17.0,548,0
"General Administration,
Planning and Support
Services-Public Service",General Administration,"4,497,153,616","3,856,097,481","641,056,135",85.7,548,0
,Sub total,"5,481,462,953","4,315,132,850","1,166,330,103",78.7,548,0
"Ministry of Infrastruc-
ture, Transport and
Public Works",,,,,,548,0
"Develop and Maintain
Roads","Roads maintenance levy fund
(RMLF)","291,000,000","76,267,000","214,733,000",26.2,548,0
,Roads,"67,250,000","10,233,056","57,016,944",15.2,548,0
"Develop and maintain
staff housing and
public offices",Staff Housing,"77,779,529",-,"77,779,529",-,548,0
"Develop and maintain
other public works",Machinery,"30,000,000","14,080,100","15,919,900",46.9,548,0
,Professional Capacity Building,-,-,-,-,548,0
,,A,B,C=A-B,D=B/A*100,549,0
General Administration,General Administration,"140,883,737","15,923,466","124,960,271",11.3,549,0
,"General Administration- Public
works","29,328,720","11,856,394","17,472,326",40.4,549,0
,Sub Total,"636,241,986","128,360,016","507,881,970",20.2,549,0
"Ministry of Agriculture,
Pastoral Economy and
Fisheries",,,,,,549,0
"Revival of Turkana Fish-
ermen Co-op. society",Spate Irrigation Technology,"274,413,482","1,791,660","272,621,822",0.7,549,0
,Rehabilitation,"800,000",-,"800,000",-,549,0
,Soil & Water Conservation,"2,000,000","599,915","1,400,085",30.0,549,0
"Fish market
infrastructure/ fish
value addition","Fish market infrastructure/ fish
value addition","1,800,000","1,182,000","618,000",65.7,549,0
,Fisheries livelihood support,"33,200,000","31,220,000","1,980,000",94.0,549,0
,Fisheries Extension Services,"2,300,000","702,000","1,598,000",30.5,549,0
,Fisheries resource management,"6,287,443","2,064,599","4,222,845",32.8,549,0
,Fish Farming & Aquaculture,"50,700,000","5,361,000","45,339,000",10.6,549,0
"Sustainable management
of fisheries resources",Frame survey,"51,600,000","21,109,498","30,490,502",40.9,549,0
,Fish Stock assessment,"3,900,000","1,642,900","2,257,100",42.1,549,0
,"Monitoring, Control and Sur-
veillance","16,300,000","984,600","15,315,400",6.0,549,0
,Resource monitoring facilities,"2,850,000","1,392,800","1,457,200",48.9,549,0
"Livestock breed
improvement","Establish livestock Multiplica-
tion and breeding Centre.","63,500,000","25,595,900","37,904,100",40.3,549,0
,"Provision of Livestock Exten-
sion services","3,600,000","1,662,000","1,938,000",46.2,549,0
,"Livestock multiplication and
breeding centre","19,083,682","291,200","18,792,482",1.5,549,0
,,A,B,C=A-B,D=B/A*100,550,0
,Livestock Value Chain,"38,500,000","500,000","38,000,000",1.3,550,0
,Skills development,"16,100,000","1,094,959","15,005,042",6.8,550,0
General Administration,General Administration,"56,100,000","13,775,475","42,324,525",24.6,550,0
,"General Administration and
Support Services- Pastoral Econ-
omy and","107,508,501","54,943,564","52,564,937",51.1,550,0
Agriculture Programme,"Agri-nutrition/Urban &
peri-urban agriculture","7,800,000",-,"7,800,000",-,550,0
,"Smart agriculture practices
(Innovations/technologies to
mitigate","14,000,000",-,"14,000,000",-,550,0
,"Agricultural Sector Devel-
opment Support Programme
(ASDSP)","51,106,056","29,923,184","21,182,872",58.6,550,0
,Agricultural Mechanisation,"17,208,874","804,118","16,404,756",4.7,550,0
,Agric market Access,"1,100,000","98,000","1,002,000",8.9,550,0
,Agric Extension,"30,250,000","4,585,500","25,664,500",15.2,550,0
,Subsidy & Support,"3,600,000",-,"3,600,000",-,550,0
,Pest Control & Mgt,"4,700,000",-,"4,700,000",-,550,0
,NARIGP,"239,269,811","26,744,339","212,525,472",11.2,550,0
,DRNKP/KfW,"242,000,000","22,000,000","220,000,000",9.1,550,0
,Sub Total,"1,361,577,849","250,069,210","1,111,508,639",18.4,550,0
"Ministry of Tourism,
Culture and Natural
Resources",,,,,,550,0
"Establishment and
rehabilitation of public
utilities in Lodwar","Improvement of Moi Garden
Stadia","24,000,000",-,"24,000,000",-,550,0
,completion of recreational park,"13,000,000",-,"13,000,000",-,550,0
,"setting up of dumping site in
Lodwar","8,000,000",-,"8,000,000",-,550,0
General Administration,"General Administration, Plan-
ning and Support Services","23,620,000","12,993,680","10,626,320",55.0,550,0
,,A,B,C=A-B,D=B/A*100,551,0
"Tourism destination
marketing and
promotion","Tourism expos, incentives, con-
ferences and exhibition program","1,300,000","249,000","1,051,000",19.2,551,0
,"Community Based Tourism
products","1,000,000",-,"1,000,000",-,551,0
,"Tourism Market Research
(Baseline Survey & Mapping)","24,300,000","2,326,020","21,973,980",9.6,551,0
,"Media Campaign and Promo-
tion of Tourism Products and
Programmes","800,000",-,"800,000",-,551,0
"Culture, arts, heritage
development, promotion
and preservation",Ushanga Initiative,"9,000,000","989,600","8,010,400",11.0,551,0
,"Culture Promotion and Pres-
ervation","4,500,000","268,800","4,231,200",6.0,551,0
,"Annual tourism and cultural
festival","69,500,000","22,124,053","47,375,947",31.8,551,0
"Culture development
and preservation
infrastructure","Equipment and Infrastructure
Development at Ekalees Centre","3,000,000",-,"3,000,000",-,551,0
"Forestry and
wildlife management
development and
management","Forestry Management and
Conservation","4,000,000","3,903,950","96,050",97.6,551,0
,"Community Wildlife Conser-
vation","1,500,000","120,400","1,379,600",8.0,551,0
,"Forest Nature Based Develop-
ment","1,800,000","950,000","850,000",52.8,551,0
,"Forestry Development Infra-
structure","23,100,000",-,"23,100,000",-,551,0
,Forestry Protection,"1,000,000",-,"1,000,000",-,551,0
,Prosopis Mgt,"1,100,000","135,000","965,000",12.3,551,0
"Heritage Development,
Promotion &
Preservation","Heritage Development Promo-
tion & Preservation","1,000,000",-,"1,000,000",-,551,0
,Arts & Creativity Development,"900,000","70,000","830,000",7.8,551,0
"Environmental
Governance Compliance
Conservation
Protection & Mgt","Environmental Governance &
Compliance","2,000,000","466,400","1,533,600",23.3,551,0
,"Environmental Protection &
Conservation","1,900,000","639,400","1,260,600",33.7,551,0
,"Plastic Collection Re-use
Facility","1,300,000","440,625","859,375",33.9,551,0
,Climate Change & Adaptation,"720,287",-,"720,287",-,551,0
,,A,B,C=A-B,D=B/A*100,552,0
"Mineral Resource
Mapping, Capacity
Building & Mgt",Mineral Resource Mapping,"144,378,013","17,161,672","127,216,341",11.9,552,0
,"Management of Mining &
Quarrying activities","2,000,000","15,000","1,985,000",0.8,552,0
,"Capacity Building in the Ex-
ploitation of Mineral Resources","3,000,000","497,000","2,503,000",16.6,552,0
,"Extractives Engagement Bills &
Policies","1,600,000","90,000","1,510,000",5.6,552,0
Petroleum,Oil and Gas,"1,400,000","304,200","1,095,800",21.7,552,0
,"Establishment of Extractive
Sector Regulations & Strategies","2,200,000","310,250","1,889,750",14.1,552,0
"Energy Development
Programme","Renewable Energy Develop-
ment","2,480,000","793,500","1,686,500",32.0,552,0
"Turkana Agriculture
Programme","Organising field days, show and
exhibitions","15,512,656",-,"15,512,656",-,552,0
"Turkana Rehabilitation
Programme",Artisanal Mining Equipment,"7,000,000",-,"7,000,000",-,552,0
,Sub Total,"401,910,956","64,848,550","337,062,406",16.1,552,0
"Ministry of Lands, Ener-
gy, Housing and Urban
Areas Management",,,,,,552,0
"Adjudication, registry
and settlement","Delineation & adjudication of
community land","5,000,000","997,500","4,002,500",20.0,552,0
Spatial Planning,Spatial Planning,"79,300,000","4,299,670","75,000,330",5.4,552,0
"Formulation of
community land policy
and regulations",Urban Centre Mgt,"36,304,936","822,100","35,482,836",2.3,552,0
"Compulsory land
acquisition for
public utilities","Land acquisition for public
utilities","16,600,000","142,800","16,457,200",0.9,552,0
General Administration,"Lands General Administration,
Planning and Support Services","27,300,000","12,879,133","14,420,867",47.2,552,0
Land Governance,Land Policies,"60,260,518","5,368,790","54,891,728",8.9,552,0
,Sub Total,"224,765,454","24,509,993","200,255,461",10.9,552,0
"Turkana County As-
sembly",,,,,,552,0
,,A,B,C=A-B,D=B/A*100,553,0
Headquarters,"General Administration Infra-
structure and Development","168,000,000","16,912,505","151,087,496",10.1,553,0
,"Construction of Speakers
Residents","77,330,354","21,071,226","56,259,128",27.2,553,0
,"Construction of New County
Assembly","23,948,059","4,150,620","19,797,439",17.3,553,0
,"General Administration, Plan-
ning and Support Services","980,189,593","599,241,204","380,948,389",61.1,553,0
,Sub Total,"1,249,468,006","641,375,555","608,092,451",51.3,553,0
"Turkana County Public
Service Board",,,,,,553,0
"County Internship Pro-
gramme",County Internship Programme,"36,800,600","22,381,700","14,418,900",60.8,553,0
"Mainstream Public
Sector Integrity
Programme &
Accountability","Mainstream Public Sector In-
tegrity Programme & Account-
ability","1,000,000","869,700","130,300",87.0,553,0
,"Public Evaluation of County
Public Service Board Perfor-
mance","22,674,582","2,553,803","20,120,779",11.3,553,0
,"Human Resource Conference &
Symposium","4,300,000","1,949,216","2,350,784",45.3,553,0
,Exit Meetings Per Department,"2,350,000","1,480,700","869,300",63.0,553,0
,"Assessment and stakeholder
capacity mapping","1,900,000","1,606,000","294,000",84.5,553,0
Human resource,Scheme of service,"1,600,000","1,049,300","550,700",65.6,553,0
,Performance Appraisal,"4,980,000","2,009,500","2,970,500",40.4,553,0
,"Enhancing Leadership in Coun-
ty Public Service","1,570,900","1,344,900","226,000",85.6,553,0
,"Performance Management
Monitoring","985,430","318,800","666,630",32.4,553,0
,"County Public Service Pre-Re-
tirement Sensitization","1,198,760","396,060","802,700",33.0,553,0
,"Evaluation of Different Cadres
of Employees (Promotion,
Re-Designate)","1,297,654","790,000","507,654",60.9,553,0
,,A,B,C=A-B,D=B/A*100,554,0
"Quality Management
Systems","Quality Management Systems
Development & Establishment","1,500,000","793,476","706,524",52.9,554,0
,QMS Audit /Routine Inspection,"974,500","583,700","390,800",59.9,554,0
,"Documentation/Record Man-
agement for QMS","2,014,680","1,385,180","629,500",68.8,554,0
"Development
coordination Programme",Donor scan/Mapping,"3,070,765","1,590,660","1,480,105",51.8,554,0
,"Establishment of development
committees","2,217,659","1,253,713","963,946",56.5,554,0
,"Training of the development
committees","5,242,352","2,222,816","3,019,536",42.4,554,0
,"Formulation and Development
of TCPSB Boardroom ICT
Infrastructure","1,190,000","235,560","954,440",19.8,554,0
"General Administration
and Support Services",General Administration,"63,660,016","39,266,085","24,393,931",61.7,554,0
,Sub Total,"160,527,898","84,080,869","45,635,071",52.4,554,0
"Office of the County
Attorney",,,,,,554,0
"General Administration,
Planning and Support
Services","General Administration,
Planning and Support Services-
County At","17,305,600","8,122,460","7,452,800",46.9,554,0
Litigation,Litigation,"89,700,000","58,018,557","54,850,000",64.7,554,0
,Govt Agreements & Contracts,"11,315,000","2,110,200","3,157,500",18.6,554,0
,Legal Audit & Compliance,"9,750,800","2,412,850","2,875,400",24.7,554,0
Legislation,Legislation,"10,912,214","811,510","3,456,107",7.4,554,0
,Policy & Legal Briefs,"8,224,000","1,395,800","2,112,000",17.0,554,0
"Training of Legal
Counsel",Training of Legal Counsel,"4,270,000","3,342,575","2,135,000",78.3,554,0
,Legal Training & Awareness,"4,225,702","782,400","2,112,851",18.5,554,0
,Sub Total,"155,703,316","76,996,352","78,151,658",49.5,554,0
