Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expenditure
Q3 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,538,0
Office of the Governor,,,,,,538,0
"General Administration,
Planning and Support
Service","General Administration and
Support services","245,071,924","72,393,108","172,678,816",29.5,538,0
Governor’s Residence,"Construction of the Governor’s
residence","1,616,437","269,000","1,347,437",16.6,538,0
,"Documentation, communica-
tion policy and strategy","3,156,584","864,460","2,292,124",27.4,538,0
,"Civic Education and Public
Sensitization","11,324,708","5,188,920","6,135,788",45.8,538,0
,"Production of County Newspa-
per and Newsletter","1,301,396",-,"1,301,396",-,538,0
"Donor /Investor
Engagement","Public-Private Partnership
Initiatives (PPPs)","1,011,042","300,000","711,042",29.7,538,0
,"Political and Intergovernmental
Advisory Services","2,054,117","700,000","1,354,117",34.1,538,0
,Legal Advisory Services,"1,411,043","467,200","943,843",33.1,538,0
,"Security and cross-border Advi-
sory Services","1,971,248","894,000","1,077,248",45.4,538,0
,Oil and Gas Advisory Service,"1,411,042","116,800","1,294,242",8.3,538,0
,"Gender and Partnership Adviso-
ry Services","1,411,042","322,000","1,089,042",22.8,538,0
,Special Interest groups,"1,011,042",-,"1,011,042",-,538,0
,"Climate Change advisory
services","1,011,042",-,"1,011,042",-,538,0
,"Education and youth Advisory
services","1,011,042",-,"1,011,042",-,538,0
,"Culture, Arts and Heritage Advi-
sory services","1,411,042",-,"1,411,042",-,538,0
"Security and
Peace Building","Community Cohesion and
Resettlement","16,211,207","6,784,367","9,426,840",41.8,538,0
,"Operationalisation of
peace-building structures and
institutions","134,400,269","43,851,558","90,548,711",32.6,538,0
,"Resettlement Infrastructural
Programme","173,274,571",-,"173,274,571",-,538,0
,"Cross Border peace dividends
programme","43,688,298","14,793,571","28,894,727",33.9,538,0
,,A,B,C=A-B,D=B/A*100,539,0
"Social and Financial
Security","Assurance and Insurance of
Govt. Assets","9,167,904","4,626,233","4,541,671",50.5,539,0
,Liability and Debt Management,"6,368,904","4,675,168","1,693,736",73.4,539,0
,Turkana SACCO Seed Capital,"11,600,061","1,207,949","10,392,112",10.4,539,0
"Public Participation and
Access to Information","Construction of Citizen Re-
source Centre","4,038,679","2,788,800","1,249,879",69.1,539,0
,Web site Development,"6,780,245","2,548,400","4,231,845",37.6,539,0
,"Social Budgeting and Genera-
tion of SIR Reports","2,018,886","1,914,080","104,806",94.8,539,0
,Intergovernmental Relation,"25,606,600","2,943,600","22,663,000",11.5,539,0
,"Strategy Development, Review,
Support and Operationalization","1,577,044","562,800","1,014,244",35.7,539,0
"Service Delivery-
ISO Certification",Service Charter,"4,021,349","2,358,000","1,663,349",58.6,539,0
,"Development of County Filing
Systems","4,339,073","1,673,800","2,665,273",38.6,539,0
,Procedure Manual and Training,"31,979,699","2,909,900","29,069,799",9.1,539,0
Governors Press Service,Governors Press Support,"17,988,296","4,875,210","13,113,086",27.1,539,0
