"0101003210 Pro-
gramme 1: Admin-
istration, planning
& Support Services","Sub-programme
1.1: Headquarters","49,001,44",8,"26,283,550",col_5,53.6,-,page_number,table_index
,,,,,,,,289,4
"Programme 2 In-
frastructure Devel-
opment","Sub-programme
2.1: Roads and Civil
Works",,"78,000,000",,"4,576,970",-,5.9,289,4
