Programme Description,"Final Budget
(Kshs.)","Actual
(Kshs.)","Variance
(Kshs.)","Absorption
Rate
(%)",page_number,table_index
Recurrent Expenditure,,,,,144,1
"General Administration, Planning and Sup-
port Services","141,513,303","109,831,401","31,681,902",77.6,144,1
Headquarters Administrative Services,"141,513,303","109,804,451","31,708,852",77.6,144,1
General Administration and Support Services,-,"26,950","- 26,950",-,144,1
Crop and Plant Husbandry,"10,603,207","3,779,020","6,824,187",35.6,144,1
Crop Development and Management.,"6,518,840","1,969,960","4,548,880",30.2,144,1
Plant Diseases Management and Control,"2,042,184","1,470,260","571,924",72.0,144,1
Agri-business and Market Development,"2,042,183","338,800","1,703,383",16.6,145,0
"Livestock Resources Management and Devel-
opment","12,094,146","1,162,050","10,932,096",9.6,145,0
Animal Husbandry Management,"7,150,306","830,950","6,319,356",11.6,145,0
Veterinary Services,"3,876,629","331,100","3,545,529",8.5,145,0
Livestock Market Development,"533,605",-,"533,605",-,145,0
Demonstration Farm - Kajiado,"533,606",-,"533,606",-,145,0
Fisheries Development and Management,"1,688,018","252,000","1,436,018",14.9,145,0
Fisheries,"1,688,018","252,000","1,436,018",14.9,145,0
Land Policy and Planning,"15,857,564","9,013,080","6,844,484",56.8,145,0
Physical Planning,"5,705,250","2,809,500","2,895,750",49.2,145,0
Land Survey and Mapping,"3,427,500","1,689,300","1,738,200",49.3,145,0
Housing,"3,207,360","1,958,280","1,249,080",61.1,145,0
,"3,517,454","2,556,000","961,454",72.7,145,0
"Animal Husbandry Livestock Resource Man-
agement and Development","41,852,343","22,150,080","19,702,263",52.9,145,0
Animal Disease Control,"41,852,343","22,150,080","19,702,263",52.9,145,0
Agricultural Development,"13,543,168","1,562,000","11,981,168",11.5,145,0
Agricultural Mechanization Services,"4,251,629",-,"4,251,629",-,145,0
Agricultural Training Centre,"1,422,047",-,"1,422,047",-,145,0
Irrigation,"7,869,491","1,562,000","6,307,491",19.8,145,0
,"16,999,240","4,358,473","12,640,767",25.6,145,0
Urban Development,"16,999,240","4,358,473","12,640,767",25.6,145,0
,"58,469,163","50,900,894","7,568,269",87.1,145,0
"General Administration Planning and Support
Services-Lands","58,469,163","50,900,894","7,568,269",87.1,145,0
"Information Communication and Technol-
ogy","91,666,043","73,996,330","17,669,713",80.7,145,0
"General Administration, planning and Support
Services","91,666,043","73,996,330","17,669,713",80.7,145,0
Roads and Public Works,-,"494,160","- 494,160",-,145,0
Public Works,-,"494,160","- 494,160",-,145,0
,"39,306,728","22,647,232","16,659,496",57.6,145,0
Roads,"8,207,369","4,086,100","4,121,269",49.8,145,0
Public Works,"6,649,358","4,526,858","2,122,500",68.1,145,0
Energy,"10,875,000","8,841,409","2,033,591",81.3,145,0
Fire Fighting,"4,462,500","915,400","3,547,100",20.5,145,0
Transport,"9,112,500","4,277,465","4,835,035",46.9,145,0
"General Administration, Planning and Sup-
port Services","130,763,726","94,163,787","36,599,939",72.0,145,0
"General Administration, Planning and Support
Services","130,763,726","94,163,787","36,599,939",72.0,145,0
Cooperative Development and Management,"8,010,098","1,804,460","6,205,638",22.5,145,0
