Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of
31st March 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",371,1
"Governorship, County Coordination and Administration",,,,,,,,371,1
"Monitoring and
Evaluation","101024010 Project Co-
ordination and Monitoring","3,600,000",-,"2,089,851",-,58.1,--,371,1
"County Co-
ordination","705024010 Office Ad-
ministration and Support
Services","55,200,000",-,"37,126,325",-,67.3,--,371,1
"Public and
Citizen
Participation","705034010 Public Partici-
pation","6,896,000",-,"5,395,545",-,78.2,--,371,1
"Administration
and Support","706014010 County Execu-
tive and Coordination","179,976,902",-,"113,529,936",-,63.1,--,371,1
"Audit and
Monitoring","718014010 Audit and Other
Monitoring","5,670,000",-,"2,178,385",-,38.4,--,371,1
Disaster Program,"902044010 Disaster Re-
sponse and Mitigation","13,421,000",-,"5,665,756",-,42.2,--,371,1
Sub Total,,"264,763,902",-,"165,985,799",-,62.7,--,371,1
"Finance, Information Technology and Economic Planning",,,,,,,,371,1
Revenue Program,"108014010 Local
Revenue Mobilisation","20,130,000",-,"16,931,835",-,84.1,--,371,1
ICT Program,"703014010 Automation and
Revenue System","500,000",-,"216,000",-,43.2,--,371,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",372,0
"Financial
Management
Program","703024010 Budget Formu-
lation Coordination and
Management","3,600,000",-,"2,303,426",-,64.0,--,372,0
,"703034010 Economic Plan-
ning and CIDP Review","15,600,000",-,"11,195,055",-,71.8,--,372,0
,"718024010 Corporate Gov-
ernance","3,990,000",-,"2,113,560",-,53.0,--,372,0
,"75014010 Budget Imple-
mentation and Monitoring","3,660,000",-,"3,361,945",-,91.9,--,372,0
,"705034010 Public Partici-
pation","29,180,000",-,"12,604,563",-,43.2,--,372,0
,"730014010 Budget Imple-
mentation and Monitoring","3,320,000",-,"1,702,380",-,51.3,--,372,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
support Services","265,916,609","167,000,000","159,000,346","68,440",59.8,--,372,0
Sub Total,,"345,896,609","167,000,000","209,429,110","68,440",60.5,--,372,0
"Agriculture, Livestock and Fisheries",,,,,,,,372,0
Food Security,"10104010 Land and
Crops Development","2,970,000",-,"2,303,720",-,77.6,-,372,0
,"101024010 Promotion Food
Security","3,850,000","632,929,996","1,516,660","291,434,996",39.4,46.0,372,0
,"101124010 Capacity Devel-
opment, Mechanisation and
Innovation","3,850,000",-,"1,770,966",-,46.0,-,372,0
"Livestock
Development
Program","103084010 Veterinary
Services","4,370,000","29,100,000","1,577,535","8,838,074",36.1,30.4,372,0
,"107024010 Livestock and
Fisheries Development","1,705,000","6,600,000","398,800","2,125,000",23.4,32.2,372,0
"Administration
and Support","706014010 General Ad-
ministration Planning and
Support Services","223,040,035",-,"118,475,217",-,53.1,--,372,0
Sub Total,,"239,785,035","668,629,996","126,042,898","302,398,070",52.6,45.2,372,0
Energy Transport and Roads,,,,,,,,372,0
"Urban Develop-
ment Program","102074010 Urban
Development and Support","3,650,900",-,"967,170",-,26.5,--,372,0
