Programme,Sub-Programme,"Approved Esti-
mates","Actual Expen-
diture as of 31st
March 2023","Absorption
Rate (%)",page_number,table_index
FINANCE AND ECONOMIC PLANNING,,,,,396,0
"Administration, Planning
and Support Services",SP 1.1: Administration Services,"711,503,905","32,176,006",4.5,396,0
,SP 1.2: Personnel Services,"539,673,258","385,990,255",71.5,396,0
,SP 1.3: Financial Services,"100,000",-,-,396,0
,Subtotal,"1,251,277,162","418,166,261",33.4,396,0
"Public Finance Manage-
ment","SP 2.1: Budget Formulation Coordination and Manage-
ment","108,424,726","22,794,300",21.0,396,0
,SP 2.2: Resource Mobilisation,"78,305,320","20,026,937",25.6,396,0
,SP 2.3: Internal Audit,"45,170,674","9,846,819",21.8,396,0
,SP 2.4: Procurement,"17,911,603","2,723,180",15.2,396,0
,SP 2.5: Public Finance and Accounting,"28,639,827","4,984,625",17.4,396,0
,SP 2.6: Debt Management,"438,081,958","255,091,888",58.2,396,0
,SP 2.7: External Resource Mobilisation,"11,823,988","1,149,097",9.7,396,0
,Sub total,"728,358,097","316,616,846",43.5,396,0
"Economic, Financial
Policy Formulation And
Management",SP 3.1: Fiscal Planning,"48,332,172","18,117,096",37.5,396,0
,"SP 3.2: Monitoring & Evaluation / Statistical Data
Management","9,566,747","2,826,100",29.5,396,0
,SP 3.3: KDSP Programme,"138,674,737","10,254,000",7.4,396,0
,Subtotal,"196,573,657","31,197,196",15.9,396,0
"Total Expenditure of
Vote",,"2,176,208,916","765,980,303",35.2,396,0
INFRASTRUCTURE,,,,,396,0
"Administration, Planning
and Support Services",SP 1.1. Administrative services.,"43,967,412","17,430,283",39.6,396,0
,SP 1.2: Personnel services.,"142,476,936","80,647,659.98",56.6,396,0
,SP 1.3: Financial Services.,-,-,-,396,0
,Sub total,"186,444,348","98,077,943",52.6,396,0
"Infrastructure, Develop-
ment & Maintenance.","SP 2.1-Construction rehabilitation & maintenance of
Roads, Drainage & Bridges.","1,277,149,056","29,918,332.80",2.3,396,0
,"SP 2.2-Rehabilitation & Maintenance of Transport
Terminus.","4,850,000","349,100",7.2,396,0
,"SP 2.3-Construction & Maintenance of non-residential
County Buildings.","14,350,000","485,140",3.4,396,0
,"SP 2.4-Installation, Rehabilitation & Maintenance of
Lighting Facilities.","99,200,000","68,354,200",68.9,396,0
,Subtotal,"1,395,549,056","99,106,773",7.1,396,0
"Firefighting & Disaster
Management.",SP 3.1 Firefighting and Emergency Services,"8,700,000","570,600",6.6,396,0
,S.P3.2 Disaster management(fire and rescue),-,-,-,396,0
,Subtotal,"8,700,000","570,600",6.6,396,0
"Total Expenditure of
Vote",,"1,590,693,404","197,755,316",12.4,396,0
"EDUCATION, ICT, E-GOVERNMENT AND PUBLIC COMMUNICATION",,,,,396,0
"Administration, Planning
and Support Services",S.P. 1:1 Personnel services,"411,430,479","265,237,080",64.5,397,0
,SP 1:2 Administration and Support Services,"532,558,529","11,388,337",2.1,397,0
,SP 1.3: Financial services,-,-,-,397,0
,Sub total,"943,989,008","276,625,417",29.3,397,0
"Promotion of Early
Childhood Education and
Development",SP 2.1: Promotion of early childhood,"145,123,282","3,052,753",2.1,397,0
,SP 2.2: Bursaries,"177,250,852","177,250,852",100.0,397,0
,SP 2.3: Education development,"18,457,589",-,-,397,0
,Sub total,"340,831,723","180,303,605",52.9,397,0
Vocational Training,SP 3.1: Vocational training,"72,887,706","3,285,608",4.5,397,0
,SP 3.2: Revitalisation of the youth programme,"90,843,757","66,285,000",73.0,397,0
