Department,Programmes,Sub Programmes,"Approved Budget
2020/2021
(Kshs)","Actual payment
(Kshs)","Variance
(Kshs)","% Ab-
sorption",page_number,table_index
"YOUTH SPORTS
GENDER AND
CULTURE","Operation and mainte-
nance","Use of Goods and Services
total","7,570,370","5,156,060","2,414,310",68.1,48,0
,Programme 1,"Policy Development and Ad-
ministrative Services","5,000,000","311,200","4,688,800",6.2,48,0
,Programme 2,"Gender, Children Services
and Social Protection","29,000,000",-,"29,000,000",-,48,0
,Programme3,Culture and library services,"8,000,000",-,"8,000,000",-,48,0
,Programme 4,"Youth and Sports Develop-
ment","19,000,000",-,,-,48,0
,Sub Total,,"68,570,370","5,467,260","44,103,110",8.0,48,0
"MEDICAL SER-
VICES AND PUB-
LIC HEALTH",Salaries and Wages,Compensation to Employees,"707,300,000","473,256,771","234,043,229",66.9,48,0
,"Operation and mainte-
nance",Use of Goods and Services,"1,118,120,267","158,392,417","959,727,850",14.2,48,0
,Programmes 2,Curative Services,"291,869,478","100,835,842","191,033,636",34.5,48,0
,Programme 3,"Preventive and Promotive
Services","88,129,352","2,073,590","86,055,762",2.4,48,0
,Programme 4,Reproductive Services,"142,727,126",-,"142,727,126",-,48,0
,,"Cash Transfers to Health Fa-
cilities.","122,034,644","84,424,200","37,610,444",69.2,48,0
,,COVID- 19 Response,"115,000,000","51,969,822","63,030,178",45.2,48,0
,Programme 5,Health Infrastructure,"279,756,170","21,047,740","258,708,430",7.5,48,0
,Sub Total,,"2,864,937,036","892,000,382","1,972,936,654",31.1,48,0
AGRICULTURE COOPERATIVES AND MARKETING,,,,,,,48,0
,Programme 2,"Crop development and man-
agement","243,258,274","50,936,645","192,321,629",20.9,49,0
,Programme 3,"P3. Agribusiness Develop-
ment and Marketing","48,000,000","1,479,417","46,520,583",3.1,49,0
,Programme 4,"P4. Livestock, Fisheries & Vet-
erinary Services","53,500,000","14,516,035","38,983,965",27.1,49,0
,Sub Total,,"369,913,820","71,067,997","298,845,823",19.2,49,0
"WATER SANITA-
TION AND ENVI-
ROMENT","Operation and mainte-
nance","Use of Goods and Services
sub total","17,300,000","8,823,855","8,476,145",51.0,49,0
,,"Support to Bomet Water
Company (Grants)","80,000,000","41,500,000","38,500,000",51.9,49,0
