Programme,Sub Programme,"Approved Budget(K-
shs.)","Actual payments
(Kshs)",Variance (Kshs),"Absorption Rate
(%)",page_number,table_index
"Agriculture Devel-
opment","Administration, planning support ser-
vices","77,836,678","10,730,413","67,106,265",13.8,330,1
,"Administration, planning support ser-
vices","77,836,678","10,730,413","67,106,265",13.8,330,1
,Agricultural Development project,"639,848,337","44,520,091","595,328,246",7.0,330,1
,"Agricultural Mechanization Services
(AMS Garsen station)","26,984,500","3,982,364","23,002,136",14.8,330,1
,Minor/Village irrigation schemes,"20,000,000","428,150","19,571,850",2.1,330,1
,,"57,823,158","39,644,977","18,178,181",68.6,330,1
,,"600,000",-,"600,000",-,330,1
,,"448,911,379",-,"448,911,379",-,330,1
,"Agriculture Sector Development Sup-
port Project (ASDSP)","84,283,600",-,"84,283,600",-,330,1
,Food and Agriculture Organization,"1,245,700","464,600","781,100",37.3,330,1
,Veterinary Development,"10,286,818","1,362,269","8,924,549",13.2,330,1
,Veterinary extension services,"918,500","421,650","496,850",45.9,330,1
,Artificial insemination (Pilot scheme),"485,000","253,000","232,000",52.2,330,1
,"Buy Tsetse fly traps/Targets (Kipini,
Tarasa)","2,068,872","229,400","1,839,472",11.1,330,1
,Conduct Disease Surveillance,"5,349,600","56,350","5,293,250",1.1,330,1
,,"1,082,846","370,869","711,977",34.3,330,1
,Leather Development Service,"382,000","31,000","351,000",8.1,330,1
,Livestock Development,"20,259,250","1,316,183","18,943,067",6.5,330,1
,Livestock production extension services,"16,154,250","929,233","15,225,017",5.8,330,1
,,"1,105,000","386,950","718,050",35.0,330,1
,,"3,000,000",-,"3,000,000",-,330,1
,Fisheries Development,"72,988,940",-,"72,988,940",-,330,1
,Fisheries development,"52,988,940",-,"52,988,940",-,330,1
,"Provision of Fishing Gears to Fishers in
Kipini","20,000,000",-,"20,000,000",-,330,1
,County Land Survey Services,"30,000,000",-,"30,000,000",-,330,1
,Surveying and Mapping,"30,000,000",-,"30,000,000",-,330,1
,Fisheries,"2,245,000","336,680","1,908,320",15.0,330,1
,"Empowerment of Women and Youth on
Fish Safety and Quality Assurance","1,320,000","277,280","1,042,720",21.0,330,1
,"Construction of Ice Plant and Cold Stor-
age","925,000","59,400","865,600",6.4,330,1
"Land Policy and
Planning",Land Policy and Planning,"61,344,888","19,086,705","42,258,183",31.1,330,1
,Physical Planning,"44,624,782","6,453,994","38,170,788",14.5,330,1
,Land Survey and Mapping,"5,320,106","3,818,617","1,501,489",71.8,330,1
,Land Administration,"11,400,000","8,814,094","2,585,906",77.3,330,1
"Infrastructure Devel-
opment programme","Infrastructure Development pro-
gramme","160,300,000",-,"160,300,000",-,331,0
,Public Works,"105,000,000",-,"105,000,000",-,331,0
,Roads,"55,300,000",-,"55,300,000",-,331,0
,"Administration, Planning and Support
Services","50,466,872","711,927","49,754,945",1.4,331,0
,"Administration, planning, Operation
and Maintenance","50,466,872","711,927","49,754,945",1.4,331,0
,Public Works,"396,572,838","118,956,199","277,616,639",30.0,331,0
,Construction,"5,000,000",-,"5,000,000",-,331,0
,County Headquarters,"391,572,838","118,956,199","272,616,639",30.4,331,0
,County Roads Development,"560,462,959","177,728,330","382,734,629",31.7,331,0
,Routine Maintenance,"384,767,093","175,669,910","209,097,183",45.7,331,0
,Opening of New Roads,"32,929,733","927,620","32,002,113",2.8,331,0
,"Grading and Murruming of County
Roads","52,363,333","913,800","51,449,533",1.8,331,0
,Tarmacking of County Roads,"90,402,800","217,000","90,185,800",0.2,331,0
,County Housing Development,"10,330,662","6,066,106","4,264,556",58.7,331,0
,Maintenance of County Houses,-,-,-,-,331,0
,Housing Development,"3,788,662","786,606","3,002,056",20.8,331,0
,Urbanization,"6,542,000","5,279,500","1,262,500",80.7,331,0
,Urban Development,"153,271,100","97,445,010","55,826,090",63.6,331,0
,Hola Municipality,"153,271,100","97,445,010","55,826,090",63.6,331,0
,Administration and Support Services,"14,361,468","610,730","13,750,738",4.3,331,0
,"Administration, planning & support Ser-
vices","14,361,468","610,730","13,750,738",4.3,331,0
"Promotion of Trade,
Tourism and Coop-
erative Development","Promotion of Trade, Tourism and Co-
operative Development","94,392,847","9,446,489","84,946,358",10.0,331,0
,Promotion of Trade,"67,951,705","6,334,909","61,616,796",9.3,331,0
,Promotion of Tourism,"22,607,704","1,579,850","21,027,854",7.0,331,0
,Promotion of Cooperative Development,"3,833,438","1,531,730","2,301,708",40.0,331,0
"Health Services
Programme",Administration and Support Services,"1,095,898,867","532,891,204","563,007,663",48.6,331,0
,"Administration, planning & support Ser-
vices","1,095,898,867","532,891,204","563,007,663",48.6,331,0
,Health Services Programme,"29,200,000",-,"29,200,000",-,331,0
,Preventive Health Programme,"15,000,000",-,"15,000,000",-,331,0
,Curative Health programme,"14,200,000",-,"14,200,000",-,331,0
,Curative and Rehabilitative,"341,400,000","196,934,526","144,465,474",57.7,331,0
,Medical Supplies,"156,200,000","87,084,463","69,115,537",55.8,331,0
,Medical Services,"129,400,000","58,801,613","70,598,387",45.4,331,0
,Ambulance Services,"55,800,000","51,048,450","4,751,550",91.5,331,0
,Preventive and Promotive,"25,095,800","11,495,480","13,600,320",45.8,331,0
,Preventive and Promotive,"8,700,000","4,394,530","4,305,470",50.5,331,0
,Licensing and Control of Undertaking,"13,895,800","6,695,450","7,200,350",48.2,331,0
,Mobile Clinics,"2,500,000","405,500","2,094,500",16.2,331,0
,"General Administration, Planning and
Support services","206,818,972","88,279,132","118,539,840",42.7,331,0
,"General operation, Planning and support
services","206,818,972","88,279,132","118,539,840",42.7,331,0
Sports Services,Sports Services,"3,000,000",-,"3,000,000",-,331,0
,Sports Services,"3,000,000",-,"3,000,000",-,331,0
"Quality and Standard
Assurance in EYE
Centre","Quality and Standard Assurance in
EYE Centre","142,551,996","10,807,661","131,744,335",7.6,331,0
,ECDE Learning/Teaching Materials,"42,551,996","10,807,661","31,744,335",25.4,331,0
,ECDE Furniture and Equipment Support,-,-,-,-,331,0
,ECDE Infrastructure,"100,000,000",-,"100,000,000",-,331,0
,"Vocational Training Centres and Adult
Education","66,989,894","16,944,547","50,045,347",25.3,331,0
,Youth Polytechnic Publicity Campaigns,"1,990,000","900,500","1,089,500",45.3,331,0
,"Provision of Modern Tools and Equip-
ment","335,000","35,000","300,000",10.5,331,0
,"Subsidized Youth Polytechnic Tuition
Fund (SYPT)","64,664,894","16,009,047","48,655,847",24.8,331,0
,"Administration, planning support ser-
vices","274,853,662","102,598,709","172,254,953",37.3,331,0
"Financial Manage-
ment","Administration, planning support ser-
vices","1,177,319,273","314,109,478","863,209,795",26.7,332,0
,"Administration, planning support ser-
vices","1,177,319,273","314,109,478","863,209,795",26.7,332,0
,Financial Management,"916,974,184","600,844,534","316,129,650",65.5,332,0
,Financial management,"19,872,263","17,184,266","2,687,997",86.5,332,0
,Supply Chain Managements,"13,441,000","4,825,119","8,615,881",35.9,332,0
,Own Source Revenue Collection,"20,314,000","4,356,000","15,958,000",21.4,332,0
,Budget and Economic Planning,"16,784,864","6,478,243","10,306,621",38.6,332,0
,Accounting & Finance,"815,359,006","554,079,866","261,279,140",68.0,332,0
,Internal Audit,"9,431,566","5,146,840","4,284,726",54.6,332,0
,Monitoring and Evaluation,"21,771,485","8,774,200","12,997,285",40.3,332,0
,"Board Administration, Planning and
Governance","58,178,248","9,219,873","48,958,376",15.9,332,0
,Board Operations & Governance,"58,178,248","9,219,873","48,958,376",15.9,332,0
,,"14,432,000","7,882,020","6,549,980",54.6,332,0
,Ethics Governance and Compliance,"3,132,000","2,402,060","729,940",76.7,332,0
,"Informational Communication Technol-
ogy (ICT)","6,000,000","3,001,780","2,998,220",50.0,332,0
,"Human Resource Management & Devel-
opment","2,900,000","1,087,040","1,812,960",37.5,332,0
,Skills and Competence Development,"2,400,000","1,391,140","1,008,860",58.0,332,0
,,"148,369,416","128,493,794","19,875,622",86.6,332,0
,Performance Management System,"4,869,416","731,248","4,138,168",15.0,332,0
,Human Resource Development,"143,500,000","127,762,546","15,737,454",86.0,332,0
,,"37,850,000","2,976,850","34,873,150",7.9,332,0
,County Administration,"37,850,000","2,976,850","34,873,150",7.9,332,0
,,"3,822,576","2,847,300","975,276",74.5,332,0
,Citizen Participation,"3,822,576","2,847,300","975,276",74.5,332,0
,,"125,675,364","60,921,680","64,753,684",48.5,332,0
,"County Leadership & Coordination of
CDAs","40,300,000","21,762,700","18,537,300",54.0,332,0
,County Government Advisory Service,"64,875,364","27,194,931","37,680,433",41.9,332,0
,Coordination of Peace and Cohesion,"20,500,000","11,964,049","8,535,951",58.4,332,0
,"Administration, planning support ser-
vices","45,820,175","14,330,939","31,489,236",31.3,332,0
,"Administration, planning support ser-
vices","45,820,175","14,330,939","31,489,236",31.3,332,0
,Social development,"4,500,000",-,"4,500,000",-,332,0
,Social development,"4,500,000",-,"4,500,000",-,332,0
Culture Promotion,Culture,"13,500,000",-,"13,500,000",-,332,0
,"County women, Youth and PWDs em-
powerment and development fund","13,500,000",-,"13,500,000",-,332,0
,"Natural Disaster mitigation pro-
gramme","74,885,000","3,378,220","71,506,780",4.5,332,0
,"Drought management (Preparedness,
Response and Recovery)","11,385,677","3,378,220","8,007,457",29.7,332,0
,"Emergency Relief (food, medicine, blan-
kets, cash grant)","63,499,323",-,"63,499,323",-,332,0
,,"6,799,999","864,900","5,935,099",12.7,332,0
,Culture Promotion and Development,"5,649,999","971,000","4,678,999",17.2,332,0
,"Empowerment/Capacity Building of
Cultural Practitioners","1,150,000","- 106,100","1,256,100",- 9.2,332,0
,,"2,420,000","450,010","1,969,990",18.6,332,0
,Baseline Survey for OVC,"850,000","317,010","532,990",37.3,332,0
,"Community Awareness Creation on
Child Rights and Child Protection","1,220,000","83,000","1,137,000",6.8,332,0
,Enhanced Child Participation,"350,000","50,000","300,000",14.3,332,0
