Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index,"Actual Payments in
(Kshs.)",Variance(Kshs.),"Absorption rate
(%)"
,Sub total,"5,271,760",,,,318,0,"2,239,088","3,032,672",42.5%
"Vocational Education and Training Devel-
opment","Vocational Education
and Training Devel-
opment","2,608,458",,,,318,0,"1,115,350","1,493,108",42.8%
,Sub total,"2,608,458",,,,318,0,"1,115,350","1,493,108",42.8%
County Social Security and Services,"County Social Security
and Services","25,480,871",,,,318,0,"2,032,758","23,448,113",8.0%
,Sub total,"25,480,871",,,,318,0,"2,032,758","23,448,113",8.0%
COUNTY HEALTH SERVICES,,,,,,318,0,,,
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services","2,275,592,713",,,,319,0,"1,255,406,054","1,020,186,659",55.2%
,Sub total,"2,275,592,713",,,,319,0,"1,255,406,054","1,020,186,659",55.2%
"Curative and Rehabilitative Health Care
Services","Curative and Reha-
bilitative Health Care
Services","127,047,600",,,,319,0,"91,409,530","35,638,070",71.9%
,Sub total,"127,047,600",,,,319,0,"91,409,530","35,638,070",71.9%
Preventive and Promotive Health Services,"Preventive and Pro-
motive Health Services","117,850,000",,,,319,0,"25,697,096","92,152,904",21.8%
,Sub total,"117,850,000",,,,319,0,"25,697,096","92,152,904",21.8%
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT AND HOUSING",,,,,,319,0,,,
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services","230,527,256",,,,319,0,"48,445,013","182,082,243",21.0%
,Sub total,"230,527,256",,,,319,0,"48,445,013","182,082,243",21.0%
Land Use Planning,Land Use Planning,"1,960,000",,,,319,0,"1,066,400","893,600",54.4%
,Sub total,"1,960,000",,,,319,0,"1,066,400","893,600",54.4%
"County Land Administration and Survey-
ing","County Land Admin-
istration and Survey-
ing","2,385,000",,,,319,0,"1,081,650","1,303,350",45.4%
,Sub total,"2,385,000",,,,319,0,"1,081,650","1,303,350",45.4%
Housing and Urban Development,"Housing and Urban
Development","2,650,000",,,,319,0,"1,576,810","1,073,190",59.5%
,Sub total,"2,650,000",,,,319,0,"1,576,810","1,073,190",59.5%
Siaya Municipal Board,Siaya Municipal Board,"16,718,000",,,,319,0,"4,207,778","12,510,222",25.2%
,Sub total,"16,718,000",,,,319,0,"4,207,778","12,510,222",25.2%
"ROADS, PUBLIC WORKS, ENERGY AND TRANSPORT",,,,,,319,0,,,
Transport Infrastructure Development,"Transport Infrastruc-
ture Development","1,062,561,322",,,,319,0,"357,650,142","704,911,180",33.7%
,Sub total,"1,062,561,322",,,,319,0,"357,650,142","704,911,180",33.7%
County Government Building Services,"County Government
Building Services","627,241",,,,319,0,-,"627,241",0.0%
,Sub total,"627,241",,,,319,0,-,"627,241",0.0%
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services","1,159,795",,,,319,0,"405,000","754,795",34.9%
,Sub total,"1,159,795",,,,319,0,"405,000","754,795",34.9%
ENTERPRISES AND INDUSTRIAL DEVELOPMENT,,,,,,319,0,,,
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services","268,760,131",,,,319,0,"109,251,848","159,508,283",40.7%
,Sub total,"268,760,131",,,,319,0,"109,251,848","159,508,283",40.7%
Trade Development and Promotion,"Trade Development
and Promotion","1,970,000",,,,319,0,"939,894","1,030,106",47.7%
,Sub total,"1,970,000",,,,319,0,"939,894","1,030,106",47.7%
"Fair Trade Practices and Consumer Protec-
tion Services","Fair Trade Practices
and Consumer Protec-
tion Services","2,360,000",,,,319,0,"1,442,714","917,286",61.1%
,Sub total,"2,360,000",,,,319,0,"1,442,714","917,286",61.1%
Alcoholic Drinks Control,"Alcoholic Drinks Con-
trol","1,490,000",,,,319,0,"767,554","722,446",51.5%
,Sub total,"1,490,000",,,,319,0,"767,554","722,446",51.5%
"Co-operatives Development and Manage-
ment","Co-operatives Devel-
opment and Manage-
ment","2,190,000",,,,319,0,"1,463,455","726,545",66.8%
,Sub total,"2,190,000",,,,319,0,"1,463,455","726,545",66.8%
"TOURISM, CULTURE SPORTS AND ARTS",,,,,,319,0,,,
"General Administration, Planning and
Support Services","General Administra-
tion, Planning and
Support Services","247,172,143",,,,319,0,"133,019,650","114,152,493",53.8%
,Sub total,"247,172,143",,,,319,0,"133,019,650","114,152,493",53.8%
Sports and Arts,Sports and Arts,"7,085,000",,,,319,0,"5,080,305","2,004,695",71.7%
,Sub total,"7,085,000",,,,319,0,"5,080,305","2,004,695",71.7%
"Information, Communication Technology","Information, Commu-
nication Technology","5,890,000",,,,319,0,"3,089,094","2,800,906",52.4%
,Sub total,"5,890,000",,,,319,0,"3,089,094","2,800,906",52.4%
