Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance(Kshs.),Absorption (%),page_number,table_index
County Executive,,,,,,276,0
General Administration and Planning,"General Administration
and Planning","332,983,927","250,436,696","82,547,231",75.2,276,0
,Sub total,"332,983,927","250,436,696","82,547,231",75.2,276,0
Physical Infrastructure,"Construction of Gover-
nor's Offices","30,000,000",-,"30,000,000",0.0,276,0
,Sub total,"30,000,000",-,"30,000,000",0.0,276,0
Finance and Economic Planning,,,,,,276,0
General Administration and Planning,"General Administration
and Planning","407,381,387","306,365,635","101,015,752",75.2,276,0
,Sub total,"407,381,387","306,365,635","101,015,752",75.2,276,0
"Revenue Enhancement and Infrastruc-
ture","Revenue Collection and
Management Phase 1","10,000,000","3,040,930","6,959,070",30.4,276,0
,Sub total,"10,000,000","3,040,930","6,959,070",30.4,276,0
"Devolved Units and Special Pro-
grammes",,,,,,276,0
"Administration and Support of Human
Resources","Administrative Support
Services","460,971,378","327,255,383","133,715,995",71.0,276,0
,ICT Support Services,"13,500,000",-,"13,500,000",0.0,276,0
,Sub total,"474,471,378","327,255,383","147,215,995",69.0,276,0
County Administrative Services,"Urban Planning, Invest-
ment and Research","191,346,920","139,562,987","51,783,933",72.9,276,0
,Sub total,"191,346,920","139,562,987","51,783,933",72.9,276,0
Health and Sanitation,,,,,,276,0
"Health Service Delivery Administra-
tion Services","Health Service Delivery
Administration Services","1,897,509,456","1,314,021,974","583,487,482",69.2,276,0
,Construction of building,"335,976,629","79,763,765","256,212,864",23.7,276,0
,Sub total,"2,233,486,085","1,393,785,739","839,700,346",62.4,276,0
"Preventive & Promotive Health Ser-
vices","Community Health Ser-
vices","391,537,664","312,349,190","79,188,474",79.8,276,0
,Sub total,"391,537,664","312,349,190","79,188,474",79.8,276,0
Curative Health Services,"Curative Health Manage-
ment Services","126,796,289","73,059,983","53,736,306",57.6,276,0
,Sub total,"126,796,289","73,059,983","53,736,306",57.6,276,0
"Health Sector Programme Support
(DANIDA FUNDS)","County Health Facilities
Support (DANIDA)","18,808,500","11,223,550","7,584,950",59.7,276,0
,Sub total,"18,808,500","11,223,550","7,584,950",59.7,276,0
"Agriculture, Livestock and Fisheries",,,,,,276,0
"Administration and general support
services","Administration and sup-
port services","287,319,034","207,920,284","79,398,750",72.4,276,0
,Sub total,"287,319,034","207,920,284","79,398,750",72.4,276,0
Crop Development and Management,"Land and Crops Develop-
ment","232,246,023","157,805,955","74,440,068",67.9,276,0
,"Value addition to Agricul-
tural Products",-,-,-,-,276,0
,Sub total,"232,246,023","157,805,955","74,440,068",67.9,276,0
"Livestock Resources Management and
Development","Livestock Production and
Management","289,214,130","66,872,110","222,342,020",23.1,276,0
,Sub total,"289,214,130","66,872,110","222,342,020",23.1,276,0
"Tourism, Culture and Cooperative
Development",,,,,,276,0
General Administration and Planning,"General Administration
and Planning","32,574,072","19,490,446","13,083,626",59.8,276,0
,Sub total,"32,574,072","19,490,446","13,083,626",59.8,276,0
Culture,"Development and Promo-
tion of Culture","32,898,000","5,835,998","27,062,002",17.7,276,0
,Sub total,"32,898,000","5,835,998","27,062,002",17.7,276,0
"Youth, Gender and Social Services",,,,,,276,0
General Administration and Planning,"General Administration
and Planning","86,425,001","41,936,278","44,488,723",48.5,276,0
,Sub total,"86,425,001","41,936,278","44,488,723",48.5,276,0
Sports Development,"Sports Activities and Pro-
grams","73,902,912","1,389,500","72,513,412",1.9,276,0
,Sub total,"73,902,912","1,389,500","72,513,412",1.9,276,0
