Vote Code Title,Programme,Programme Code and Title,"Revised Budgets
(Kshs.)","Total Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
,,"0902055310 Sp2.5 Youth Empow-
erment and Promotion","15,406,530","10,150,000","5,256,530",66,260,0
,,"0902065310 Sp 2.6 Social welfare
and care for the Aged","28,239,920","792,800","27,447,120",3,260,0
,,"0902075310 Sp 2.7 Promotion of
Library and Information Services","2,029,180","300,000","1,729,180",15,260,0
,,"0902085310 Sp.2 8 Rescue and Re-
habilitation of Children Services","10,339,340","3,268,790","7,070,550",32,260,0
,,"Total 5318000000 EDUCA-
TION,YOUTH AFFAIRS,
SPORTS, CULTURE & SOCIAL
SERVICES","2,072,976,246","1,241,814,401","831,161,845",60,260,0
"5319000000 TRADE,COMMERCE,TOURISM & COOPERATIVES",,,,,,,260,0
,"0301000 P.1 Gener-
al Administration
Planning and Sup-
port Services","0301010 SP1 General Adminis-
tration Planning and Support Ser-
vices","411,744,540","132,858,127","278,886,413",32,260,0
,"0310005310 P.10
Co-operative De-
velopment and Au-
dit Services","0310015310 sp 10.1 Cooperative
Development Services","9,995,190","3,165,100","6,830,090",32,260,0
,,"0310025310 sp 10.2 Cooperative
Audit Services","3,357,560","240,000","3,117,560",7,260,0
,"0311005310 P.11
Tourism Promo-
tion and Marketing","0311015310 sp 11.1 Tourism De-
velopment","11,338,630","1,588,846","9,749,784",14,260,0
,"0312005310 P.12
Trade development
and Market Ser-
vices","0312015310 sp 12.1 Trade Devel-
opment","136,531,790","1,909,360","134,622,430",1,260,0
,,"0312025310 sp 12.2 Market Ser-
vices","144,252,029","45,111,741","99,140,288",31,260,0
,"0313005310 P.13
Licensing and Fair
Trade Practices","0313015310 sp 13.1 Liquor Licens-
ing & Regulation",-,-,-,-,260,0
,,"0313025310 sp 13.2 Weights &
Measures Services","22,439,470","209,800","22,229,670",1,260,0
,,"0313035310 sp 13.3 Trade Licens-
ing Services","8,884,490","2,214,530","6,669,960",25,260,0
,,"0313045310 sp 13.4 Betting &
Gaming Services","6,384,460","449,200","5,935,260",7,260,0
,,"Total 5319000000 TRADE,COM-
MERCE,TOURISM & COOPER-
ATIVES","754,928,159","187,746,704","567,181,455",25,260,0
5320000000 PUBLIC SERVICE MANAGEMENT,,,,,,,260,0
,"0701000 P1 Gener-
al Administration
Planning and Sup-
port Services","0701010 SP.1.1 General Admin-
istration Planning and Support
Services","414,384,416","184,271,400","230,113,016",44,261,0
,"0710000 P 5: Public
Service Transfor-
mation","0710010 S.P.5.1 Human Resource
Management","920,564,790","328,764,840","591,799,950",36,261,0
,,"0710020 S.P.5.2 Human Resource
Development","65,703,030","10,989,613","54,713,417",17,261,0
,"0723005310 P 23
Performance Man-
agement and Pub-
lic Service Delivery","0723015310 sp 23.1 Performance
Contracting management","3,330,830","295,200","3,035,630",9,261,0
,,"0723025310 sp 23.2 Governance
Monitoring and Evaluation","3,315,360",0,"3,315,360",0,261,0
,,"0723035310 sp 23.3 Quality Man-
agement Systems and ISO certifi-
cation","892,610",0,"892,610",0,261,0
,,"Total 5320000000 PUBLIC SER-
VICE MANAGEMENT","1,408,191,036","524,321,053","883,869,983",37,261,0
"5321000000 AGRICULTURE, LIVESTOCK DEVELOPMENT, FISHERIES & FORESTRY",,,,,,,261,0
,"0106000 P 6 Gener-
al Administration
Planning and Sup-
port Services","0106010 SP.6.1 Administration,
Planning & Support Services","193,102,827","131,479,105","61,623,722",68,261,0
,"P;0119005310:Ur-
ban Agriculture
Promotion & Reg-
ulation","019015310: Crop Development
and Management","7,356,303","552,400","6,803,903",8,261,0
