Programme,Sub- Programme,"Approved Budge
(Kshs)","t Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index,"Approved Budget
(Kshs)","Actual Payments
(Kshs)"
,,"86,792,99","4 70,420,115","16,372,879",81.1,267,1,,
"Promotion of Dairy Production,
Breeding and Disease Control","Promotion of Dairy Production,
Breeding and Disease Control","78,792,99","4 70,420,115","8,372,879",89.4,267,1,,
"Promotion of Value Addition of
Livestock and Livestock Products","Promotion of Value Addition of
Livestock and Livestock Products","8,000,00",0 -,"8,000,000",-,267,1,,
"Promotion of Non-ruminants and
Emerging livestock Enterprises","Promotion of Non-ruminants and
Emerging livestock Enterprises",,- -,-,-,267,1,,
Promotion of Apiculture,Promotion of Apiculture,,- -,-,-,267,1,,
,,"4,343,11","5 354,590","3,988,525",8.2,267,1,,
Aquaculture development,Aquaculture development,"4,343,11","5 354,590","3,988,525",8.2,267,1,,
"Development of capture fisheries
resources","Development of capture fisheries
resources",,- -,-,-,267,1,,
"Fish quality assurance, value addi-
tion and marketing","Fish quality assurance, value addi-
tion and marketing",,- -,-,-,267,1,,
,,,,"320,719,657",33.2,268,0,"479,778,843","159,059,186"
"Extension, Research and Training","Extension, Research and Training",,,-,-,268,0,-,-
"Crop Production and Food Secu-
rity","Crop Production and Food Secu-
rity",,,"320,719,657",33.2,268,0,"479,778,843","159,059,186"
"Farmland utilization, Conservation
and Mechanization","Farmland utilization, Conservation
and Mechanization",,,-,-,268,0,-,-
"Agribusiness Development and
Marketing","Agribusiness Development and
Marketing",,,-,-,268,0,-,-
,,,,"1,551,921,860",8.7,268,0,"1,699,878,933","147,957,073"
Administration Services,Administration Services,,,"444,600,562",20.3,268,0,"557,686,294","113,085,732"
Infrastructure for Land,Infrastructure for Land,,,"1,107,321,298",3.1,268,0,"1,142,192,639","34,871,341"
,,,,"11,082,366",10.9,268,0,"12,440,000","1,357,634"
Develop County Spatial Plan,Develop County Spatial Plan,,,"6,155,631",12.7,268,0,"7,050,000","894,369"
GIS Data Base creation,GIS Data Base creation,,,-,-,268,0,-,-
Survey and Mapping,Survey and Mapping,,,"4,926,735",8.6,268,0,"5,390,000","463,265"
,,,,"2,055,809,075",10.6,268,0,"2,299,393,628","243,584,553"
"Rehabilitation of Roads, Drainage
and Bridges","Rehabilitation of Roads, Drainage
and Bridges",,,"2,048,691,970",10.6,268,0,"2,291,793,628","243,101,658"
"Rehabilitation and construction of
Transport terminals","Rehabilitation and construction of
Transport terminals",,,"100,000",-,268,0,"100,000",-
"Design, Supervision and Rehabili-
tation of County Buildings","Design, Supervision and Rehabili-
tation of County Buildings",,,"2,750,000",-,268,0,"2,750,000",-
"Firefighting and Emergency Ser-
vices","Firefighting and Emergency Ser-
vices",,,"4,267,105",10.2,268,0,"4,750,000","482,895"
,,,,"47,550,000",50.0,268,0,"95,050,000","47,500,000"
"Installation, Maintenance and Re-
habilitation of lighting","Installation, Maintenance and Re-
habilitation of lighting",,,"47,550,000",50.0,268,0,"95,050,000","47,500,000"
,,,,"399,417,149",18.9,268,0,"492,269,093","92,851,944"
Administration & Personnel,Administration & Personnel,,,"399,417,149",18.9,268,0,"492,269,093","92,851,944"
System Support,System Support,,,-,-,268,0,-,-
,,,,"14,455,099",2.9,268,0,"14,892,500","437,401"
"Functional & Technical Support
Centre-Help Desk","Functional & Technical Support
Centre-Help Desk",,,"14,455,099",2.9,268,0,"14,892,500","437,401"
