Program,Sub Program,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
%",page_number,table_index
Sub-Total,,"848,077,642","280,584,125","567,493,517",33.1,73,0
Education and Technical Training,,,,,,73,0
General administration and support services,,"78,228,809",-,"78,228,809",-,73,0
,"General administration and support
services","78,228,809",-,"78,228,809",-,73,0
Technical and Vocational Education and Training (TVET),,"191,402,962","129,348,011","62,054,951",67.6,73,0
,"Technical Vocational Education &
Training","191,402,962","129,348,011","62,054,951",67.6,73,0
Pre-Primary Education,,"29,532,300",-,"29,532,300",-,73,0
,Pre-Primary Education,"29,532,300",-,"29,532,300",-,73,0
,,"188,769,611","50,494,722","138,274,889",26.7,73,0
,,"188,769,611","50,494,722","138,274,889",26.7,73,0
Sub-Total,,"487,933,682","179,842,733","308,090,949",36.9,73,0
Health and Sanitation,,,,,,73,0
General administration and support services,,"1,634,515,534","1,084,552,402","549,963,132",66.4,73,0
,Default - Non Programmatic,"1,634,515,534","1,084,552,402","549,963,132",66.4,73,0
Preventive and Promotive health,,"14,922,412","5,751,217","9,171,195",38.5,73,0
,"Community and Environmental
Health","14,922,412","5,751,217","9,171,195",38.5,73,0
,"Communicable & Non-Communica-
ble Disease Prevention & Control",-,-,-,-,73,0
Curative and Rehabilitative Health,,"242,044,440","41,740,966","200,303,474",17.2,73,0
,Commodity management,"1,800,000","99,922","1,700,078",5.6,73,0
,County Hospitals,"40,663,332","1,971,770","38,691,562",4.8,73,0
,Primary Care Units,"176,901,988","36,943,984","139,958,004",20.9,73,0
,Emergency Medical Services,"22,679,120","2,725,290","19,953,830",12.0,73,0
Sub-Total,,"1,865,482,386","1,132,110,587","759,437,801",60.7,73,0
"Water, Lands, Environment and Climate Change",,,,,,73,0
General administration and support services,,"81,341,724","52,502,970","28,838,754",64.5,73,0
,"General administration and support
services","81,341,724","52,502,970","28,838,754",64.5,73,0
Water and Sanitation Management,,"213,691,985","22,108,269","191,583,716",10.3,73,0
,Water Services,"213,691,985","22,108,269","191,583,716",10.3,73,0
Environmental Management and Protection,,"2,400,000",-,"2,400,000",-,73,0
,Environmental conservation,"2,400,000",-,"2,400,000",-,73,0
Solid Waste Management,,"200,000",-,"200,000",-,73,0
,Solid waste management,"200,000",-,"200,000",-,73,0
"Lands, Physical planning and Urban Development",,"233,724,252","12,075,705","221,648,547",5.2,73,0
,"Lands, Physical planning and Urban
Development","233,724,252","12,075,705","221,648,547",5.2,73,0
Sub-Total,,"531,357,961","84,887,074","446,470,887",16.0,73,0
"Roads, Public Works and Transport",,,,,,73,0
General administration and support services,,"74,668,229","42,197,185","32,471,044",56.5,73,0
,"General administration and support
services","74,668,229","42,197,185","32,471,044",56.5,73,0
Public Works,,"492,102,257","145,304,062","346,798,195",29.5,73,0
,Public Works,"492,102,257","145,304,062","346,798,195",29.5,73,0
Energy,,"8,075,600","251,700","7,823,900",3.1,73,0
,Energy,"8,075,600","251,700","7,823,900",3.1,73,0
Road Improvement,,"9,248,000","4,833,110","4,414,890",52.3,73,0
,Rural road Works,"9,248,000","4,833,110","4,414,890",52.3,73,0
Sub-Total,,"584,094,086","192,586,058","391,508,029",33.0,73,0
"Tourism, Culture, Wildlife, Trade and Industry",,,,,,73,0
General administration and support services,,"36,168,213","23,638,501","12,529,712",65.4,73,0
