Program,Sub Program,Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
101003510,,"Livestock resource manage-
ment and development","104,240,813","79,945,143","24,295,670",76.7,102,1
,101013510,Extension services,-,-,-,0.0,102,1
,101023510,Livestock Production,"104,240,813","79,945,143","24,295,670",76.7,102,1
,101063510,Capacity building,-,-,-,0.0,102,1
,101073510,"promotion of value addition of
livestock and livestock products",-,-,-,0.0,102,1
,101083510,"livestock infrastructure devel-
opment",-,-,-,0.0,102,1
102003510,,Fisheries development,"2,000,000",-,"2,000,000",0.0,102,1
,102013510,infrastructure development,-,-,-,0.0,102,1
,102023510,extension services,-,-,-,0.0,102,1
,102033510,capacity building,"2,000,000",-,"2,000,000",0.0,102,1
103003510,,"Administrative, planning, and
support services","53,641,138","29,754,234","23,886,904",55.5,102,1
,103013510,"Administration and Support
Services","53,641,138","29,754,234","23,886,904",55.5,102,1
,103023510,"generation of sector policy and
direction",-,-,-,0.0,102,1
104003510,,"Crop Productivity Improve-
ment","493,337,295","65,254,129","428,083,166",13.2,102,1
,104013510,"Increase food productivity &
output by 30%.",-,-,-,0.0,102,1
,104023510,"Enhance accessibility of afford-
able inputs and credit to farmers",-,-,-,0.0,102,1
,104033510,"Promote sustainable land use
and environmental conserva-
tion",-,-,-,0.0,102,1
,104043510,Establishment of Demo Farms,"14,193,675","6,366,100","7,827,575",44.9,102,1
,104053510,"Administration Climate Change
Mitigation","479,143,620","58,888,029","420,255,591",12.3,102,1
,104063510,Irrigation,-,-,-,0.0,102,1
,104073510,Policy Devt,-,-,-,0.0,102,1
105003510,,Value Addition,"45,244,423","19,807,700","25,436,723",43.8,102,1
,105013510,Veterinary Support Services,"45,244,423","19,807,700","25,436,723",43.8,102,1
107003510,,"Planning and Survey of Urban
Areas (Modogashe and Ol nd-
onyiro)","25,376,220","7,995,536","17,380,684",31.5,102,1
,107013510,"Administration and Planning
Services","25,376,220","7,995,536","17,380,684",31.5,102,1
109003510,,"Land Survey and land use
planning","57,045,199","12,530,430","44,514,769",22.0,102,1
,109013510,"County land planning and spa-
tial development","27,545,199","12,530,430","15,014,769",45.5,102,1
,109023510,"County Land Survey and Map-
ping","29,500,000",-,"29,500,000",0.0,102,1
,109033510,"land management infrastruc-
tural development",-,-,-,0.0,103,0
203003510,,Road Upgrading,-,-,-,0.0,103,0
,203013510,"Upgrading of Isiolo Town roads
to bitumen standards",-,-,-,0.0,103,0
204003510,,Public Works.,"175,313,038","5,045,470","170,267,568",2.9,103,0
,204013510,Road Improvement,"15,400,000","5,045,470","10,354,530",32.8,103,0
,204023510,Estate Flood lighting facilities.,"159,913,038",-,"159,913,038",0.0,103,0
,204033510,"Bridge Infrastructure and Engi-
neering Designs",-,-,-,0.0,103,0
,204043510,"Roads Maintenance Emergen-
cy",-,-,-,0.0,103,0
206003510,,KUSP,"93,968,100","36,215,148","57,752,952",38.5,103,0
,206013510,"Control of invasive species
(Mathenge)",-,-,-,0.0,103,0
,206023510,Urban Development,"93,968,100","36,215,148","57,752,952",38.5,103,0
,206033510,Grave yards protection,-,-,-,0.0,103,0
,206043510,"Garbage collection Sup-
port(truck)",-,-,-,0.0,103,0
,206053510,County Climate change,-,-,-,0.0,103,0
,206063510,"Rehabilitation of Sewerage
Ponds",-,-,-,0.0,103,0
,206073510,"Installation of Hybrid Solar
Pumping System in Boreholes",-,-,-,0.0,103,0
207003510,,Municipal Administration,"186,139,706","85,326,363","100,813,343",45.8,103,0
,207013510,"General Administration and
Planning","51,124,196","26,045,575","25,078,621",51.0,103,0
,207023510,Infrastructural Development,"135,015,510","59,280,788","75,734,722",43.9,103,0
301003510,,"Trade development and pro-
motion","37,764,553","11,082,150","26,682,403",29.4,103,0
,301013510,"Entrepreneurship and business
management training","37,764,553","11,082,150","26,682,403",29.4,103,0
,301023510,"Micro and Small Business Sup-
port Services",-,-,-,0.0,103,0
,301033510,Infrastructure support,-,-,-,0.0,103,0
,301043510,"Development of new market
stalls",-,-,-,0.0,103,0
304003510,,Tourism Promotion,"153,581,330","92,520,355","61,060,975",60.2,103,0
,304013510,"Tourism Promotion and Mar-
keting",-,-,-,0.0,103,0
,304023510,Tourism Development,"134,181,330","91,555,355","42,625,975",68.2,103,0
,304033510,"Protection of endangered wild-
life animals.","19,400,000","965,000","18,435,000",5.0,103,0
,304043510,"Conservancy development and
support",-,-,-,0.0,103,0
401003510,,"Health Preventive and Promo-
tive Services","160,475,943","69,497,444","90,978,499",43.3,103,0
,401013510,Community Health Strategy,-,-,-,0.0,103,0
,401023510,"Preventive and Promotive
Health Services","148,415,943","63,554,261","84,861,682",42.8,103,0
,401033510,"Disease Surveillance And Epi-
demic preparedness","12,060,000","5,943,183","6,116,817",49.3,103,0
,401043510,"Health communication, Pro-
motive Services & health pro-
motion",-,-,-,0.0,103,0
,401053510,,-,-,-,0.0,103,0
,401063510,Purchase of KEPI Fridges,-,-,-,0.0,103,0
402003510,,Health Curative Services,"907,725,151","675,051,533","232,673,618",74.4,103,0
,402013510,"Provision Of Essential Health
products In all The Level",-,-,-,0.0,103,0
,402023510,"Elimination Of Communicable
& Non Communicable Diseases",-,-,-,0.0,103,0
,402033510,"Administration Support Ser-
vices","907,725,151","671,891,533","235,833,618",74.0,103,0
,402043510,"SP4 Administration Support
services( Medical Services)",-,-,-,0.0,103,0
,402083510,Beyond Zero Campaigns,-,-,-,0.0,103,0
,402093510,"Preventive and Promotive Ser-
vices",-,"3,160,000","(3,160,000)",0.0,104,0
403003510,,Administration and Planning,"138,511,350","63,686,272","74,825,078",46.0,104,0
,403013510,"Curative and Rehabilitative
Health Services","138,511,350","63,686,272","74,825,078",46.0,104,0
,403023510,Health Information System,-,-,-,0.0,104,0
,403033510,Leadership/Governance,-,-,-,0.0,104,0
,403043510,Human Resources for health,-,-,-,0.0,104,0
,403053510,Curative Infrastructure Support,-,-,-,0.0,104,0
501003510,,"Administration, Planning and
Support Services.","203,424,167","123,725,800","79,698,367",60.8,104,0
,501013510,Administration,"168,424,167","123,725,800","44,698,367",73.5,104,0
,501023510,Personnel services,-,-,-,0.0,104,0
,501033510,Contracted Services,"35,000,000",-,"35,000,000",0.0,104,0
502003510,,"Provision of education and
training services","28,000,000",-,"28,000,000",0.0,104,0
,502013510,"ECDE Classroom Infrastruc-
ture","24,000,000",-,"24,000,000",0.0,104,0
,502023510,Vocational Training,-,-,-,0.0,104,0
,502033510,Youth Polytechnics,-,-,-,0.0,104,0
,502043510,"Promotion of Quality Youth
empowerment","4,000,000",-,"4,000,000",0.0,104,0
,502063510,Child Rescue Centre In Isiolo,-,-,-,0.0,104,0
503003510,,"Cultural and Arts Empower-
ment","5,344,894",-,"5,344,894",0.0,104,0
,503013510,"Promotion of culture, arts and
talents",-,-,-,0.0,104,0
,503023510,"Education and Vocational
Training Support",-,-,-,0.0,104,0
,503033510,Sport Youth and Gender,-,-,-,0.0,104,0
,503053510,,"5,344,894",-,"5,344,894",0.0,104,0
,503103510,"Construction of Youth Poly-
technic",-,-,-,0.0,104,0
504003510,,"Management and develop-
ment of Sports and sports fa-
cilities","189,462,905","55,596,330","133,866,575",29.3,104,0
,504013510,Sports Academy Centre,"152,000,000","36,990,330","115,009,670",24.3,104,0
,504023510,"Youth and Women Empower-
ment","37,462,905","18,606,000","18,856,905",49.7,104,0
505003510,,Culture and Social Services,"28,607,914","8,389,656","20,218,258",29.3,104,0
,505013510,Culture Development,"28,607,914","8,389,656","20,218,258",29.3,104,0
708003510,,"Prudent use of Financial Re-
sources","27,988,848","16,082,164","11,906,684",57.5,104,0
,708013510,Governors Delivery Unit,"27,988,848","16,082,164","11,906,684",57.5,104,0
709003510,,"Administration and support
services","432,869,826","263,772,690","169,097,136",60.9,104,0
,709013510,Personnel Services,"90,735,450","54,098,161","36,637,289",59.6,104,0
,709023510,Support Services,-,-,-,0.0,104,0
,709043510,Purchase of Pool Transport,"10,000,000","2,500,280","7,499,720",25.0,104,0
,709053510,Other Support Services,-,-,-,0.0,104,0
,709073510,ICT Infrastructure Support,-,-,-,0.0,104,0
,709083510,"Admistrative Infrastructure
support","332,134,376","207,174,249","124,960,127",62.4,104,0
,709093510,Peace Dividend Projects,-,-,-,0.0,104,0
,709123510,Civic Education,-,-,-,0.0,104,0
,709143510,Economic Planning Services,-,-,-,0.0,104,0
,709153510,"County Pensions and Retire-
ment Services",-,-,-,0.0,104,0
710003510,,Public financial management,"66,322,351","37,411,702","28,910,649",56.4,104,0
,710013510,Administrative Services,"66,322,351","37,411,702","28,910,649",56.4,104,0
,710033510,County Debt Management,-,-,-,0.0,104,0
,710063510,Accounting Services,-,-,-,0.0,104,0
711003510,,"Economic Planning and Coor-
dination ion","53,881,766","29,774,855","24,106,911",55.3,104,0
,711013510,Monitoring and Evaluation,"28,135,515","13,366,200","14,769,315",47.5,104,0
,711023510,"Economic Policy and County
Development Plans","10,046,251","5,373,100","4,673,151",53.5,104,0
,711043510,"County Development Stake-
holders Forums","6,900,000","6,186,390","713,610",89.7,105,0
,711053510,"County Baseline Surveys on
County Development Indica-
tors","7,000,000","4,365,165","2,634,835",62.4,105,0
,711073510,"Capacity building and Support
to Departments","1,800,000","484,000","1,316,000",26.9,105,0
,711093510,"County Strategic Plan and Per-
formance Management Plan",-,-,-,0.0,105,0
712003510,,Cohesion and Peace Building,"40,361,199","21,057,085","19,304,114",52.2,105,0
,712013510,"Administrative and Civic Edu-
cation Services","40,361,199","21,057,085","19,304,114",52.2,105,0
,712023510,"Conflict Management and Res-
olution",-,-,-,0.0,105,0
713003510,,"County Governance and Coor-
dination Affairs","348,212,151","237,490,904","110,721,247",68.2,105,0
,713013510,County Governance,"348,212,151","237,490,904","110,721,247",68.2,105,0
,713023510,Coordination Affairs,-,-,-,0.0,105,0
,713033510,"Intergovernmental Services
(Deputy Governor Services)",-,-,-,0.0,105,0
716003510,,"County Devolved Administra-
tive Affairs","21,939,807","10,980,622","10,959,185",50.1,105,0
,716013510,"Devolved Administrative Af-
fairs","21,939,807","10,980,622","10,959,185",50.1,105,0
719003510,,"Town administration, plan-
ning and support services","136,634,784","62,261,101","74,373,684",45.6,105,0
,719013510,Personnel Services,-,-,-,0.0,105,0
,719023510,"General Administration Sup-
port Services","136,634,784","62,261,101","74,373,684",45.6,105,0
,719043510,"Town Infrastructure Support
Services",-,-,-,0.0,105,0
723003510,,County Public Service,"61,013,600","42,395,609","18,617,991",69.5,105,0
,723013510,Personnel Services,-,-,-,0.0,105,0
,723023510,"Administration Support Ser-
vices","61,013,600","42,395,609","18,617,991",69.5,105,0
725003510,,Special programmes,"149,740,136","54,420,000","95,320,136",36.3,105,0
,725013510,Administration & Planning,"29,834,514","11,479,400","18,355,114",38.5,105,0
,725023510,Disaster management,"119,905,622","42,940,600","76,965,022",35.8,105,0
726003510,,"KDSP(Kenya Devolution Sup-
port Programme) Conditional
Grant","45,000,000","15,000,000","30,000,000",33.3,105,0
,726013510,Kenya Devolution Support,"45,000,000","15,000,000","30,000,000",33.3,105,0
902003510,,,"17,000,000",-,"17,000,000",0.0,105,0
,902013510,"Youth and Women Empower-
ment support Services",-,-,-,0.0,105,0
,902023510,"Marginalized Group Empower-
ment support services","8,000,000",-,"8,000,000",0.0,105,0
,902033510,"Empowerment Support Sup-
port Services","9,000,000",-,"9,000,000",0.0,105,0
1001003510,,"Provision & Management of
domestic & livestock rural wa-
ter supply","59,435,400","22,034,018","37,401,382",37.1,105,0
,1001013510,"Administration and Planning
Support Services","59,435,400","22,034,018","37,401,382",37.1,105,0
,1001023510,Design of Water Structure,-,-,-,0.0,105,0
,1001033510,"Drilling and equipping of bore-
holes",-,-,-,0.0,105,0
,1001043510,"Construction of Physical struc-
tures for water supply",-,-,-,0.0,105,0
1002003510,,"Water Supply and Storage Ser-
vices","87,900,000","38,110,354","49,789,646",43.4,105,0
,1002013510,"Procurement of survey equip-
ment?s& accessories",-,-,-,0.0,105,0
,1002023510,Water Supply and Storage,"85,900,000","37,130,354","48,769,646",43.2,105,0
,1002033510,"Civil Works-Rehabilitation &
development of Irrigation proj-
ects",-,-,-,0.0,105,0
