Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
Legislation and Oversight,,"1,070,254,050","441,902,354.00","628,351,696",41.3,144,0
Sub Total,,"1,070,254,050","441,902,354","628,351,696",41.3%,144,0
"Office of the Governor and
Deputy Governor",070601 County Executive Services,"306,960,284","198,525,495.70","108,434,788",64.7,144,0
"County Executive Admin-
istration",070701County Executive Services,"149,097,638","54,679,206.50","94,418,432",36.7,144,0
"Management of County
Affairs",070801 Coordination of County Functions,"110,452,000","95,166,090.75","15,285,909",86.2,144,0
"County Executive Com-
mittee Affairs",070901 Organization of County Business,"6,200,000","2,937,500.00","3,262,500",47.4,144,0
"County Public Service
Board",071001 Human Resource Management,"13,253,640","5,088,951.70","8,164,688",38.4,144,0
"Administrative Support
Services",020202 ICT Governance,"5,480,000","1,669,073.25","3,810,927",30.5,144,0
,020701 Government Buildings Services,"2,567,000","1,617,888.00","949,112",63.0,144,0
,070411 Audit Committee,"1,919,000","762,649.00","1,156,351",39.7,144,0
,070412 County Enforcement Activities,"4,185,000","3,326,070.00","858,930",79.5,144,0
,"070413 ICT Infrastructure Development
Management","13,458,800","7,673,830.00","5,784,970",57.0,144,0
,"070414 ICT Systems Development Manage-
ment","17,314,717","9,956,644.00","7,358,073",57.5,144,0
Sub Total,,"630,888,079","381,403,399","249,484,680",60.5%,144,0
"Public Finance Manage-
ment",070401 Finance Services,"673,940,776","240,261,824.75","433,678,951",35.7,144,0
,070402 Revenue Services,"24,364,008","17,407,671.25","6,956,337",71.4,144,0
,070404 Procurement and Supply Services,"6,446,500","6,168,579.95","277,920",95.7,144,0
,070405 Internal Audit Services,"1,318,200","823,048.75","495,151",62.4,144,0
,"070408 Budget Formulation, Coordination
and Management","9,224,520","4,531,716.00","4,692,804",49.1,144,0
,070409 Accounting Services,"5,477,500","3,784,802.95","1,692,697",69.1,144,0
"County Planning and Eco-
nomic Policy Management",070501 Economic Planning Services,"4,516,246","3,416,245.10","1,100,001",75.6,144,0
