Name of the Programme,Sub-Programme,"Approved Budget
(Kshs.)","Total Actual Expendi-
ture (Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,col_6
OFFICE OF GOVERNOR,,,,,,79,1,
"P1: General Administration Plan- S
ning and Support Services (","P1.1: Management of County Affairs
Office of Governor)","140,881,939","86,274,948","54,606,991",61.2%,79,1,
"S
F
P2: County Leadership and Coordi-
S
nation
t
t","P2.1: Sub-County Administration and
ield Services","46,960,646","28,758,316","18,202,330",61.2%,79,1,
,"P2.2: Management of County Execu-
ive Services (Office of County Secre-
ary)","28,176,388","17,254,990","10,921,398",61.2%,79,1,
"S
P3: County Leadership and Coordi-
(
nation
s","P3.1: Public Sector Advisory Services
Legal, Political, and Economic Advi-
ors)","18,784,259","11,503,326","7,280,932",61.2%,79,1,
Sub Total,,"234,803,232","143,791,580","91,011,652",61.2%,79,1,
COUNTY PUBLIC SERVICE BOARD,,,,,,79,1,
"P1: Administration of Human Re-
sources in Public Service","SP1.1: Performance Management &
Discipline","7,319,914","4,493,519","2,826,395",61.4%,80,0,
,"SP1.2: Administration of board pro-
grammes","10,764,579","6,608,116","4,156,463",61.4%,80,0,
,"SP1.3: Recruitment and Selection, Ca-
reer Management, HR Policy & Audit","15,070,411","9,251,362","5,819,049",61.4%,80,0,
,"SP1.4 Quality service delivery in the
County Public Service that is effective
and efficient","9,903,413","6,079,467","3,823,946",61.4%,80,0,
Sub Total,,"43,058,317","26,432,463","16,625,854",61.4%,80,0,
PUBLIC SERVICE AND ADMINISTRATION,,,,,,80,0,
"P1: General Administration Plan-
ning and Support Services","SP1.1: Service Delivery and Manage-
ment of County Affairs","179,974,839","110,210,447","69,764,392",61.2%,80,0,
P2: Public Service,"SP2.1: Human Resource Development
and Culture Change Management","143,202,653","87,692,416","55,510,237",61.2%,80,0,
,SP2.2: Office Infrastructure Expansion,"94,544,373","57,895,746","36,648,627",61.2%,80,0,
Sub Total,,"417,721,865","255,798,610","161,923,255",61.2%,80,0,
"GENDER, CHILDREN, CULTURE & SOCIAL SERVICES",,,,,,80,0,
"P1: Policy and General Administra-
tive Services",SP1.1: General Administrative Unit,"7,829,601","1,590,104","6,239,497",20.3%,80,0,
P2: Gender and Social Development,"SP2.1: Communication Mobilization
and Development","10,439,468","2,120,138","8,319,330",20.3%,80,0,
,SP2.2: Social Welfare Services,"7,829,601","1,590,104","6,239,497",20.3%,80,0,
,"SP2.3: Vocational Rehabilitation and
Training","5,219,734","1,060,069","4,159,665",20.3%,80,0,
,"SP2.4: Gender Mainstreaming and De-
velopment","7,829,601","1,590,104","6,239,497",20.3%,80,0,
P3: Children Services,"SP3.1: Child Rehabilitation and Cus-
tody","7,829,601","1,590,104","6,239,497",20.3%,80,0,
"P4: Culture and Cultural Preserva-
tion",SP 4.1 Cultural Preservation,"5,219,734","1,060,069","4,159,665",20.3%,80,0,
Sub Total,,"52,197,340","10,600,692","41,596,648",20.3%,80,0,
FINANCE AND ECONOMIC PLANNING,,,,,,80,0,
"P1: General Administration Plan-
ning and Support Services","SP1.1: Administration, Planning and
Support Services","30,356,197","11,929,509","18,426,688",39.3%,80,0,
"P2: Economic Policy and County
Planning","SP 2.1: Economic Development Plan-
ning and Coordination","42,498,676","16,701,313","25,797,363",39.3%,80,0,
P3: Financial Management Services,"SP3.1: Control and Management of
Public Finances","19,719,387","7,749,410","11,969,977",39.3%,80,0,
P4: Monitoring and Evaluation,"SP 4.1: Monitoring and Evaluation of
projects","18,213,718","7,157,706","11,056,012",39.3%,80,0,
P5: Research and Statistics,SP5.1: County database and profile,"15,178,099","5,964,755","9,213,344",39.3%,80,0,
"P6: P7: Kenya Devolution Support
Programme","SP 7.1: Kenya Devolution Support Pro-
gramme","45,000,000","17,684,294","27,315,706",39.3%,80,0,
Sub Total,,"170,966,077","67,186,987","103,779,090",39.3%,80,0,
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALIZATION",,,,,,80,0,
P1: Administrative Support Services,P1.1: Administrative Support Services,"7,970,283","3,184,323","4,785,960",40.0%,80,0,
"P2: Trade development and Promo-
tion","P2.1: Trade development and Promo-
tion","32,276,212","12,895,136","19,381,076",40.0%,80,0,
"P3: Industrial Development and In-
vestment","P3.1: Industrial Development and In-
vestment","14,757,048","5,895,802","8,861,246",40.0%,80,0,
P4: Tourism Development,P4.1: Tourism Development,"12,073,948","4,823,837","7,250,111",40.0%,80,0,
Sub Total,,"67,077,491","26,799,098","40,278,393",40.0%,80,0,
"AGRICULTURE, LIVESTOCK, FISHERIES AND CO-OPERATIVE DEVELOPMENT",,,,,,80,0,
P1: Administrative Support Services,P1.1: Administrative Support Services,"64,643,215","21,773,152","42,870,063",33.7%,80,0,
"P2: Crop Development and Manage-
ment","P2.1: Crop Development and Manage-
ment","230,960,274","77,792,128","153,168,146",33.7%,80,0,
"P3: Agribusiness and Information
Management","P3.1: Agribusiness and Information
Management","64,386,592","21,686,716","42,699,876",33.7%,80,0,
"P4: Livestock Resources Manage-
ment and Development","P4.1: Livestock Resources Management
and Development","85,763,248","28,886,810","56,876,438",33.7%,80,0,
P5: Fisheries Development,P5.1: Fisheries Development,"49,528,148","16,682,090","32,846,058",33.7%,80,0,
Sub Total,,"495,281,477","166,820,896","328,460,581",33.7%,80,0,
,,,,,,80,0,57
HEALTH,,,,,,81,0,
P1: Curative Health Services,SP1.1: Primary Health Care,"1,198,371,306","634,441,736","563,929,570",52.9%,81,0,
"P2: Preventive and Promotive Health
Services","SP2.1: Health Promotion & Disease
Control","493,240,945","261,131,621","232,109,324",52.9%,81,0,
"P3: General Administration Plan-
ning and Support Services",SP3.1: General Administration services,"389,200,317","206,050,431","183,149,885",52.9%,81,0,
Sub Total,,"2,080,812,567","1,101,623,788","979,188,779",52.9%,81,0,
EMBU LEVEL 5 HOSPITAL,,,,,,81,0,
P1: Curative Health Services,SP1.1: Primary Health Care,"253,156,973","135,880,013","117,276,960",53.7%,81,0,
"P2: Preventive and Promotive Health
Services","SP2.1: Health Promotion & Disease
Control","70,934,873","38,073,735","32,861,138",53.7%,81,0,
"P3: General Administration Plan-
ning and Support Services",SP3.1: General Administration services,"52,124,077","27,977,188","24,146,889",53.7%,81,0,
Sub Total,,"376,215,923","201,930,936","174,284,987",53.7%,81,0,
"INFRASTRUCTURE, PUBLIC WORKS AND HOUSING.",,,,,,81,0,
"P1: General Administration Plan-
ning and Support Services",SP1.1: General Administration Services,"118,873,336","36,833,385","82,039,952",31.0%,81,0,
P2: Roads Transport,"SP2.1: Road Infrastructure and Public
Works","891,550,021","276,250,384","615,299,637",31.0%,81,0,
P3: Energy and housing,SP3.1: Energy and Housing,"178,310,004","55,250,077","123,059,927",31.0%,81,0,
Sub Total,,"1,188,733,361","368,333,845","820,399,516",31.0%,81,0,
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,81,0,
"P1: General Administration, Plan-
ning and Support Services","SP1.1: General Administration and
Support Services","137,698,237","83,887,125","53,811,111",60.9%,81,0,
