Programme,"Sub Pro-
gramme",Description,"Approved Budget(K-
shs)","Actual Payments(K-
shs)",Variance(Kshs),"Absorption
(%)",page_number,table_index
303005060,,"Tourism Development and Man-
agement","20,273,860","4,364,771","15,909,089",21.5,158,0
,303015060,Tourism Development,"11,285,000","857,185","10,427,815",7.6,158,0
,303025060,"Research and Product Develop-
ment",-,-,-,-,158,0
,303035060,Tourism Event Management,"5,708,860","2,062,486","3,646,374",36.1,158,0
,303045060,Tourism Standards Development,"3,280,000","1,445,100","1,834,900",44.1,158,0
304005060,,"Administration Planning and
Support","108,496,863","51,736,509","56,760,354",47.7,158,0
,304015060,Administration planning,"108,496,863","51,736,509","56,760,354",47.7,158,0
305005060,,"Co-Operative Development and
Management","51,528,231","3,079,800","48,448,431",6.0,158,0
,305015060,Extension services,-,-,-,-,158,0
,305045060,"Renovation of sub county co-op
offices",-,-,-,-,158,0
,305055060,Co-operative Governance,"51,528,231","3,079,800","48,448,431",6.0,158,0
306005060,,Enterprise Development,"6,650,000","222,000","6,428,000",3.3,158,0
,306015060,Business Development Services,"6,650,000","222,000","6,428,000",3.3,158,0
307005060,,Industrial Development,-,-,-,-,158,0
,307015060,"Renovation and operationaliza-
tion of C.I.D.Cs",-,-,-,-,158,0
,307025060,"Equipping C.I.D.Cs with machin-
ery",-,-,-,-,158,0
,307035060,Establish cottage industries,-,-,-,-,158,0
401005060,,"Preventive & Promotive Health
Services","1,575,397,994","615,277,894","960,120,100",39.1,159,0
,401015060,"Environmental health and sani-
tation","1,492,586,026","606,708,378","885,877,648",40.6,159,0
,401025060,Community health strategy,"1,100,000",-,"1,100,000",-,159,0
,401035060,Disease surveillance,"1,200,000","9,450","1,190,550",0.8,159,0
,401045060,Health promotion service,"80,511,968","8,560,065","71,951,903",10.6,159,0
402005060,,Health Curative Services,"141,297,510","34,951,561","106,345,949",24.7,159,0
,402015060,Essential Service,-,-,-,-,159,0
,402025060,"Elimination of communicable and
non-communicable disease","3,500,000","1,351,200","2,148,800",38.6,159,0
