Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Education, Youth & Sports",,,,,,183,0
"Administration Planning And
Support Services",Administration Services,"5,777,793","1,390,662","4,387,131",24.1,183,0
,Personnel Services,"1,800,000","844,050","955,950",46.9,183,0
,SUB-TOTAL,"7,577,793","2,234,712","5,343,081",29.5,183,0
"Sports, Arts and Social
Services",Talent Development Services,"500,000","250,000","250,000",50,183,0
,Sport Development and Promotion,"7,500,000","492,800","7,007,200",6.6,183,0
,Social and Cultural Development,"7,200,000","170,000","7,030,000",2.4,183,0
,Child Care Services,"2,500,000","1,052,291","1,447,709",42.1,183,0
,SUB- TOTAL,"17,700,000","1,965,091","15,734,909",11.1,183,0
Education and Training,Vocational Education and Training,"97,680,795","28,382,486","69,298,309",29.1,183,0
,"Collaboration and partnerships on skills
and technology transfer","3,500,000",-,"3,500,000",-,183,0
,"Early Childhood Education Develop-
ment","49,500,000",-,"49,500,000",-,183,0
,Education Empowerment,"50,000,000",-,"50,000,000",-,183,0
,"Basic Education School Infrastructure
Support","12,102,193",-,"12,102,193",-,183,0
,SUB-TOTALS,"212,782,988","28,382,486","184,400,502",13.3,183,0
Sub-Total,,"238,060,781","32,582,289","205,478,492",13.7,183,0
,,,,,,183,0
County Assembly,,,,,,183,0
"General Administration &
Planning Services",Administration services,"298,068,250",239203388,"58,864,862",80.3,183,0
Legislative & Oversight,Legislation & Oversight Services,"197,625,500",119583158,"78,042,342",60.5,183,0
"Infrastructure Improvement
Services","County Assembly Infrastructure im-
provement","101,092,291","33,549,543","67,542,748",33.2,183,0
Sub-Total,,"596,786,041","392,336,089","204,449,952",65.7,183,0
,,,,,,183,0
County Health Services,,,,,,183,0
"General Administrative and
Planning Services",Human Resource Development,"1,000,000","388,160","611,840",38.8,183,0
,"Health Policy, Governance, Planning and
Financing","4,500,000","2,454,518","2,045,482",54.5,183,0
,"Administrative, Project Planning and Im-
plementation Services","80,465,000","62,439,419","18,025,581",77.6,183,0
,"Health General Information Standard
and Quality Assurance","500,000",-,"500,000",-,183,0
Preventive Health Services,"Family Planning, Maternal and Child
Health Services","3,300,000","1,571,600","1,728,400",47.6,183,0
,"Non-Communicable Diseases Control
and Preventive Services","800,000","795,000","5,000",99.4,183,0
,"Community Health Strategy Advocacy
and Services","240,630,277","74,701,839","165,928,438",31,183,0
,Social Health Insurance Scheme,"40,000,000","12,332,028","27,667,972",30.8,183,0
"Curative And Rehabilitative
Health","Emergency Referral and Rehabilitative
Services","133,421,416","67,804,662","65,616,754",50.8,183,0
,Health Products and Technology Support,"50,832,955","39,854,400","10,978,555",78.4,183,0
,Essential Health Institutions and Services,"138,761,404","35,604,084","103,157,320",25.7,183,0
,"Ultra Morden Maternity Infrastructure
Development","24,004,435",-,"24,004,435",-,183,0
,Health Infrastructure Development,"34,568,787",-,"34,568,787",-,183,0
,"Health Training Centre Infrastructural
Development","3,000,000",-,"3,000,000",-,183,0
Sub-Total,,"755,784,274","297,945,709","457,838,565",39.4,183,0
"Infrastructure, Physical Planning & Lands",,,,,,183,0
"General Administration And
Planning Services",Administration Services,"3,314,000","822,501","2,491,499",24.8,183,0
,Planning and Financial Management,"2,790,000","1,142,000","1,648,000",40.9,183,0
Physical Planning And Survey,Survey and Planning services,"2,696,000","795,100","1,900,900",29.5,183,0
"Land And Housing Manage-
ment",Housing Policy Development,"4,000,000","156,500","3,843,500",3.9,183,0
"Public Works Service Delivery
Improvement",County Building Construction Standard,"4,200,000","768,950","3,431,050",18.3,184,0
"Renewable /Green Energy
Services",County renewable/green energy services,"1,036,268","118,200","918,068",11.4,184,0
"Roads Network Improvement
Housing And Urban Develop-
ment",Road Network improvement,"329,149,511","52,682,500","276,467,011",16,184,0
,Road network maintenance,"192,592,783","31,068,742","161,524,041",16.1,184,0
,Heavy equipment Maintenance,"15,000,000",,"15,000,000",-,184,0
,Road Reserve Maintenance,"10,000,000",,"10,000,000",-,184,0
"Critical Infrastructure Rehabili-
tation And Construction",Inter ward bridge construction program,"16,000,000",,"16,000,000",-,184,0
"Administration And Support
Services","Managed Specialized equipment and Ve-
hicles","120,000,000",,"120,000,000",-,184,0
Physical Planning And Survey,Survey and Planning services,"15,000,000","12,996,000","2,004,000",86.6,184,0
,Land Management services,"10,000,000",,"10,000,000",-,184,0
"Roads Network Improvement
Housing And Urban Develop-
ment",Urban development,"40,000,000",,"40,000,000",-,184,0
Sub-Total,,"765,778,562","100,550,493","665,228,069",13.1,184,0
"Trade, Tourism & Cooperatives",,,,,,184,0
"General Administration &
Planning Services",Administration Services,"9,316,496","2,741,718","6,574,778",29.4,184,0
,Personnel Services,"1,500,000","536,701","963,299",35.8,184,0
,Policy Development,"500,000","100,000","400,000",20,184,0
"Co-Operative Development
And Promotion","Co-operative Development and promo-
tion","19,500,000","1,221,940","18,278,060",6.3,184,0
,Research & Development,"4,506,679","1,403,280","3,103,399",31.1,184,0
,Market Infrastructure Development,"1,000,000","332,100","667,900",33.2,184,0
,Lab weights & Measures,"2,500,000",-,"2,500,000",0,184,0
"Home Craft Industrialization &
Enterprise","Industrial Development & Investment
Promotion","5,800,000","2,623,820","3,176,180",45.2,184,0
,Enterprise Development,"75,000,000","39,503,300","35,496,700",52.7,184,0
,"Industrial mapping & promotion initia-
tive","8,000,000",,"8,000,000",0,184,0
Trade And Investment,Trade promotion Services,"2,500,000","693,670","1,806,330",27.7,184,0
,Market Infrastructure Development,"5,840,271",,"5,840,271",0,184,0
"Tourism Development &
Promotion",Tourism Promotion & Marketing,"5,300,000","373,900","4,926,100",7.1,184,0
,Tourism Infrastructural Development,"5,792,275","1,067,900","4,724,375",18.4,184,0
,,,,,,184,0
Sub-Total,,"147,055,721","50,598,329","96,457,392",34.4,184,0
County Administration Services,,,,,,184,0
"Human Capital Management &
Development",Compensation to employees,"3,029,507,605","1,750,587,472","1,278,920,133",57.8,184,0
,County Public Service Board,"19,781,629","7,634,730","12,146,899",38.6,184,0
"County Administration
Services",Headquarter Administration Services,"7,296,931","5,158,209","2,138,722",70.7,184,0
,ICT Infrastructure & Connectivity,"8,000,000","1,103,350","6,896,650",13.8,184,0
,County Administration Services,"10,000,000","5,514,088","4,485,912",55.1,184,0
,"County services delivery and result re-
porting","10,900,000","5,400,754","5,499,246",49.5,184,0
,Car & Mortgage,"15,000,000","7,500,000","7,500,000",50,184,0
,Decentralized Services,"53,099,545","4,649,000","48,450,545",8.8,184,0
,Executive Support Service,"46,000,000","27,370,884","18,629,116",59.5,184,0
,Grants & Transfers,"86,121,027","67,082,166","19,038,861",77.9,184,0
,Urban Facilities Management,"25,000,000","9,396,324","15,603,676",37.6,184,0
,Legal Services,"29,000,000","27,700,727","1,299,273",95.5,184,0
Security & Policing Services,Disaster Reduction Management,"5,000,000","1,227,974","3,772,026",24.6,184,0
,Enforcement and Disaster Management,"5,000,000","1,441,703","3,558,297",28.8,184,0
,Alcohol Control Committee,"4,500,000","1,729,200","2,770,800",38.4,184,0
,Intergovernmental & Donor Relations,"22,000,000","14,139,863","7,860,137",64.3,184,0
,Fire Services,"6,000,000","2,630,302","3,369,698",43.8,184,0
"Public Participation & Civic
Education",Public participation,"19,052,452","8,718,179","10,334,273",45.8,184,0
Sub-Total,,"3,401,259,189","1,948,984,925","1,452,274,264",57.3,184,0
"Water, Environment & Natural Resources",,,,,,184,0
Water Development,Rural Water Supply & Sanitation,"198,623,342","2,400,256","196,223,086",1.2,184,0
