Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"Policy planning, general administration and support services",,,,,,287,0
,General administration & support services,"1,029, 876, 379","513, 546, 542","516, 329, 837",50.9,287,0
,Policy planning,"71, 342, 094","46, 545, 879","24, 796, 215",49.9,287,0
,Subtotal,"1, 101,218, 473","560, 092, 421","541, 126, 052",65.2,287,0
"Crop, agribusiness, and land management service",,,,,,287,0
,,"275, 015, 735","293, 153, 761","(18, 138,026)",106.6,287,0
,Subtotal,"275, 015, 735","293, 153, 761","(18, 138, 026)",106.6,287,0
Fisheries development and promotion services,,,,,,287,0
,,"25, 001, 616","23, 211, 531","1, 790, 085",92.8,287,0
,Subtotal,"25, 001, 616","23, 211, 531","1, 790, 085",92.8,287,0
Livestock promotion and development,,,,,,287,0
,,"81, 192, 304","40, 798, 248","40, 394, 051",50.2,287,0
,,"35, 227, 884","27, 423, 285","7, 804, 599",77.8,287,0
,Subtotal,"116, 420, 188","68, 221, 533","48, 198, 655",58.6,287,0
Physical planning and survey services,,,,,,287,0
,,"4, 610, 898","2, 305, 400","2, 305, 498",50 .0,287,0
,,"5, 000, 000","2, 596, 600","2, 403, 400",51.9,287,0
,Subtotal,"9, 610, 898","4, 902, 000","4, 708, 898",51.0,287,0
Housing improvement development,,,,,,287,0
,,"73, 617, 082","17, 218, 478","56, 398, 604",23.4,287,0
,Subtotal,"73, 617, 082","17, 218, 478","56, 398, 604",23.4,287,0
Management and development of towns,,,,,,287,0
,,"46, 544, 823","16,050, 063","30, 504, 760",34.5,287,0
,Subtotal,"46, 544, 823","16, 050, 063","30, 504, 760",34.5,287,0
"General administration, planning and support services",,,,,,287,0
,Administration and support services,"87, 987, 002","47, 247, 329","40, 739, 673",53.7,287,0
,Policy planning,"4, 763, 653","2, 606, 040","2, 157, 613",54.9,287,0
,Sub-total,"92, 750, 655","49, 853, 370","42, 897, 285",53.7,287,0
Roads development and management,,,,,,287,0
,Construction 0f roads and bridges,"190, 994, 082","95, 583, 916","95, 410, 166",50.0,287,0
,Rehabilitation and maintenance of roads,"261, 538, 958","82, 849, 786","178, 689, 172",31.7,287,0
,Infrastructure development and fire safety,"19, 882, 634","6, 756, 380","13, 126, 254",34.0,287,0
,Subtotal,"472, 415, 674","185, 190, 082","287, 225, 592",39.2,287,0
"Policy planning, general administration and support services",,,,,,287,0
,General administration and support services,"25, 736, 185","11, 180, 988","14, 555, 197",43.4,287,0
,Policy and planning services,"1, 729, 652","1, 254, 800","474, 852",72.5,287,0
,Subtotal,"27, 465, 837","12, 435, 788","15, 030, 049",45.3,287,0
"Trade, cooperative and investment development and promotion",,,,,,287,0
,Cooperative promotion,"16, 899, 606","13, 119, 389","3, 780, 217",43.3,287,0
,Trade promotion,"48, 448, 279","22, 191, 849","26, 256, 430",45.8,287,0
,Subtotal,"65, 347, 885","35, 311, 238","30, 036, 647",54.0,287,0
Tourism development and promotion,,,,,,287,0
,Tourism promotion and management,"1, 889, 000","1, 314, 900","574, 100",69.0,288,0
,Subtotal,"1, 889, 000","1,314, 900","574, 100",69.0,288,0
Preventive and promotive health services,,,,,,288,0
,Health promotion,"532, 504, 808","406, 937, 094","125, 567, 714",76.4,288,0
,Communicable disease control,"7, 720, 514","3, 998, 034","3, 721, 574",51.8,288,0
,Subtotal,"540, 225, 322","410, 936, 034","129, 289, 288",76.1,288,0
"General administration, planning and support services",,,,,,288,0
,Administration support services,"141, 936, 735","109, 271, 443","32, 665, 292",77.0,288,0
,Subtotal,"141, 936, 735","109, 271, 443","32, 665, 292",77.0,288,0
Curative health services,,,,,,288,0
,Medical services,"1, 486, 693, 579","700, 946, 160","785, 747, 419",47.1,288,0
,Sub - total,"1, 486, 693, 579","700, 946, 160","785, 747, 419",47.1,288,0
"General administration, policy planning & support services",,,,,,288,0
,General administration,"34, 876, 832","7, 081, 768","27, 795, 064",20.3,288,0
,Planning policy,"6, 762, 500","5, 242, 500","1, 520, 000",77.5,288,0
,Subtotal,"41, 639, 332","12, 324, 268","29, 315, 064",29.6,288,0
ECDE and CCC development services,,,,,,288,0
,ECDE and CCC management services,"252, 728, 241","147, 343, 421","105, 384, 820",58.3,288,0
,subtotal,"252, 728, 241","147, 343, 421","105, 384, 820",58.3,288,0
Vocational development and training services.,,,,,,288,0
,Vocational management services,"207,710, 343","114, 714, 939","92, 995, 404",55.2,288,0
,Subtotal,"207, 710, 343","114, 714, 939","92, 995, 404",55.2,288,0
Information and communication technology services,,,,,,288,0
,ICT infrastructural services,"89, 008, 375","66, 058, 693","22, 949, 682",74.2,288,0
,Subtotal,"89, 008, 375","66, 058, 693","22, 949, 682",74.2,288,0
,,,,,,288,0
,General administration support services,"310, 868, 862","177, 377, 274","133, 491, 588",57.1,288,0
,Policy development and support services,"186, 607, 465","85, 576, 826","101, 030, 639",45.9,288,0
,Supply chain management,"24, 311, 548","13, 613, 770","10, 697, 778",56.0,288,0
,Communication services,"2, 037, 000","185, 000","1, 852, 000",9.1,288,0
,Subtotal,"523, 824, 875","276, 752, 871","247, 072, 004",52.8,288,0
,,,,,,288,0
,Economic planning and communication,"41, 970, 852","24, 879, 327","17, 091, 525",59.3,288,0
,Budget formulation and management,"14, 293, 755","10, 065, 360","4, 228, 395",70.4,288,0
,Subtotal,"56, 264, 607","34, 944, 687","21, 319, 920",62.1,288,0
,,,,,,288,0
,Accounting and financial services,"72, 323, 155","18, 720, 361","53, 602, 794",25.9,288,0
,Audit services,"15, 335, 487","12, 823, 200","2, 512, 287",83.6,288,0
,Subtotal,"87, 658, 642","31, 543, 561","56,115, 081",36.0,288,0
,,,,,,288,0
,External resource mobilization,"75, 000, 000","188, 000","74, 812, 000",0.3,288,0
,Internal resource mobilization,"141, 116, 623","109, 005, 113","32, 111, 510",77.2,288,0
,Subtotal,"216, 116, 623","109, 193, 113","106, 923, 510",50.5,288,0
,,,,,,288,0
,Executive management and liaison services,"20, 850, 000","8, 393, 901","12, 456, 099",40.3,288,0
,Subtotal,"20, 850, 000","8, 393, 901","12, 456, 099",40.3,288,0
,,,,,,288,0
,Committees management services,"32, 194, 000","30, 673, 675","1, 520, 325",95.3,288,0
,Subtotal,"32, 194, 000","30, 673, 675","1, 520, 325",95.3,288,0
,,,,,,288,0
,Legislation,"243, 979, 022","180, 994, 796","108, 348, 226",74.2,288,0
