Programme,col_1,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Variance (Kshs) A,bsorption (%),page_number,table_index
"Sub-pro-
gramme 2","Road Development and
Management",,"646,934,038","270,919,233","376,014,805",41.9,198,0
"Sub-pro-
gramme 3","County Government
Buildings",,"194,148,301","166,195,944","27,952,357",85.6,198,0
"Sub-pro-
gramme 4",County Fleet Management,,"114,762,776","42,494,461","72,268,315",37,198,0
TOTAL,,,"1,242,251,516","570,962,521","671,288,995",46,198,0
"EDUCATION,YOUTH AND SOCIAL WELFARE",,,,,,,198,0
"Sub-pro-
gramme 1","Head quarter Administra-
tive services",,"453,107,147","168,842,272","284,264,875",37.3,198,0
"Sub-pro-
gramme 2",Basic Education,,"6,285,011","235,345","6,049,666",3.7,198,0
"Sub-pro-
gramme 3","Youth Development Ser-
vices",,"96,367,985","31,374,947","64,993,038",32.6,198,0
"Sub-pro-
gramme 4",Gender and Social Services,,"10,000,000","1,819,500","8,180,500",18.2,198,0
TOTAL,,,"565,760,144","202,272,064","363,488,080",35.8,198,0
"ENERGY,LANDS,HOUSING AND URBAN DEVELOPMENT",,,,,,,198,0
"Sub-pro-
gramme 1",Lands,,"69,713,043","26,668,488","43,044,554",38.3,198,0
