Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
Department County Assembly,,,,,,190,1
County Assembly,"P.1 Administra-
tion, planning and
support services.","201,237,120","94,361,964","106,875,157",46.90,190,1
,"P.2 Legislation and
Oversight","198,762,880","78,290,824","120,472,056",39.40,190,1
,Development,"120,000,000","2,737,552","117,262,448",2.30,190,1
,Subtotal,"520,000,000","175,390,340","344,609,661",33.70,190,1
Department County Executive,,,,,,190,1
County Executive,"P 1: Executive
Services","349,758,249","213,186,713","136,571,536",61.00,190,1
,"P.2 Office of the
Governor & Dep-
uty Governor","27,645,940","13,405,731","14,240,209",48.50,190,1
,Development,"105,996,000",-,"105,996,000",0.00,190,1
,Subtotal,"483,400,189","226,592,444","256,807,745",46.90,190,1
Department Finance,,,,,,190,1
"Finance, Economy And Strategic Planning","3213000101 Head-
quarters","108,564,736","67,930,511","40,634,225",62.60,190,1
,"3213000401
Budget, Economic
& Financial","9,554,900","3,365,255","6,189,645",35.20,190,1
,Development,"4,297,382",-,"4,297,382",0.00,190,1
,Subtotal,"122,417,018","71,295,766","51,121,252",58.20,190,1
Department Agriculture & Irrigation,,,,,,190,1
Agriculture & Irrigation,"3214000201
Directorate of
Agriculture &","51,006,370","35,826,816","15,179,554",70.20,190,1
,Extension Services,,,,,190,1
,"3214000701 Crop
Productivity and
Output","15,487,030","3,427,248","12,059,782",22.10,190,1
,"3214000901
Conditional
Grants (KCSAP &
ASDSP)","52,248,686","331,800","51,916,886",0.60,190,1
,Development,"260,582,998","4,862,657","255,720,341",1.90,190,1
,Subtotal,"379,325,084","44,448,521","334,876,563",11.70,190,1
"Department Land, Physical Planning",,,,,,190,1
"Land, Physical Planning","3215000101 Head-
quarters","26,138,961","13,192,308","12,946,653",50.50,190,1
,Development,"128,192,264",-,"128,192,264",0.00,190,1
,Subtotal,"154,331,225","13,192,308","141,138,917",8.50,190,1
Department Education,,,,,,190,1
Education,"3216000101 Head-
quarters","77,625,690","53,435,881","24,189,809",68.80,191,0
,"3216000201 Early
Childhood Devel-
opment","133,791,000","64,375,000","69,416,000",48.10,191,0
,Development,"139,149,556","42,320,308","96,829,248",30.40,191,0
,Subtotal,"350,566,246","160,131,189","190,435,057",45.70,191,0
Department Medical Services,,,,,,191,0
Medical Services,"3217000101 Head-
quarters","837,827,401","556,673,666","281,153,735",66.40,191,0
,"3217000201 Cura-
tive & Rehabilita-
tive Health Dept","121,650,265","40,580,599","81,069,666",33.40,191,0
,"3217000301
Preventive & Pro-
motive Health","148,297,668","11,443,387","136,854,281",7.70,191,0
,"Development
- SP4 curative
Services","403,889,881","58,363,137","345,526,744",14.50,191,0
,Subtotal,"1,511,665,215","667,060,789","844,604,426",44.10,191,0
"Department Trade, Investment, Culture & Tourism",,,,,,191,0
"Trade, Investment, Culture & Tourism","3218000101 Head-
quarters","13,812,508","8,221,367","5,591,141",59.50,191,0
,"3218000201
Tourism","4,450,800","763,350",,,191,0
,"3218000401 Trade
& Investment","2,024,998","977,160","1,047,838",48.30,191,0
,Development,"17,188,414",-,"17,188,414",0.00,191,0
,Subtotal,"37,476,720","9,961,877","23,827,393",26.60,191,0
"Department Livestock, Veterinary & Co-operative Development",,,,,,191,0
"Livestock, Vetirinery & Co-operative De-
velopment","3220000101 Head-
quarters","33,738,149","26,354,429","7,383,720",78.10,191,0
,"3220000301 Live-
stock Production","1,600,328","679,295","921,033",42.40,191,0
,"3220000401 Veter-
inary Services","1,944,187","629,489","1,314,698",32.40,191,0
,"3220000501
Cooperative
Development","824,528","325,174","499,354",39.40,191,0
,Development,"40,941,592","2,998,800","37,942,792",7.30,191,0
,Subtotal,"79,048,784","30,987,187","48,061,597",39.20,191,0
Department Public Service Board,,,,,,191,0
Public Service Board,"3221000100
County Public
Service Board","37,488,710","23,327,167","14,161,543",62.20,191,0
,"3221000200
Human Resource
Management &
Development","7,666,386","3,708,054","3,958,332",48.40,191,0
,Development,,,-,-,191,0
,Subtotal,"45,155,096","27,035,221","18,119,875",59.90,191,0
Department Water Management & Conservation,,,,,,191,0
Water Managemet & Conservation,"3223000101 Head-
quarters","23,502,875","9,206,318","14,296,557",39.20,191,0
,"3223000201 Water
Management,","30,300,000","19,953,161","10,346,839",65.90,191,0
,"Conservation &
Provision",,,,,191,0
,Development,"312,661,141","9,777,189","302,883,953",3.10,191,0
,Subtotal,"366,464,016","38,936,668","327,527,348",10.60,191,0
"Department Gender, Youth Affairs, Sports & Social Services",,,,,,191,0
"Gender, Youth Affairs, Sports & Social
Services","3224000101 Head-
quarters","23,757,400","9,118,574","14,638,826",38.40,191,0
,Development,"86,354,910",-,"86,354,910",-,191,0
,Subtotal,"110,112,310","9,118,574","100,993,736",8.30,191,0
Department Public Health Environment and Sanitation,,,,,,191,0
