Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)",Absorption (%),col_6,page_number,table_index
County Attorney,Administration Planning and Support Services,"90,000,000","21,318,635","68,681,365",23.7,,138,0
,Sub total,"90,000,000","21,318,635","68,681,365",23.7,,138,0
Agriculture,"Administration, Planning and Support services","547,264,356","342,873,941","204,390,415",62.7,,138,0
,Production Management,"54,063,600","19,872,044","34,191,556",36.8,,138,0
,Agribusiness and Information Management,"61,653,432","25,136,953","36,516,479",40.8,,138,0
,Irrigation and Drainage Infrastructure,"75,194,574","4,777,797","70,416,777",6.4,,138,0
,Sub total,"738,175,962","392,660,735","345,515,227",53.2,,138,0
"Devolution,
Public service
and Disaster
management","General Administration Planning and Support
services","5,450,000",,"5,450,000",-,,138,0
,Devolution,"598,839,152","386,121,238","212,717,914",64.5,,138,0
,Emergency,"3,400,000",,"3,400,000",-,,138,0
,Strategic Human Resource Management,"5,750,000",-,#VALUE!,-,,138,0
,Sub total,"613,439,152","386,121,238","227,317,914",62.9,,138,0
Education,"General administration, planning and support
services","638,564,598","334,018,019","304,546,579",52.3,,138,0
,Early Childhood development education,"521,095,209","80,780,943","440,314,266",15.5,,138,0
,Education support services,"350,000,000","235,000,000","115,000,000",67.1,,138,0
,Vocation Education and training,"173,714,638","14,277,118","159,437,520",8.2,,138,0
,Sub total,"1,683,374,445","664,076,081","1,019,298,364",39.4,,138,0
"Environment,
Forestry, Natural
Resources &
Wildlife",Environment management and protection,"173,033,265","75,544,251","97,489,014",43.7,,138,0
,Sub total,"173,033,265","75,544,251","97,489,014",43.7,,138,0
"Economic
Planning",County Fiscal Planning,"66,910,250","23,241,371","43,668,879",34.7,,138,0
,Statistical Information services /Monitoring,"20,514,532","2,108,100","18,406,432",10.3,,138,0
,Sub total,"87,424,782","25,349,471","62,075,311",29,,138,0
Finance,"Administration, Planning and Support Services","577,494,892","203,126,789","374,368,103",35.2,,138,0
,Kenya devolution support programme,"22,500,000","20,764,360","1,735,640",92.3,,138,0
,"Budget Formulation, Coordination and Manage-
ment","14,031,000","3,189,716","10,841,284",22.7,,138,0
,Audit Services,"3,065,000","1,489,702","1,575,298",48.6,,138,0
,Accounting Services,"5,812,500","1,817,228","3,995,272",31.3,,138,0
,Supply Chain Management Services,"4,650,000",,"4,650,000",-,,138,0
,Development,"66,033,455","2,291,090","63,742,365",3.5,,138,0
,Resource Mobilisation/Debt Management,"11,835,260","1,817,228","10,018,032",15.4,,138,0
,Sub total,"705,422,107","234,496,113","470,925,994",33.2,,138,0
Gender,"General Administration, Planning and Support
Services","70,092,915","33,651,061","36,441,854",48,,138,0
,Conservation of Culture,"9,700,000","305,700","9,394,300",3.2,,138,0
,Sports Development,"85,703,440","1,604,068","84,099,372",1.9,,138,0
,Gender Mainstreaming,"19,000,000","1,824,800","17,175,200",9.6,,138,0
,Betting control and licensing,"4,036,809","1,522,000","2,514,809",37.7,,138,0
,Social Development,"125,788,722","18,310,748","107,477,974",14.6,,138,0
,Sub total,"314,321,886","57,218,377","257,103,509",18.2,,138,0
Health,Curative and rehabilitative,"529,781,345","45,604,605","484,176,740",8.6,,138,0
,"General Administration, Planning & Support Ser-
vices","2,728,128,585","1,589,757,981","1,138,370,604",58.3,,138,0
,Development,"1,187,744,033","3,110,134","1,184,633,899",0.3,,138,0
,Sub total,"4,445,653,963","1,638,472,720","2,807,181,243",36.9,,138,0
Lands & Energy,"General Administration Planning and Support
services","310,338,666","36,707,111","273,631,555",11.8,,138,0
,Land policy and planning,"97,674,381","14,603,406","83,070,975",15,,138,0
,Alternative Energy Technologies,"78,404,074","24,689,405","53,714,669",31.5,,138,0
,Sub total,"486,417,121","75,999,922","410,417,199",15.6,,138,0
Livestock,"Administration, Planning and Support services","26,793,000","12,072,854","14,720,146",45.1,,138,0
,Livestock Production and Management,"73,515,001","4,770,549","68,744,452",6.5,,138,0
,Livestock Value Addition and Marketing,"56,864,834","16,691,579","40,173,255",29.4,,138,0
,Food Safety and Animal Products Development,"20,792,038","8,734,347","12,057,691",42,,138,0
,Livestock Disease Management and Control,"30,876,628","6,383,544","24,493,084",20.7,,138,0
,Sub total,"208,841,501","48,652,873","160,188,628",23.3,,138,0
Fisheries,Fisheries Policy and Capacity Development,"94,254,847","42,385,705","51,869,142",45,,138,0
,"Assurance of Fish Safety, Value Addition and
Marketing","57,787,508","25,147,747","32,639,761",43.5,,138,0
,Sub total,"152,042,355","67,533,452","84,508,903",44.4,,138,0
,,,,,,115,138,0
