Department,Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
"Agriculture, Live-
stock and Fisheries","Agricultural Manage-
ment","Administration and
planning services","250,515,480","175,477,961","75,037,519",70.05,301,0
,"Livestock Production
Management","Provision of Exten-
sion Services to Live-
stock farmers","7,526,000","837,453","6,688,547",11.13,301,0
,Crop Management,"County Agriculture
Extension Program","6,205,000","1,120,445","5,084,555",18.06,301,0
,Fisheries development,"Administrative Sup-
port Services","5,849,000","579,485","5,269,515",9.91,301,0
,Veterinary services,"Administrative Sup-
port Services","20,745,000","10,295,711","10,449,289",49.63,301,0
,Wambugu ATC,Farm Development,"8,786,450","5,762,000","3,024,450",65.58,301,0
,AMS Naromoru,"Development of Ag-
ricultural Land For
Crop Production","7,929,794","1,929,794","6,000,000",24.34,301,0
,KCSAP,"Administration and
planning services","329,404,812","140,174,164","189,230,648",42.55,301,0
,ASDSP,"Administration and
planning services","17,458,572","11,843,929","5,614,643",67.84,301,0
,Sub-total,,"654,420,108","348,020,942","306,399,166",53.18,301,0
"Lands, Physical
Planning, Housing
and Urbanization","Physical planning ser-
vices","Administration and
personnel services","30,053,703","28,418,085","1,635,618",94.56,301,0
,Land Policy and Planning,"Land Policy Formu-
lation","3,070,000","1,816,079","1,253,921",59.16,301,0
,l,Government Building,"980,000","479,241","500,759",48.90,301,0
,Nyeri Municipality,"Administration and
personnel services","611,129,637","221,179,435","389,950,202",36.19,301,0
,Sub-total,,"645,233,340","251,892,840","393,340,500",39.04,301,0
"Transport, Public
Works Infrastruc-
ture and Energy","Roads development,
maintenance and man-
agement","County access and
feeder roads improve-
ment","994,507,864","234,999,968","759,507,896",23.63,301,0
,"Energy Sector develop-
ment","Street lighting pro-
gramme","164,382,743","24,627,492","139,755,251",14.98,301,0
,Sub-total,,"1,158,890,607","259,627,460","899,263,147",22.40,301,0
"Trade, Culture,
Tourism and
Co-Operative De-
velopment","Trade and Cooperative
Development",Trade Promotion,"91,205,440","36,045,748","55,159,692",39.52,301,0
,Tourism Development,"Promotion of Tour-
ism","2,285,000","1,226,451","1,058,549",53.67,301,0
,"Co-operative develop-
ment","Cooperative Develop-
ment And Manage-
ment","2,598,370","709,546","1,888,824",27.31,301,0
,Sub-total,,"96,088,810","37,981,745","58,107,065",39.53,301,0
Health Services,County Health Services,"Administration, plan-
ning and support ser-
vices","2,284,209,190","1,890,511,371","393,697,819",82.76,302,0
,"Nyeri Level V Referral
Hospital","Administration, plan-
ning and support ser-
vices","484,361,272","152,468,115","331,893,157",31.48,302,0
,"Karatina District Hospi-
tal","Administration, plan-
ning and support ser-
vices","40,000,000","30,000,000","10,000,000",75.00,302,0
,"Mukurweini District
Hospital","Administration, plan-
ning and support ser-
vices","13,000,000","11,000,000","2,000,000",84.62,302,0
,Othaya District Hospital,"Administration, plan-
ning and support ser-
vices","17,000,000","14,000,000","3,000,000",82.35,302,0
,Mt Kenya Hospital,"Administration, plan-
ning and support ser-
vices","17,000,000","7,150,840","9,849,160",42.06,302,0
,"Health Centres and Dis-
pensaries","Administration, plan-
ning and support ser-
vices","128,703,831","23,015,627","105,688,204",17.88,302,0
,Sub-total,,"2,984,274,293","2,128,145,953","856,128,340",71.31,302,0
"Education and
Sports",Education Management,"Administrative Sup-
port Services","271,288,573","157,289,214","113,999,359",57.98,302,0
,ECDE Management,ECDE Management,"23,917,496","3,850,921","20,066,575",16.10,302,0
,Youth Training,"Administrative Sup-
port Services","66,171,639","7,154,190","59,017,449",10.81,302,0
,"County Sports Develop-
ment","Search and nurture
talents","47,369,566","2,927,585","44,441,981",6.18,302,0
,Sub-total,,"408,747,274","171,221,910","237,525,364",41.89,302,0
"Office of the Gov-
ernor and Deputy
Governor","Management and Co-or-
dination of county affairs","Administration, plan-
ning and support ser-
vices","120,782,337","60,431,685","60,350,652",50.03,302,0
,,Service Delivery,"2,720,000","2,318,877","401,123",85.25,302,0
,,"Management of coun-
ty affairs","9,850,000","8,383,875","1,466,125",85.12,302,0
,Sub-total,,"133,352,337","71,134,437","62,217,900",53.34,302,0
"Office of the Coun-
ty Secretary","Coordination of Coun-
ty Functions and Public
Service Management","Administration, plan-
ning and support ser-
vices","360,422,272","291,612,461","68,809,811",80.91,302,0
,,"Coordination of func-
tions of the County
Executive Committee","1,270,000","648,255","621,745",51.04,302,0
,Sub-total,,"361,692,272","292,260,716","69,431,556",80.80,302,0
"Finance and Eco-
nomic Planning",Executive services,"Administration and
personnel services","812,887,174","451,238,191","361,648,983",55.51,302,0
,Economic Planning,"Economic Planning
and Policy Formula-
tion","13,294,046","5,233,526","8,060,520",39.37,302,0
,,Budget Management,"417,645,843","286,075,031","131,570,812",68.50,302,0
,"Public Finance Manage-
ment",Financial Accounting,"13,051,687","7,857,476","5,194,211",60.20,302,0
,,"Procurement Compli-
ance and Reporting","11,907,249","6,697,383","5,209,866",56.25,302,0
,,Internal Audit,"8,747,881","4,752,260","3,995,621",54.32,302,0
,Revenue Mobilization,Revenue Mobilization,"24,211,483","10,964,211","13,247,272",45.29,302,0
,"Intra and Intergovern-
mental Relation","Administration and
personnel services","10,500,000","4,447,030","6,052,970",42.35,302,0
,KDSP,"Administration and
personnel services","51,800,000","1,905,255","49,894,745",3.68,302,0
,"Monitoring and Evalua-
tion","Administration and
personnel services","5,100,000","2,285,500","2,814,500",44.81,302,0
,Sub-total,,"1,369,145,363","781,455,863","587,689,500",57.08,302,0
County Assembly,"General administration,
Policy Development and
implementation","Administration and
planning services","756,085,232","505,992,398","250,092,834",66.92,302,0
