Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Office of The Governor,,,,,,168,0
General Administration & Planning,701013710,"1,552,520,555","614,953,645","937,566,910",39.6,168,0
General Administration & Planning,702013710,"73,566,597","55,346,966","18,219,631",75.2,168,0
Procurement,704023710,"45,462,825","35,058,666","10,404,159",77.1,168,0
General Administration & Planning,705013710,"77,478,771","91,844,559","(14,365,788)",118.5,168,0
Subtotal,,"1,749,028,748","797,203,836","951,824,912",45.6,168,0
Administration & Coordination of County Affairs,,,,,,168,0
General Administration & Planning,701013710,"124,434,964","62,053,472","62,381,492",49.9,168,0
Coordination & Administrative Services,705013710,"123,857,446","62,738,789","61,118,657",50.7,168,0
Coordination & Administrative Services,706013710,"143,397,744","108,656,334","34,741,410",75.8,168,0
Subtotal,,"391,690,154","233,448,595","158,241,559",59.6,168,0
Agriculture Water & Livestock Development,,,,,,168,0
General Administration &Planning,101013710,"293,464,324","147,401,945","146,062,379",50.2,168,0
Agriculture,101029999,"27,803,793","18,624,726","9,179,067",67.0,168,0
Agriculture,102013710,"310,634,404","269,414,617","41,219,787",86.7,168,0
Agriculture,103013710,"84,042,202","28,687,223","55,354,979",34.1,168,0
Agriculture Headquarters,103023710,"78,599,235","22,533,398","56,065,837",28.7,168,0
Agriculture,104013710,"2,587,578","754,474","1,833,104",29.2,168,0
Fisheries,105013710,"2,146,058","513,751","1,632,307",23.9,168,0
Livestock Production,106013710,"40,437,375","10,623,888","29,813,487",26.3,168,0
Livestock Production,106023710,"20,399,299","12,980,317","7,418,982",63.6,168,0
Water,111013710,"457,215,909","235,307,624","221,908,285",51.5,168,0
Water,111023710,"113,929,375","73,201,146","40,728,229",64.3,168,0
Water,111033710,"61,946,567","47,041,126","14,905,441",75.9,168,0
Subtotal,,"1,493,206,119","867,084,235","626,121,884",58.1,168,0
"Basic Education, ICT, & Youth Development",,,,,,168,0
Basic Education,501013710,-,"(5,000)","5,000",∞,168,0
General Administration & Planning,501013710,"92,741,160","75,703,597","17,037,563",81.6,168,0
Basic Education,502013710,"357,916,962","216,292,708","141,624,254",60.4,168,0
Training & Skills Development,503013710,"208,531,610","44,294,708","164,236,902",21.2,168,0
Training & Skills Development,504013710,"2,432,853","250,800","2,182,053",10.3,168,0
Youth development,505013710,"23,333,306","8,491,170","14,842,136",36.4,168,0
Training & Skills Development,506013710,"126,667,686","98,446,213","28,221,473",77.7,168,0
Subtotal,,"811,623,577","443,474,196","368,149,381",54.6,168,0
"Lands, Infrastructure, Housing & Urban Development",,,,,,168,0
General Administration & Planning,101013710,"109,268,206","61,273,561","47,994,645",56.1,168,0
Housing,107013710,"25,660,186","14,638,504","11,021,682",57.0,168,0
Physical Planning,108013710,"32,672,769","16,538,660","16,134,109",50.6,168,0
Land Adjudication & Settlement,108023710,"11,443,420","5,251,102","6,192,318",45.9,168,0
Survey & Mapping,108023710,"11,950,112","2,547,250","9,402,862",21.3,168,0
Housing,109013710,"24,108,102","11,549,170","12,558,932",47.9,168,0
"Roads, Transport & Mechanical Services",110013710,"734,157,074","474,686,659","259,470,415",64.7,168,0
"Roads, Transport & Mechanical Services",203013710,"36,197,033","18,868,314","17,328,719",52.1,168,0
Subtotal,,"985,456,902","605,353,220","380,103,682",61.4,168,0
Health & Sanitation,,,,,,168,0
General Administration & Planning,401013710,"96,313,817","81,743,940","14,569,877",84.9,168,0
General Administration & Planning,401023710,"65,599,204","33,917,480","31,681,724",51.7,168,0
General Administration & Planning,401033710,"4,844,084","4,667,427","176,657",96.4,168,0
Medical Services,402013710,"2,606,711,494","1,937,060,635","669,650,859",74.3,168,0
Medical Services,402023710,"13,610,550","8,492,092","5,118,458",62.4,168,0
Rural Health Services,402033710,"324,380,396","279,469,017","44,911,379",86.2,168,0
Public Health,403013710,"7,105,912","4,615,930","2,489,982",65.0,168,0
Medical Services,403023710,"126,707,592","65,462,605","61,244,987",51.7,168,0
Public Health,403023710,"1,531,796","928,680","603,116",60.6,168,0
Public Health,403033710,"1,982,324","1,543,900","438,424",77.9,168,0
Health Promotion & Disease Control,404013710,"2,725,985","1,087,664","1,638,321",39.9,168,0
Rural Health Services,404023710,"76,830,284","21,575,355","55,254,929",28.1,168,0
Rural Health Services,404033710,"29,257,060","13,684,045","15,573,015",46.8,168,0
Rural Health Services,404043710,"22,499,905","12,659,937","9,839,968",56.3,168,0
Subtotal,,"3,380,100,403","2,466,908,707","913,191,696",73.0,168,0
"Trade, Cooperatives & Investments",,,,,,168,0
Trade & Markets,301013710,"257,957,196","11,160,686","246,796,510",4.3,169,0
Trade & Markets,303023710,"7,558,635","4,370,965","3,187,670",57.8,169,0
Cooperatives,304013710,"289,628,725","p61,678,818","127,949,907",55.8,169,0
Cooperatives,304023710,"23,382,092","14,816,627","8,565,465",63.4,169,0
Subtotal,,"630,712,821","222,085,818","408,627,003",35.2,169,0
Environment & Natural Resources,,,,,,169,0
General Administration & Planning,1001013710,"49,010,772","24,509,442","24,501,330",50.0,169,0
Environment,1002013710,"14,935,137","7,158,265","7,776,872",47.9,169,0
Environment,1003013710,"2,882,936","2,016,800","866,136",70.0,169,0
Mineral Resources,1003013710,"3,751,989","1,661,064","2,090,925",44.3,169,0
Mineral Resources,1003023710,"10,647,333","4,883,742","5,763,591",45.9,169,0
Mineral Resources,1003043710,"2,883,216","2,200,950","682,266",76.3,169,0
Environment,1004013710,"2,793,929","2,203,990","589,939",78.9,169,0
Energy,1004013710,"3,157,018","888,384","2,268,634",28.1,169,0
Energy,1005013710,"2,713,108","1,946,400","766,708",71.7,169,0
Energy,1006013710,"102,554,377","55,106,515","47,447,862",53.7,169,0
Mineral Resources,1007013710,"16,378,419","5,839,146","10,539,273",35.7,169,0
Mineral Resources,1008013710,"3,446,668","663,600","2,783,068",19.3,169,0
Subtotal,,"215,154,902","109,078,298","106,076,604",50.7,169,0
"Tourism, Sports & Culture",,,,,,169,0
"Tourism, Sports & Culture",301013710,"26,873,438","13,517,849","13,355,589",50.3,169,0
Tourism,305013710,"4,902,603","2,694,045","2,208,558",55.0,169,0
Tourism,305033710,"16,896,057","4,074,020","12,822,037",24.1,169,0
Sports,306013710,"15,193,762","7,135,704","8,058,058",47.0,169,0
Sports,306023710,"61,895,781","48,313,284","13,582,497",78.1,169,0
"Gender, Culture & Social Services Headquarters",307013710,"15,357,714","5,546,933","9,810,781",36.1,169,0
"Gender, Culture & Social Services Headquarters",307023710,"6,666,320","3,075,936","3,590,384",46.1,169,0
"Gender, Culture & Social Services Headquarters",308013710,"9,553,992","3,378,813","6,175,179",35.4,169,0
"Gender, Culture & Social Services Headquarters",308023710,"1,351,586","688,850","662,736",51.0,169,0
Tourism,1003023710,"37,531,400","17,713,355","19,818,045",47.2,169,0
Subtotal,,"196,222,653","106,138,789","90,083,864",54.1,169,0
County Treasury,,,,,,169,0
General Administration & Planning,701013710,"277,646,184","197,906,832","79,739,352",71.3,169,0
Accounts,704013710,"54,340,358","51,197,794","3,142,564",94.2,169,0
Economic Affairs,710013710,"79,552,564","57,673,784","21,878,780",72.5,169,0
Economic Affairs,710023710,"13,398,649","8,520,771","4,877,878",63.6,169,0
Budgetary Supplies,712013710,"128,894,745","108,421,757","20,472,988",84.1,169,0
Budgetary Supplies,712023710,"10,923,447","8,719,506","2,203,941",79.8,169,0
Internal Audit,712033710,"8,442,176","6,215,440","2,226,736",73.6,169,0
Accounts,712053710,"11,593,445","7,693,555","3,899,890",66.4,169,0
Subtotal,,"584,791,568","446,349,439","138,442,129",76.3,169,0
County Public Service Board,,,,,,169,0
General Administration & Planning,701013710,"12,001,036","7,559,649","4,441,387",63.0,169,0
Board,713013710,"7,775,439","4,545,005","3,230,434",58.5,169,0
Board,713023710,"7,297,121","3,959,852","3,337,269",54.3,169,0
Board,714013710,"4,834,050","2,190,702","2,643,348",45.3,169,0
Subtotal,,"31,907,646","18,255,208","13,652,438",57.2,169,0
County Assembly,,,,,,169,0
General Administration & Planning,701013710,"297,003,008","156,276,917","140,726,091",52.6,169,0
Legislative Department,715013710,"583,999,151","365,646,717","218,352,434",62.6,169,0
Subtotal,,"881,002,159","521,923,634","359,078,525",59.2,169,0
Kitui Municipality,,,,,,169,0
General Administration & Planning,201013710,"39,261,973","23,498,923","15,763,050",59.9,169,0
"Environment, Culture, Recreation & Community De-
velopment",207013710,"20,210,653","11,414,934","8,795,719",56.5,169,0
"Planning, Development Control, Transport & Infra-
structure",207013710,"13,470,278","9,104,656","4,365,622",67.6,169,0
