Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),"Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Administration,
Planning and Support
Service",,"508,182,969","76,313,339","431,869,630",15.0,375,2
,Administrative Service,"508,182,969","411,632,838","431,869,630",81.0,375,2
"Rural Planning and
Community Develop-
ment",,"3,400,000","1,699,500","1,700,500",50.0,375,2
,Ward Development Projects,"3,400,000","1,699,500","1,700,500",50.0,375,2
"Livestock Development
and Management",,"18,720,357","9,733,098","8,987,259",52.0,376,0
,"Veterinary Services and Ex-
tension","14,520,357","6,762,900","7,757,457",46.6,376,0
,Livestock Extension,"4,200,000","2,970,198","1,229,802",70.7,376,0
"Fisheries Development
and Management",,"9,450,000","4,246,297","5,203,703",44.9,376,0
,Promotion of Fish Farming,"9,450,000","4,246,297","5,203,703",44.9,376,0
"Crop Development and
Management",,"14,261,329","11,583,577","2,677,752",81.2,376,0
,Crop Extension,"3,461,329","1,347,699","2,113,630",38.9,376,0
,Farm Input Subsidy,"8,000,000","7,743,878","256,122",96.8,376,0
,"Cash Crop Production and
Development","2,800,000","2,492,000","308,000",89.0,376,0
"Cooperatives Develop-
ment",,"3,750,000","2,233,300","1,516,700",59.6,376,0
,"Cooperative Development
Services","3,750,000","2,233,300","1,516,700",59.6,376,0
"Urban and Physical
Planning and Housing
Services",,"334,513,111","313,798,557","318,045,486",93.8,376,0
,Urban and Physical Planning,"122,893,846","4,928,500","117,965,346",4.0,376,0
,Housing Development,"20,000,000","9,999,999","10,000,001",50.0,376,0
,Vihiga Municipality {KUSP},"191,619,265","298,870,058","190,080,139",156.0,376,0
"Administration,
Planning and Support
Service",,"489,045,326","75,949,156","413,096,170",15.5,376,0
,Administrative Service,"489,045,326","75,949,156","413,096,170",15.5,376,0
"Public Finance Man-
agement",,"3,000,000",-,"3,000,000",-,376,0
,Purchase of a trailer,"3,000,000",-,"3,000,000",-,376,0
Transport Management,,"21,302,400","788,372","20,514,028",3.7,376,0
,"Transport System Manage-
ment","8,900,000","12,022","8,887,978",0.1,376,0
,Mechanical Services,"12,402,400","776,350","11,626,050",6.3,376,0
"Infrastructure Devel-
opment",,"800,000",-,"800,000",-,376,0
,Roads Maintenance,"800,000",-,"800,000",-,376,0
"Administration,
Planning and Support
Service",,"105,369,819","51,235,249","54,134,570",48.6,376,0
,Administrative Service,"105,369,819","51,235,249","54,134,570",48.6,376,0
Tourism Development,,"1,977,264",-,"1,977,264",-,376,0
,"Tourism Promotion and
Branding","1,977,264",-,"1,977,264",-,376,0
"Administration,
Planning and Support
Service",,"1,412,944,128","793,398,468","1,080,286,175",56.2,376,0
,Administrative Service,"262,836,294","86,030,750","176,805,544",32.7,376,0
,"Human Resource Manage-
ment and Development","1,001,479,356","694,183,194","768,036,677",69.3,376,0
,Healthcare Financing,"148,628,478","13,184,524","135,443,954",8.9,376,0
"Promotive and Preven-
tive Healthcare Services",,"15,705,284","823,200","14,882,084",5.2,376,0
,Public Health Services,"6,320,000","350,000","5,970,000",5.5,376,0
,Community Health Strategy,"6,320,000","100,000","6,220,000",1.6,376,0
,Health Promotion,"2,175,284","100,000","2,075,284",4.6,376,0
,Reproductive Healthcare,"320,000","93,400","226,600",29.2,376,0
,"Disease Surveillance and
Emergency","570,000","179,800","390,200",31.5,376,0
"Curative And Rehabili-
tative Health Services",,"344,789,449","132,054,275","212,735,174",38.3,376,0
,Medical services,"341,609,449","132,036,775","209,572,674",38.7,376,0
,County referral services,"140,000","17,500","122,500",12.5,376,0
,"Drugs and Other Medical
Supplies","3,040,000",-,"3,040,000",-,376,0
"Child and Maternal
Health Care",,"64,445,596","12,862,797","51,582,799",20.0,376,0
,"Antenatal and Post Natal
healthcare","1,600,000",-,"1,600,000",-,376,0
,"Antenatal and Post Natal
Healthcare","26,285,047","10,113,192","16,171,855",38.5,376,0
,Maternity Services,"23,709,396",-,"23,709,396",-,376,0
,"Newborne, Child and Ado-
lescent Health","40,000",-,"40,000",-,376,0
,Nutrition Services,"12,811,153","2,749,605","10,061,548",21.5,376,0
"Administration,
Planning and Support
Service",,"391,908,139","104,193,060","287,715,079",26.6,376,0
,Administrative Service,"391,908,139","104,193,060","287,715,079",26.6,376,0
