Programme,Sub-Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index,Sub- Programme,"Variance
(Kshs.)",Absorption (%)
902004810,,"10,000,000",-,"10,000,000",-,118,0,,,
,Culture and Heritage Conservation,"10,000,000",-,"10,000,000",-,118,0,,,
903004810,,"468,000,000","274,993,628","193,006,372",58.8,118,0,,,
,Development of Sports facilities,"450,000,000","259,993,628","190,006,372",57.8,118,0,,,
,Promotion and Development of Sports and Talent,"18,000,000","15,000,000","3,000,000",83.3,118,0,,,
904004810,,"29,000,000",-,"29,000,000",-,118,0,,,
,Youth Disability and Gender Empowerment,"29,000,000",-,"29,000,000",-,118,0,,,
906004810,,"62,000,000","20,740,860","41,259,140",33.5,118,0,,,
,Social Development and Protection,"62,000,000","20,740,860","41,259,140",33.5,118,0,,,
,Child welfare Services,0,0,0,-,118,0,,,
1005004810,,"83,632,067",-,"83,632,067",-,118,0,,,
,Farm Forest Resource Management,"47,632,067",-,"47,632,067",-,118,0,,,
,Mineral Resource Management,"36,000,000",-,"36,000,000",-,118,0,,,
1006004810,,"377,182,180","193,910,196","183,271,984",51.4,118,0,,,
,Water Resource Supply and management,"377,182,180","193,910,196","183,271,984",51.4,118,0,,,
1007004810,,"10,000,000","3,107,845","6,892,155",31.1,118,0,,,
,Environmental Protection,"10,000,000","3,107,845","6,892,155",31.1,118,0,,,
Grand Total,,"7,461,205,379","3,021,130,341","4,440,075,038",40.5,118,0,,,
DEPARTMENT: OFFICE OF THE GOVERNOR,,,,,,123,2,,,
"County Coordination Ser-
vices",,"98,301,145","73,593,789",,,123,2,County Coordination Services,"24,707,356",74.87
"Public sector advisory ser-
vices",,"2,765,000",-,,,124,0,Economic and Social Advisory Service,"2,765,000",-
,,"101,066,145","73,593,789",,,124,0,,"27,472,356",72.82
DEPARTMENT: FINANCE AND ECONOMIC PLANNING,,,,,,124,0,,,
"Administration, Planning
and Support Services.",,"358,493,218","57,268,362",,,124,0,Administration Services.,"301,224,856",15.97
"Administration, Planning
and Support Services.",,"12,461,851","12,456,219",,,124,0,"Monitoring Budget Implementation and
Reporting","5,632",99.95
"Public Finance Manage-
ment",,"129,142,332","67,696,302",,,124,0,"Budget Formulation co-ordination and
management","61,446,030",52.42
Audit Services,,"2,866,483","2,852,268",,,124,0,County Audit,"14,215",99.50
,,"502,963,884","140,273,151",,,124,0,,"362,690,733",27.89
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,124,0,,,
"Policy, Strategy and Man-
agement of Agriculture",,"29,037,959","3,409,830",,,124,0,"Development of Agricultural Policy, Le-
gal & Regulatory framework.","25,628,129",11.74
"Crop Development and
Management",,"420,071,834","58,784,412",,,124,0,Agriculture Extension Services,"361,287,422",13.99
"Livestock Resource Man-
agement and Development",,"10,760,397","1,977,235",,,124,0,"Livestock Disease Management and
Control.","8,783,162",18.38
"Livestock Resource Man-
agement and Development",,"65,095,995","40,902,321",,,124,0,"Livestock Production and Extension
Services","24,193,674",62.83
Fisheries development,,"7,595,177","500,820",,,124,0,"Management and Development of Cap-
ture Fisheries","7,094,357",6.59
,,"532,561,362","105,574,617",,,124,0,,"426,986,745",19.82
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,,124,0,,,
