Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Agriculture, livestock and cooperative development",,,,,,54,1
"General Administra-
tion, planning and
support services",Administrative and Support Services,"8,811,476","8,028,919","782,557",91.1,54,1
,Human Resource Management and Development.,"289,172,958","279,719,872","9,453,086",96.7,54,1
,"Policy, Legal and Regulatory Framework","2,000,000","1,764,270","235,730",88.2,54,1
,Planning and financial Management,"2,615,043","1,959,886","655,157",74.9,54,1
,Sector Coordination,"1,500,000",-,"1,500,000",0.0,54,1
,Leadership and Governance,"1,000,000",-,"1,000,000",0.0,54,1
"Land and Crop Devel-
opment and Manage-
ment",Agricultural extension and training services,"2,340,000",-,"2,340,000",0.0,54,1
,Crop production and productivity,"62,631,411",-,"62,631,411",0.0,54,1
,"Soil rehabilitation, protection and conservation","600,000",-,"600,000",0.0,54,1
,Value addition and Agro processing,"700,000",-,"700,000",0.0,54,1
,Agri nutrition and food utilization,"500,000",-,"500,000",0.0,54,1
,Irrigation Extension and training,"600,000",-,"600,000",0.0,54,1
,"Irrigation infrastructure development and agricultural
water storage","10,000,000",-,"10,000,000",0.0,54,1
"Livestock develop-
ment and manage-
ment","Livestock production extension, Training and Infor-
mation Services","2,896,991",-,"2,896,991",0.0,54,1
,Value addition and processing,"80,000,000","39,777,502","40,222,498",49.7,54,1
,"Livestock production value chain development (Dairy
,Poultry, Honey & Rabbit value chains)","7,500,000","1,993,331","5,506,669",26.6,54,1
,Disease and Vector Control,"4,000,000",-,"4,000,000",0.0,54,1
,Food Safety And Quality Control,"7,000,000",-,"7,000,000",0.0,54,1
,Veterinary Extension Services,"1,000,000",-,"1,000,000",0.0,54,1
,Breeding and AI Subsidy programme,"5,000,000",-,"5,000,000",0.0,54,1
"Fisheries develop-
ment and manage-
ment",Fisheries extension service and training,"2,500,000",-,"2,500,000",0.0,54,1
,Fisheries product value-chain development,"4,904,380",-,"4,904,380",0.0,54,1
"Cooperatives Devel-
opment and Manage-
ment","Cooperatives extension service and training (Co-op-
erative Governance (Training))","1,950,069",-,"1,950,069",0.0,55,0
,Cooperatives Audit Services,"250,000",-,"250,000",0.0,55,0
,"Production, Agro processing, value addition & Mar-
keting (Input and Infrastructural Support to Cooper-
atives)","28,000,000",-,"28,000,000",0.0,55,0
"Institutional Devel-
opment and Manage-
ment",Mabanga ATC Administration management services,"2,000,000",-,"2,000,000",0.0,55,0
,Agricultural Enterprise Development (ATC),"2,500,000",-,"2,500,000",0.0,55,0
,Infrastructural development (ATC),"30,600,000",-,"30,600,000",0.0,55,0
,Agricultural mechanization extension,"500,000",-,"500,000",0.0,55,0
,Tractor hire services,"8,000,000",-,"8,000,000",0.0,55,0
,General administrative services (CFF),"100,000",-,"100,000",0.0,55,0
,Technology transfer (CFF),"400,000",-,"400,000",0.0,55,0
,Operational development (CFF),"500,000",-,"500,000",0.0,55,0
NARIGP,NARIGP,"350,000,010",-,"350,000,010",0.0,55,0
ASDSP II,ASDSP II,"19,861,959",-,"19,861,959",0.0,55,0
"Total Expenditure of
Vote",,"941,934,297","333,243,780","608,690,517",35.4,55,0
Roads & Public Works,,,,,,55,0
"Transport infrastruc-
ture development and
management","Transport infrastructure development and manage-
ment","1,320,000,470","524,477,486","795,522,984",39.7,55,0
"Public safety and trans-
port operations",Public safety and transport operations,"18,668,115",-,"18,668,115",0.0,55,0
"Building standards and
other civil works",Building standards and other civil works,"3,999,534",-,"3,999,534",0.0,55,0
"General administra-
tion, planning and sup-
port services","General administration, planning and support ser-
vices","113,754,758","108,684,981","5,069,776",95.5,55,0
Total,,"1,456,422,877","633,162,468","823,260,409",43.5,55,0
Health & Sanitation,,,,,,55,0
"General Administra-
tion and Planning,
and Support Services",Health Administration Planning and support services,"501,607,010","154,020,205","347,586,805",30.7,55,0
,Human resources,"2,027,711,289","1,710,511,321","317,199,968",84.4,55,0
,Health Infrastructure,"172,032,460",-,"172,032,460",0.0,55,0
"Preventive Promotive
and Rehabilitative",Communicable and non-communicable,"42,676,050",-,"42,676,050",0.0,55,0
,Health Promotion services,"5,000,000",-,"5,000,000",0.0,55,0
,Disease surveillance,"1,576,051",-,"1,576,051",0.0,55,0
,Community health services,"76,800,000",-,"76,800,000",0.0,55,0
,Nutrition Management,"10,000,000",-,"10,000,000",0.0,55,0
,HIV/AIDS awareness.,"2,000,000",-,"2,000,000",0.0,55,0
"Curative and Rehabil-
itative Health Services",Routine Medical Services,"551,556,410",-,"551,556,410",0.0,55,0
,Blood Bank Services,"10,000,000",-,"10,000,000",0.0,55,0
,Maternity Services,"61,252,101",-,"61,252,101",0.0,55,0
Total,,"3,462,211,371","1,864,531,525","1,597,679,846",53.9,55,0
Education & Statistics,,,,,,55,0
"General Administra-
tion, Planning and
Support Services",Salaries and allowances,"955,040,802","670,035,365","285,005,437",70.2,55,0
,Policy formulation,"3,000,000",-,"3,000,000",0.0,55,0
,Monitoring and evaluation,"2,000,000",-,"2,000,000",0.0,55,0
,Administration and support services,"53,502,973","31,799,658","21,703,315",59.4,55,0
,Capacity building and stakeholders forum,"4,000,000",-,"4,000,000",0.0,55,0
,Planning and financial management,"3,000,000",-,"3,000,000",0.0,55,0
"Early Childhood Edu-
cation Development",Quality Assurance and Standards,"1,000,000",-,"1,000,000",0.0,55,0
,Promotion of good governance,"500,000",-,"500,000",0.0,55,0
,Curriculum implementation,"1,000,000",-,"1,000,000",0.0,55,0
,Capacity building of ECDE teachers,"1,269,142",-,"1,269,142",0.0,55,0
,Special needs assessment,"1,000,000",-,"1,000,000",0.0,55,0
,learning materials,"3,000,000",-,"3,000,000",0.0,55,0
,Infrastructure development,"229,389,000",-,"229,389,000",0.0,55,0
"Vocational Education
and Training",Assessment of curriculum,"1,000,000",-,"1,000,000",0.0,55,0
,Tuition support grant,"67,849,894","38,061,880","29,788,014",56.1,55,0
,Promotion of governance,"1,000,000",-,"1,000,000",0.0,55,0
,Quality assurance and standards,"1,000,000",-,"1,000,000",0.0,55,0
,Special needs assessment,"1,000,000",-,"1,000,000",0.0,55,0
,Capacity building for VTC managers,"1,000,000",-,"1,000,000",0.0,55,0
,Center of excellence,"29,104,858",-,"29,104,858",0.0,55,0
"Education Support
Programme",Education support and bursary scheme,"124,336,685","62,000,000","62,336,685",49.9,56,0
,Mentorship and launch of scholarship,"10,000,000",-,"10,000,000",0.0,56,0
TOTAL,,"1,493,993,354","801,896,904","692,096,450",53.7,56,0
Water & Tourism,,,,,,56,0
Water,,,,,,56,0
,Administration services,"69,582,437","14,807,646","54,774,791",21.3,56,0
"General Administra-
tion Planning and sup-
port Services",Human Resources Management,"23,491,552","20,069,689","3,421,863",85.4,56,0
,Policy and Legal Framework formulation,"5,000,000",-,"5,000,000",0.0,56,0
"Water and Sewerage
Services Management",Water Services Provision,"240,991,104",-,"240,991,104",0.0,56,0
Total Water,,"339,065,093","34,877,335","304,187,758",10.3,56,0
Tourism,,,-,-,,56,0
"General Administra-
tion Planning and sup-
port Services",Administration & Human Resources Management,"54,275,801","37,124,367","17,151,434",68.4,56,0
"Integrated Solid Waste
Management",Dumpsite Management,"16,882,637",-,"16,882,637",0.0,56,0
,Garbage collection and transportation,"144,000,000","138,711,957","5,288,043",96.3,56,0
Total Tourism,,"215,158,438","175,836,324","39,322,114",81.7,56,0
TOTAL,,"554,223,531","210,713,659","343,509,872",38.0,56,0
Trade & Industrialization,,,,,,56,0
"Trade and Enterprise
Development",Trade and Enterprise Development,"4,180,000",-,"4,180,000",0.0,56,0
"Market Infrastructure
Development",Market Infrastructure Development,"25,000,000",-,"25,000,000",0.0,56,0
"Energy Development
and Management",Energy Development and Management,"21,555,632",-,"21,555,632",0.0,56,0
"Industrial Develop-
ment and Investment",Industrial Development and Investment,"15,000,000",-,"15,000,000",0.0,56,0
"General Administra-
tion, Planning and Sup-
port Services","General Administration, Planning and Support Ser-
vices","52,696,228","39,385,841","13,310,387",74.7,56,0
WBP,WBP,"6,945,000",-,"6,945,000",0.0,56,0
Total,,"125,376,860","39,385,841","85,991,019",31.4,56,0
Lands & Urban Planning,,,,,,56,0
"General Administra-
tion, Planning and
Support services",Human resource development and management,"50,447,791","37,063,410","13,384,381",73.5,56,0
,"Institutional accountability, efficiency and effective-
ness in service delivery","1,595,694",-,"1,595,694",0.0,56,0
"Land Resource Sur-
vey/Mapping and
Management",Land acquisition,"10,469,160",-,"10,469,160",0.0,56,0
,"Survey of government land quality control of survey
activities","18,643,612",-,"18,643,612",0.0,56,0
"County Physical Plan-
ning and Infrastruc-
ture",Physical Planning and Urban Development,"6,841,464",-,"6,841,464",0.0,56,0
Total,,"87,997,721","37,063,410","50,934,311",42.1,56,0
Housing,,,,,,56,0
"General Administra-
tion, Planning and
Support services",Human Resource Management,"12,851,403","6,404,424","6,446,979",49.8,56,0
,Administrative Services,"6,670,000","5,770,552","899,448",86.5,56,0
,Research and Development,"400,000",-,"400,000",0.0,56,0
,Capacity Development,"380,228",-,"380,228",0.0,56,0
"Housing development
and Human Settle-
ment",Estate Management,"1,906,521",-,"1,906,521",0.0,56,0
,Housing Development,"1,813,042",-,"1,813,042",0.0,56,0
Total,,"24,021,194","12,174,976","11,846,218",50.7,56,0
Bungoma Municipality,,,,,,56,0
"Urban Economy, Gen-
eral Administration,
Planning and Support
services",Human Resource Development and Management,"25,000",-,"25,000",0.0,56,0
,General Administration and Support Services,"10,341,584","8,293,560","2,048,024",80.2,56,0
,"Institutional Accountability, Efficiency and Effective-
ness","1,564,574",-,"1,564,574",0.0,56,0
,"Leadership and Coordination of Municipal Board Op-
erations","40,000",-,"40,000",0.0,56,0
,Capacity Development,"1,500,000","570,500","929,500",38.0,56,0
,Public Participation and Outreach Services,"1,360,000",-,"1,360,000",0.0,56,0
"Land Use, Urban Infra-
structure Development
and Management",Urban Transport and Infrastructure,"109,887,700","78,595,946","31,291,754",71.5,56,0
Total,,"124,718,858","87,460,006","37,258,852",70.1,56,0
Kimilili Municipality,,,,,,57,0
"General Administra-
tion, Planning and Sup-
port services",General Adm planning and support services,"12,831,159","6,764,149","6,067,010",52.7,57,0
"Urban Infrastructure
Development and
management",Infrastructure. Housing and public works,"191,089,400","136,674,552","54,414,848",71.5,57,0
Total,,"203,920,559","143,438,701","60,481,858",70.3,57,0
Total Lands,,"440,658,332","280,137,093","160,521,239",63.6,57,0
Finance & Economic planning,,,,,,57,0
"Economic development
planning and coordina-
tion services",,"49,065,088","46,231,861","2,833,227",94.2,57,0
"Monitoring and evalua-
tion services",,"46,204,160","31,448,113","14,756,047",68.1,57,0
"Public finance manage-
ment",,"96,319,698",-,"96,319,698",0.0,57,0
"General administra-
tion, planning, policy
coordination and sup-
port services",,"816,488,849","644,815,698","171,673,151",79.0,57,0
