Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Agriculture,,,,,,346,2
Crop Diversification,Crop Diversification,"71,776,295","45,823,428","25,952,867",63.8,346,2
"Post-harvest management and value
addition","Post-harvest management and
value addition","144,401,329","92,188,709","52,212,620",63.8,347,0
Administrative and Support Services,"Administrative and Support Ser-
vices","339,014,196","216,433,472","122,580,724",63.8,347,0
Sub total,,"555,191,820","354,445,610","200,746,210",63.8,347,0
"Trade, Commerce and Industry",,,,,,347,0
Medium and small Enterprises,Medium and small Enterprises,"47,944,507","7,252,726","40,691,782",15.1,347,0
Administrative and Support Services,"Administrative and Support Ser-
vices","258,748,454","39,141,743","219,606,710",15.1,347,0
Sub total,,"306,692,961","46,394,469","260,298,492",15.1,347,0
"Water, Environment and Natural Resources",,,,,,347,0
"Environment Management and Pro-
tection",Waste Management,"140,027,728","40,813,684","99,214,044",29.1,347,0
Administrative and Support Services,"Administrative and Support Ser-
vices","225,711,445","65,787,796","159,923,649",29.1,347,0
Sub total,,"365,739,173","106,601,480","259,137,693",29.1,347,0
"Public Works, Roads and Infrastructure",,,,,,347,0
"Road Construction and Road Mainte-
nance",Maintenance of Roads,"512,298,213","123,188,456","389,109,757",24.0,347,0
Administrative and Support Services,"Administrative and Support Ser-
vices","168,032,626","40,405,528","127,627,098",24.0,347,0
Sub total,,"680,330,839","163,593,984","516,736,855",24.0,347,0
"Lands, Housing and Urban Planning","Administrative and Support Ser-
vices","107,032,026","33,855,009","73,177,017",31.6,347,0
Sub total,,"107,032,026","33,855,009","73,177,017",31.6,347,0
"Gender, Sports, Culture and Tourism",,,,,,347,0
Culture development and promotion,Culture development,"89,379,724","45,743,183","43,636,540",51.2,347,0
Administrative and Support Services,"Administrative and Support Ser-
vices","87,166,156","44,610,313","42,555,843",51.2,347,0
Sub total,,"176,545,880","90,353,496","86,192,384",51.2,347,0
Public Service Management,,,,,,347,0
"Supervision and Management of Proj-
ects","Supervision and Management of
Projects","82,908,632","45,661,677","37,246,955",55.1,347,0
Administrative and Support Services,"Administrative and Support Ser-
vices","390,990,611","215,336,889","175,653,722",55.1,347,0
Sub total,,"473,899,243","260,998,566","212,900,677",55.1,347,0
Education and ICT,,,,,,347,0
Vocational Training Development,"Vocational Training Develop-
ment","63,448,820","35,939,270","27,509,550",56.6,347,0
Administrative and Support Services,"Administrative and Support Ser-
vices","509,805,036","288,768,505","221,036,531",56.6,347,0
Sub total,,"573,253,856","324,707,775","248,546,081",56.6,347,0
Finance,,,,,,347,0
"Supervision and Management of Proj-
ects","Supervision and Management of
Projects","584,644,555","372,220,201","212,424,354",63.7,347,0
Administrative and Support Services,"Administrative and Support Ser-
vices","524,112,789","333,682,006","190,430,783",63.7,347,0
Sub total,,"1,108,757,344","705,902,207","402,855,137",63.7,347,0
Governance,,,,,,347,0
"Supervision and Management of Proj-
ects",Infrastructure Development,"52,945,533","27,389,629","25,555,905",51.7,347,0
Administrative and Support Services,"Administrative and Support Ser-
vices","95,244,838","49,271,781","45,973,056",51.7,347,0
Sub total,,"148,190,371","76,661,410","71,528,961",51.7,347,0
County Public Service Board,,,,,,347,0
Infrastructure Development,Governance and County Values,"66,673,461","19,968,503","46,704,958",29.9,347,0
Sub total,,"66,673,461","19,968,503","46,704,958",29.9,347,0
Livestock,,,,,,347,0
Livestock Productivity,Livestock Productivity,"187,796,624","75,076,777","112,719,847",40.0,347,0
Sub total,,"187,796,624","75,076,777","112,719,847",40.0,347,0
Health Corporate,,,,,,347,0
Preventive Health Services,Preventive Health Services,"523,378,231","259,408,574","263,969,65",7 49.6,347,0
Administrative and Support Services,"Administrative and Support Ser-
vices","1,703,989,956","844,570,101","859,419,85",5 49.6,347,0
Sub total,,"2,227,368,187","1,103,978,675","1,123,389,51",2 49.6,347,0
Economic Planning,,,,,,347,0
