Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index,"Variance
(Kshs.)"
"Lands, Housing and Urban Planning",,,,,,89,0,
"Administration & Sup-
port Service","Urban Administration and Sup-
port Service","268,500,000","158,847,000","109,653,000",59.2%,89,0,
Land and Housing,Lands,"8,000,000","7,300,000","700,000",91.3%,89,0,
,Housing & public Works,"22,574,997","18,750,000","3,824,997",83.1%,89,0,
Urban Development,"Urban Planning and Disaster
Management","1,614,626","400,000","1,214,626",24.8%,89,0,
,"Urban sanitation and Develop-
ment","900,000","700,000","200,000",77.8%,89,0,
,Total,"301,589,623","185,997,000","115,592,623",61.7%,89,0,
County Public Service Board,,,,,,89,0,
"General Administration
and support Service","General Administration and sup-
port Service","37,072,000","25,465,000","11,607,000",68.7%,89,0,
,Total,"37,072,000","25,465,000","11,607,000",68.7%,89,0,
Garissa Municipality,,,,,,89,0,
"General Administration
and support Service","General Administration and sup-
port Service","314,306,000","125,880,000","188,426,000",40.1%,89,0,
Total,,"314,306,000","125,880,000","188,426,000",40.1%,89,0,
Grand Total,,"10,165,759,490","5,468,926,925","4,696,832,565",53.8%,89,0,
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,94,0,
"Policy Planning, Gen-
eral Administration
and Support Services",Policy and Planning Services,"4,000,000","2,770,000",,69.3,94,0,"1,230,000"
,"General Administration and Sup-
port Services","134,530,571","121,000,000",,89.9,94,0,"13,530,571"
,Sub total,"138,530,571","123,770,000",,89.3,94,0,"14,760,571"
"Crop, Land, & Agri-
business Development
Services","National Agriculture Rural Inclu-
sive Growth","198,467,950","104,742,024",,52.8,94,0,"93,725,926"
,"Agriculture Sector Development
Support Programme","41,468,641",0,,0.0,94,0,"41,468,641"
,Sub total,"239,936,591","104,742,024",,43.7,94,0,"135,194,567"
,"Sub Sector Infrastructure Develop-
ment Services","5,700,000",,,0.0,94,0,"5,700,000"
,Sub total,"5,700,000",0,,0.0,94,0,"5,700,000"
"Department of Tourism, Sports, Youth Gender, Culture and Social Services",,,,,,94,0,
"Policy, Planning and
General Administration
services","General Administration and Sup-
port Services","39,022,620","37,985,409",,97.3,94,0,"1,037,211"
,Policy and Planning Services,"9,575,711","4,000,000",,41.8,94,0,"5,575,711"
,Sub total,"48,598,331","41,985,409",,86.4,94,0,"6,612,922"
"Management and De-
velopment of Sports
and Sports Facilities","Sports Infrastructure Development
Services","126,243,381","40,504,271",,32.1,94,0,"85,739,110"
,"Sports Management and Talent De-
velopment","4,000,000",-,,-,94,0,"4,000,000"
