Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Default Value ( Non-
Departmental)",,0,"108,352,413.00","-108,352,413.00",-,367,1
,,0,"108,352,413.00","-108,352,413.00",-,367,1
Office of the Governor,,,,,,367,1
"Administration - Gover-
nor's Office","Administration And Support Ser-
vices","73,953,462.00","60,872,185.00","13,081,277.00",82.3,367,1
,,"73,953,462.00","60,872,185.00","13,081,277.00",82.3,367,1
"Inter- Governmental
Committee","Administration And Support Ser-
vices","1,543,128.00","1,542,300.00",828,99.9,367,1
,,"1,543,128.00","1,542,300.00",828,99.9,367,1
504004310,"Administration And Support Ser-
vices","7,550,000.00","7,111,121.00","438,879.00",94.2,367,1
,,"7,550,000.00","7,111,121.00","438,879.00",94.2,367,1
,Sub Total,"83,046,590.00","69,525,606.00","13,520,984.00",83.7,367,1
Finance and Economic Planning,,,,,,367,1
"Administration - Finance
and Economic Planning",Public Finance Management,"370,484,906.00","171,459,359.20","199,025,546.80",46.3,367,1
,,"370,484,906.00","171,459,359.20","199,025,546.80",46.3,367,1
Revenue Section,Public Finance Management,"22,840,000.00","21,962,253.00","877,747.00",96.2,367,1
,,"22,840,000.00","21,962,253.00","877,747.00",96.2,367,1
Accounts Section,Public Finance Management,"1,884,862.00","1,838,525.00","46,337.00",97.5,367,1
,,"1,884,862.00","1,838,525.00","46,337.00",97.5,367,1
"Procurement and Sup-
plies Section",Public Finance Management,"2,250,000.00","2,113,380.00","136,620.00",93.9,367,1
,,"2,250,000.00","2,113,380.00","136,620.00",93.9,367,1
Internal Audit Section,Public Finance Management,"7,150,000.00","7,083,770.00","66,230.00",99.1,367,1
,,"7,150,000.00","7,083,770.00","66,230.00",99.1,367,1
,Sub Total,"404,609,768.00","204,457,287.20","200,152,480.80",50.5,367,1
Public Service Management,,,,,,367,1
"Administration- Public
Service Management","County Governance Support Ser-
vices","11,830,079.00","7,388,000.00","4,442,079.00",62.5,367,1
,"Administration And Support Ser-
vices","532,108,561.00","505,974,437.30","26,134,123.70",95.1,367,1
,,"543,938,640.00","513,362,437.30","30,576,202.70",94.4,367,1
Communication Section,"Administration And Support Ser-
vices","1,380,000.00","1,023,300.00","356,700.00",74.2,368,0
,,"1,380,000.00","1,023,300.00","356,700.00",74.2,368,0
Legal Section,"Administration And Support Ser-
vices","11,743,860.00","5,582,655.00","6,161,205.00",47.5,368,0
,,"11,743,860.00","5,582,655.00","6,161,205.00",47.5,368,0
Registry Section,"Administration And Support Ser-
vices","320,000.00","166,500.00","153,500.00",52.0,368,0
,,"320,000.00","166,500.00","153,500.00",52.0,368,0
Human Resource Section,"Administration And Support Ser-
vices","750,000.00","473,600.00","276,400.00",63.1,368,0
,,"750,000.00","473,600.00","276,400.00",63.1,368,0
,Sub Total,"558,132,500.00","520,608,492.30","37,524,007.70",93.3,368,0
ICT And E-Government,,,,,,368,0
"Administration- ICT and
E-Government",Administrative Support Services,"48,088,768.00","22,800,292.50","25,288,475.50",47.4,368,0
,Ict Infrastructure Development,"32,068,723.00","13,228,755.00","18,839,968.00",41.3,368,0
,,"80,157,491.00","36,029,047.50","44,128,443.50",44.9,368,0
,Sub Total,"80,157,491.00","36,029,047.50","44,128,443.50",44.9,368,0
"Roads, Transport And Public Works",,,,,,368,0
"Administration - Roads,
Transport and Infra-
structure",Roads Infrastructure Development,"224,553,901.00","110,900,000.00","113,653,901.00",49.4,368,0
,,"224,553,901.00","110,900,000.00","113,653,901.00",49.4,368,0
Roads Department,Roads Infrastructure Development,"1,022,672,757.00","380,608,120.20","642,064,636.80",37.2,368,0
,,"1,022,672,757.00","380,608,120.20","642,064,636.80",37.2,368,0
"Fire and Emergency
Respond Department",Disaster Management,"3,795,011.00","1,645,993.70","2,149,017.30",43.4,368,0
,Roads Infrastructure Development,"50,000.00","50,000.00",0,100.0,368,0
,,"3,845,011.00","1,695,993.70","2,149,017.30",44.1,368,0
"Public Works Depart-
ment",Roads Infrastructure Development,"1,050,000.00","72,000.00","978,000.00",6.9,368,0
,,"1,050,000.00","72,000.00","978,000.00",6.9,368,0
Transport Department,Disaster Management,"5,714,000.00",0,"5,714,000.00",-,368,0
,,"5,714,000.00",0,"5,714,000.00",-,368,0
209004310,Street Lighting Services,"85,487,430.00","52,452,330.00","33,035,100.00",61.4,368,0
,,"85,487,430.00","52,452,330.00","33,035,100.00",61.4,368,0
,Sub Total,"1,343,323,099.00","545,728,443.90","797,594,655.10",40.6,368,0
Lands And Housing,,,,,,368,0
"Administration- Lands,
Housing and Physical
Planning",Land Policy And Management,"134,693,395.00","62,910,380.75","71,783,014.25",46.7,368,0
,,"134,693,395.00","62,910,380.75","71,783,014.25",46.7,368,0
"Physical Planning
Section",Land Policy And Management,"16,410,725.00","7,055,800.00","9,354,925.00",43.0,368,0
,,"16,410,725.00","7,055,800.00","9,354,925.00",43.0,368,0
Survey Section,Land Policy And Management,"14,342,039.00","3,616,336.40","10,725,702.60",25.2,368,0
,,"14,342,039.00","3,616,336.40","10,725,702.60",25.2,368,0
Housing Section,Land Policy And Management,"601,140,095.00","17,223,536.00","583,916,559.00",2.9,368,0
,,"601,140,095.00","17,223,536.00","583,916,559.00",2.9,368,0
,Sub Total,"766,586,254.00","90,806,053.15","675,780,200.85",11.8,368,0
"Water, Environment, Natural Resources, Tourism And Wildlife",,,,,,368,0
"Administration- Water,
Environment, Energy
and Natural resources",Water Supply Services,"118,201,759.00","63,165,477.50","55,036,281.50",53.4,368,0
,,"118,201,759.00","63,165,477.50","55,036,281.50",53.4,368,0
Environment Section,"Environmental Management And
Protection","160,790,000.00","32,940,000.00","127,850,000.00",20.5,368,0
,,"160,790,000.00","32,940,000.00","127,850,000.00",20.5,368,0
Water Section,Water Supply Services,"425,307,241.00","47,920,701.00","377,386,540.00",11.3,368,0
,,"425,307,241.00","47,920,701.00","377,386,540.00",11.3,368,0
Energy Section,"Tourism Development And Mar-
keting","13,591,390.00","1,657,920.00","11,933,470.00",12.2,368,0
,,"13,591,390.00","1,657,920.00","11,933,470.00",12.2,368,0
,Sub Total,"717,890,390.00","145,684,098.50","572,206,291.50",20.3,368,0
Health Services,,,,,,368,0
"Administration- Health
Services","Administration And Support Ser-
vices","2,394,083,995.00","1,726,992,655.10","667,091,339.90",72.1,368,0
,Curative Health Services,"124,200,000.00","3,518,510.80","120,681,489.20",2.8,368,0
,Health Infrastructure,"230,494,706.00","138,965,479.65","91,529,226.35",60.3,368,0
,,"2,748,778,701.00","1,869,476,645.55","879,302,055.45",68.0,368,0
Clinical Services,Clinical Services,"248,183,873.00",0,"248,183,873.00",-,369,0
,"Administration And Support Ser-
vices","125,653,176.00","215,630.00","125,437,546.00",0.2,369,0
,Health Infrastructure,"13,700,000.00",0,"13,700,000.00",-,369,0
,,"387,537,049.00","215,630.00","387,321,419.00",0.1,369,0
