Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
County Assembly,,,,,,309,0
"0707004210 P1 Coun-
ty Assembly Adminis-
tration",0707014210 SP1 Legislative and Oversight,"52,497,492","38,154,687","14,342,805",72.7,309,0
,"0707024210 SP2 County Assembly Admin-
istration","341,308,595","161,404,244","179,904,351",47.3,309,0
,0707034210 SP3 Representation,"236,490,947","150,946,387","85,544,560",63.8,309,0
,Sub total,"630,297,034","350,505,318","279,791,716",55.6,309,0
County Executive,,,,,,309,0
"0701004210 P1 Man-
agement of County
Affairs","0701014210 SP1 General Administration
and Support Services (Governor, Deputy
Governor)","230,253,958","131,694,852","98,559,106",57.2,309,0
,"0704014210 SP2 Administration of Human
Resources in County Public Service","58,446,626","34,259,991","24,186,635",58.6,309,0
,"0701034210 SP3 Sub County Administra-
tion","176,902,094","147,982,080","28,920,014",83.7,309,0
,"0701044210 SP4 Coordination, Supervision
and Human Resource services (C S)","38,294,586","21,041,323","17,253,263",54.9,309,0
,Sub total,"503,897,264","334,978,246","168,919,018",66.5,309,0
"Finance, Economic Planning & ICT",,,,,,309,0
"0705004210 P1 Gen-
eral Administration
Planning and Support
Services",0705014210 SP1 Administration Services,"496,540,749","174,186,199","322,354,550",35.1,309,0
,0705024210 SP2 ICT Services,"46,150,316","7,841,714","38,308,602",17.0,309,0
,Sub total,"542,691,065","182,027,913","360,663,152",33.5,309,0
"0706004210 P2 Public
Finance Management",0706054210 SP5 Accounting Services,"31,154,458","21,716,747","9,437,711",69.7,310,0
,0706024210 SP2 Resource Mobilization,"85,062,231","53,095,705","31,966,526",62.4,310,0
,0706034210 SP3 Internal Audit,"17,386,714","11,396,470","5,990,244",65.5,310,0
,"0706044210 SP4 Supply Chain Manage-
ment","19,654,266","10,879,590","8,774,676",55.4,310,0
,"0706014210 SP1 Budget Formulation Coor-
dination and Management","11,031,050","6,969,804","4,061,246",63.2,310,0
,0706064210 SP6 Fiscal Planning,"82,951,670","18,021,276","64,930,394",21.7,310,0
,Sub total,"247,240,389","122,079,592","125,160,797",49.4,310,0
"0713004210 P3 Gen-
eral Administration
Planning and Support
Services","0713014210 SP1 General Administration
Planning and Support Services","6,523,997","3,996,973","2,527,024",61.3,310,0
,Sub total,"6,523,997","3,996,973","2,527,024",61.3,310,0
"0712004210 P4 Spe-
cial Programs",0712014210 SP 1 Special Programs,"17,763,776","9,195,480","8,568,296",51.8,310,0
,Sub total,"17,763,776","9,195,480","8,568,296",51.8,310,0
"Agriculture, Livestock Development, Veterinary Services & Fisheries",,,,,,310,0
"0101004210 P1 Gen-
eral Administration
Planning and Support
Services","0101014210 SP1 Administration, Planning
and Support Services","398,359,122","394,394,044","3,965,078",99.0,310,0
,Sub total,"398,359,122","394,394,044","3,965,078",99.0,310,0
"0103004210 P2 Live-
stock Resource Man-
agement and Devel-
opment","0103014210 SP1 Livestock Policy Develop-
ment and Capacity Building","10,505,622","7,380,550","3,125,072",70.3,310,0
,"0103024210 SP2 Livestock Production and
Management","43,773,504","4,738,885","39,034,619",10.8,310,0
,"0103034210 SP3 Livestock Diseases Man-
agement and Control","64,549,902","9,879,925","54,669,977",15.3,310,0
,"0103044210 SP4 Livestock Marketing and
Rangeland Management","135,439,535","24,283,413","111,156,122",17.9,310,0
,Sub total,"254,268,563","46,282,773","207,985,790",18.2,310,0
"0104004210 P4 Fish-
eries Development
and Management","0104014210 SP1 Management and Devel-
opment of Fisheries","8,468,596","3,113,598","5,354,998",36.8,310,0
,Sub total,"8,468,596","3,113,598","5,354,998",36.8,310,0
"0105004210 P3 Crop
Development and
Management","0105014210 SP1 Lands and Crops Devel-
opment","114,718,401","14,304,929","100,413,472",12.5,310,0
,0105024210 SP2 Food Security Initiatives,"15,216,436","8,133,687","7,082,749",53.5,310,0
,Sub total,"129,934,837","22,438,616","107,496,221",17.3,310,0
"Water, Environment, Natural Resources & Energy",,,,,,310,0
"1001004210 P1 Gen-
eral Administration
Planning and Support
Services","1001014210 SP1 General Administration
Planning and Support Services","17,744,171","8,192,852","9,551,319",46.2,310,0
,Sub total,"17,744,171","8,192,852","9,551,319",46.2,310,0
"1002004210 P2 Envi-
ronmental Manage-
ment and Protection","1002014210 SP1 County Environment
Management","17,818,420","1,973,740","15,844,680",11.1,310,0
,"1002024210 SP2 Forests Conservation and
Management","4,455,494","507,094","3,948,400",11.4,310,0
,Sub total,"22,273,914","2,480,834","19,793,080",11.1,310,0
"1003004210 P3 Natu-
ral Resources Services","1003024210 SP1 Soil Conservation Man-
agement","3,596,174","1,666,880","1,929,294",46.4,310,0
,1003034210 SP2 Mining Services,"1,756,600","727,300","1,029,300",41.4,310,0
,"1003044210 SP3 Water Catchment and Pro-
tection Services","191,760,421","2,169,400","189,591,021",1.1,310,0
,Sub total,"197,113,195","4,563,580","192,549,615",2.3,310,0
"1004004210 P4 Water
and sanitation infra-
structure",1004014210 SP1 Storm Water Management,"5,145,059","2,233,796","2,911,263",43.4,310,0
,"1004024210 SP2 Water and Sanitation Ser-
vices","419,635,121","63,647,236","355,987,885",15.2,310,0
,Sub total,"424,780,180","65,881,032","358,899,148",15.5,310,0
Education and Vocational Training,,,,,,310,0
"0501004210 P1 Gen-
eral Administration
Planning and Support
Services","0501014210 SP1 General Administration
Planning and Support Services","205,899,735","105,892,242","100,007,493",51.4,310,0
,Sub total,"205,899,735","105,892,242","100,007,493",51.4,310,0
"0502004210 P3 Youth
Training and Devel-
opment","0504014210 SP1 Revitalization of Youth
Polytechnics","31,521,336","5,228,349","26,292,987",16.6,310,0
,Sub total,"31,521,336","5,228,349","26,292,987",16.6,310,0
"0502004210 P2 Early
childhood develop-
ment and Education","0502014210 SP1 Early Childhood Develop-
ment and Education","332,585,588","295,556,155","37,029,433",88.9,310,0
,Sub total,"332,585,588","295,556,155","37,029,433",88.9,310,0
