Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
"Agriculture, Livestock &, Coop",,,,,,87,1
Agriculture,"General Administration and
Support Service","575,522,644","188,235,855","387,286,789",32.7%,87,1
,"Extension Support Service and
Exhibition","1,200,000","400,000","800,000",33.3%,87,1
,"Agricultural Farm inputs & ma-
chinery",-,,-,,87,1
Livestock,"Livestock Administration and
Support Service","55,745,730","41,604,000","14,141,730",74.6%,87,1
,Livestock Production,"5,550,000","3,600,000","1,950,000",64.9%,87,1
,Veterinary Service,"18,350,000",-,"18,350,000",0.0%,87,1
Fisheries Production,Fisheries Service,"200,000","200,000",-,100.0%,87,1
Cooperative,Cooperative Development,"600,000","250,000","350,000",41.7%,87,1
,Total,"657,168,374","234,289,855","422,878,519",35.7%,87,1
"Environment, Energy, Natural Resource and Wildlife Management",,,,,,87,1
"Administration & sup-
port service",Administration & support service,"59,243,025","52,138,000","7,105,025",88.0%,87,1
"Environment manage-
ment & Natural","Environment management &
Natural","1,100,000",,"1,100,000",0.0%,87,1
"Natural Resource man-
agement",Natural Resource management,"1,600,000","900,000","700,000",56.3%,87,1
Energy Development,Energy Development,"1,205,000",-,"1,205,000",0.0%,87,1
,Total,"63,148,025","53,038,000","10,110,025",84.0%,87,1
Roads and Transport,,,,-,,87,1
Roads and Transport,Administration & support service,"37,906,400","30,671,000","7,235,400",80.9%,87,1
,Road & Transport,"511,281,885","200,146,188","311,135,697",39.1%,87,1
,Total,"549,188,285","230,817,188","318,371,097",42.0%,87,1
"Trade, Tourism and Enterprise",,,,,,87,1
"Administration & sup-
port service",Administration & support service,"85,447,996","50,591,000","34,856,996",59.2%,87,1
"Trade and Investment
Development","Trade and Investment Develop-
ment","102,400,000","800,000","101,600,000",0.8%,87,1
Tourism Development,Tourism Development,"802,259",,"802,259",0.0%,88,0
,Total,"190,000,255","51,391,000","138,609,255",27.0%,88,0
Health and Sanitation-,,,,,,88,0
"General Administration
and support service","General Administration and sup-
port service","2,259,697,321","1,555,438,365","704,258,956",68.8%,88,0
Curative Service,"Medical Products, Appliance and
Equipment","122,500,000","136,635,000","(14,135,000)",111.5%,88,0
,Development of Health Facilities,"332,021,277","144,000,000","188,021,277",43.4%,88,0
,Referral Service,"67,435,485",,"67,435,485",0.0%,88,0
Preventive Services,Health Promotion Campaign,"1,075,645",,"1,075,645",0.0%,88,0
,Public Health Service,"1,618,450",,"1,618,450",0.0%,88,0
,Nutrition,"1,522,509",,"1,522,509",0.0%,88,0
,Total,"2,785,870,687","1,836,073,365","949,797,322",65.9%,88,0
Education and Labour,,,,,,88,0
Education,"General Administration and Sup-
port Service","493,889,663","284,083,000","209,806,663",57.5%,88,0
,ECD,"59,453,793","22,249,947","37,203,846",37.4%,88,0
,Vocational Training,"25,501,094","1,300,000","24,201,094",5.1%,88,0
Labour,Human resources,"189,991,478","128,870,000","61,121,478",67.8%,88,0
,ICT & Libraries,"23,282,733","21,732,000","1,550,733",93.3%,88,0
,Total,"792,118,761","458,234,947","333,883,814",57.8%,88,0
County Assembly,,,,,,88,0
"General Administration
and support service","General Administration and sup-
port service","906,402,040","414,923,822","491,478,218",45.8%,88,0
,Total,"906,402,040","414,923,822","491,478,218",45.8%,88,0
Office of the Governor-,,,,,,88,0
Governor Operations,Governor Operations,"179,400,000","75,800,000","103,600,000",42.3%,88,0
"Deputy Governor Oper-
ations",Deputy Governor Operations,"36,120,000","30,699,000","5,421,000",85.0%,88,0
County Secretary,County Secretary,"48,656,215","28,385,000","20,271,215",58.3%,88,0
"Operations and Sub
County Administration","Operations and Sub County Ad-
ministration","90,810,000","45,390,000","45,420,000",50.0%,88,0
"Intergovernmental & In-
stitutional relation","Intergovernmental & Institution-
al relation","18,812,430","13,570,000","5,242,430",72.1%,88,0
County Attorney,County Attorney,"20,000,000","11,750,000","8,250,000",58.8%,88,0
,Total,"393,798,645","205,594,000","188,204,645",52.2%,88,0
"Finance, Revenue, Economic Planning and County Affairs",,,,,,88,0
"Administration & Sup-
port Service","Administration & Support Ser-
vice","1,406,580,628","1,126,647,629","279,932,999",80.1%,88,0
,Special Programm,"197,978,706","17,930,000","180,048,706",9.1%,88,0
"Public Finance Manage-
ment",Accounting Service,"3,713,739","900,000","2,813,739",24.2%,88,0
,Budget Formulation,"6,780,000","1,550,000","5,230,000",22.9%,88,0
,Audit Services,"3,862,600","400,000","3,462,600",10.4%,88,0
