Department,Programme/ Sub Programme,"Approved Estimates FY
2020/21 Revised Budget
(Kshs)","Actual Nine Months
Expenditure FY
2020/21 (Kshs)",Variance - Kshs,"Absoption
Rate (%)",page_number,table_index
,SP2. 1: Land Survey & Mapping,"62,692,977","11,759,178","50,933,799",18.8,205,0
,P3; Urban planning,,,-,,205,0
,SP3. 1Urban planning,"179,487,454","33,476,446","146,011,008",18.7,205,0
,"Programme 2: Mining mapping &
development",,,-,,205,0
,"SP4. 1Mining mapping & develop-
ment","1,522,500","170,000","1,352,500",11.2,205,0
,"Programme 4: Environment man-
agement and protection",,,,,205,0
,"SP4. 1Environment management and
protection","102,781,916","44,530,013","58,251,902",43.3,205,0
,Total Budget,"387,934,401","104,259,658","283,674,744",26.9,205,0
"Water, Environment & Cli-
mate Change","Programme 1: General administra-
tion & planning",,,,,205,0
,"SP1. 1 General administration & plan-
ning","135,010,304","74,762,706","60,247,598",55.4,205,0
,"Programme 2: Water infrastructure
Development",,,,,205,0
,SP 2.1 Water harvesting and storage,"404,531,015","129,415,193","275,115,822",32.0,205,0
,"SP 2.2.Piped water supply infrastruc-
ture","439,316,897","129,957,865","309,359,032",29.6,205,0
,SP2.3 Ground water development,"135,534,970","96,536,087","38,998,883",71.2,205,0
,Total Budget,"1,114,393,185","431,329,046","683,064,139",38.7,205,0
Sand Authority,"Programme 1: General administra-
tion & planning",,,,,205,0
,"SP1. 1 General administration & plan-
ning","131,262,726","31,894,599","99,368,127",24.3,205,0
,Total Budget,"131,262,726","31,894,599","99,368,127",24.3,205,0
Education and ICT,"Programme 1: General administra-
tion & planning",,,,,205,0
,"SP1. 1 General administration & plan-
ning","372,593,466","176,528,453","196,065,012",47.4,205,0
,"Programme 2: Early childhood ed-
ucation",,,,,205,0
,SP1. 1 Early childhood education,"119,408,409","35,383,034","84,025,375",29.6,205,0
,"Programme 3: Technical training &
non-formal education",,,-,,205,0
,"SP1. 1 Technical training & non-for-
mal education","30,157,272","5,308,582","24,848,690",17.6,205,0
,Programme 4: Support to education,,,,,205,0
,SP1. 1 Support to education,"70,374,644","2,498,824","67,875,820",3.6,205,0
,"Programme 5; ICT Infrastructure &
Systems Development",,,,,205,0
,"SP3. 1ICT Infrastructure & Systems
Development","55,897,517","15,741,486","40,156,031",28.2,205,0
,Programme 7: Sports Development,,,,,205,0
,SP7. 1Sports Development,"78,122,930","10,889,059","67,233,871",13.9,205,0
,Total Budget,"726,554,237","246,349,438","480,204,799",33.9,205,0
Health Services,"Programme 1: General administra-
tion & planning",,,,,205,0
,"SP1. 1 General administration & plan-
ning","3,386,647,973","1,782,158,309","1,604,489,664",52.6,205,0
,SP2. 1: Curative health care services,"255,393,727","378,950","255,014,777",0.1,206,0
,"Programme 3; Preventive and pro-
motive health care services",,,,,206,0
,"SP3. 1Preventive and promotive
health care services","138,388,507","4,834,179","133,554,328",3.5,206,0
,Total Expenditure of Vote,"3,780,430,207","1,787,371,438","1,993,058,769",47.3,206,0
Gender and Social Services,"Programme 1: General administra-
tion & planning",,,,,206,0
,"SP1. 1 General administration & plan-
ning","102,154,282","44,418,051","57,736,231",43.5,206,0
,"Programme 2: Gender & Social De-
velopment",,,,,206,0
,SP2. 1Gender & Social Development,"63,640,575","19,006,004","44,634,570",29.9,206,0
,Total Budget,"165,794,857","63,424,055","102,370,802",38.3,206,0
County Attorney's Office,"Programme 1: Legal & advisory ser-
vices",,,,,206,0
,SP1. 1 Legal & advisory services,"46,631,942","18,422,743","28,209,199",39.5,206,0
,Total Budget,"46,631,942","18,422,743","28,209,199",39.5,206,0
County Secretary Office,"Programme 1: Leadership and coor-
dination of departments.",,,,,206,0
,"SP1. 1 Leadership and coordination of
departments.","454,100,746","335,081,141","119,019,606",73.8,206,0
,Total Budget,"454,100,746","335,081,141","119,019,606",73.8,206,0
Governship,"Programme 1: General administra-
tion & planning",,,,,206,0
,"SP1. 1 General administration & plan-
ning","206,970,183","105,034,318","101,935,865",50.7,206,0
,Total Budget,"206,970,183","105,034,318","101,935,865",50.7,206,0
"Devolution, Administra-
tion, Participatory Devel-
opment, Youth & Public
Service","Programme 1: General administra-
tion & planning",,,,,206,0
,"SP1. 1 General administration & plan-
ning","234,751,808","114,745,650","120,006,158",48.9,206,0
,"Programme 2: Public Participation
& Civic Education",,,,,206,0
,"SP2. 1: Public Participation & Civic
Education","39,590,000","14,853,249","24,736,751",37.5,206,0
,"Programme 3; Information and
communication",,,,,206,0
,"SP3. 1Information and communica-
tion","12,570,000","942,640","11,627,360",7.5,206,0
,"Programme 4: Enforcement and
compliance",,,,,206,0
,SP4. 1 Enforcement and compliance,"41,950,000","9,617,103","32,332,897",22.9,206,0
,"Programme 6; Youth Development
support& Empowerment",,,,,206,0
,SP6. 1 Youth Development,"44,166,555","21,084,182","23,082,373",47.7,206,0
,Total Budget,"373,028,362","161,242,823","211,785,539",43.2,206,0
"County Public Service
Board","Programme 1: General Administra-
tion and Planning",,,,,206,0
,"SP1.1: General Administration and
Planning","69,424,545","21,980,123","47,444,422",31.7,206,0
,Total Budget,"69,424,545","21,980,123","47,444,422",31.7,206,0
"Finance and Socio-Econom-
ic Planning","Programme 1: General administra-
tion & planning",,,,,206,0
,"SP1. 1 General administration & plan-
ning","954,130,967","404,662,564","549,468,403",42.4,206,0
,"Programme 2: Public financial man-
agement",,,,,206,0
,SP2.1 Accounting services,"11,075,000","3,783,326","7,291,674",34.2,206,0
,"SP2.2; Budget formulation, coordina-
tion and management","29,139,550","15,432,810","13,706,739",53.0,206,0
,SP2.3; Internal audit services,"13,739,203","3,757,968","9,981,235",27.4,206,0
,SP2.4; Resource mobilization,"58,905,000","32,657,632","26,247,368",55.4,206,0
,"SP2.5; Supply chain management ser-
vices","6,065,465","2,225,473","3,839,992",36.7,206,0
