Sub Program,Name of the Programme,"Approved Esti-
mates (Kshs.)","Expenditure
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,353,1
"Adjudication, registry and settlement",,"30,655,100","4,194,723","26,460,377",13.7,353,1
102014110,"Delineation & adjudication of community
land","30,655,100","4,194,723","26,460,377",13.7,353,1
,Spatial Planning,"44,804,913","2,784,682","42,020,231",6.2,353,1
103044110,Spatial Planning,"44,804,913","2,784,682","42,020,231",6.2,353,1
Formulation of community land policy and regulations,,"62,415,161","118,760","62,296,401",0.2,353,1
104024110,Municipality Upgrade,"14,500,000",-,"14,500,000",0.0,353,1
104064110,Transport Parks,"22,405,000",-,"22,405,000",0.0,353,1
104074110,Urban Centre Mgt,"25,510,161","118,760","25,391,401",0.5,353,1
,"Compulsory land acquisition for public
utilities","4,185,867","680,654","3,505,213",16.3,353,1
105014110,Land acquisition for public utilities,"4,185,867","680,654","3,505,213",16.3,353,1
,"Establishment and rehabilitation of public
utilities in Lodwar","98,283,302","2,232,370","96,050,932",2.3,353,1
109014110,Improvement of Moi Garden Stadia,"52,783,302","2,232,370","50,550,932",4.2,353,1
109024110,completion of recreational park,"37,500,000",-,"37,500,000",0.0,353,1
109034110,setting up of dumping site in Lodwar,"8,000,000",-,"8,000,000",0.0,353,1
Revival of Turkana Fishermen Co-op. society,,"440,697,982","5,241,762","435,456,220",1.2,353,1
110044110,Spate Irrigation Technology,"158,875,747","5,241,762","153,633,985",3.3,353,1
110054110,Rehabilitation,"112,357,235",-,"112,357,235",0.0,353,1
110064110,Soil & Water Conservation,"77,000,000",-,"77,000,000",0.0,353,1
110074110,Spate Irrigation Technology,"61,350,000",-,"61,350,000",0.0,353,1
,,A,B,C=A-B,D=B/A*100,354,0
110084110,Rehabilitation,"8,170,000",-,"8,170,000",0.0,354,0
110094110,Soil & Water Conservation,"22,945,000",-,"22,945,000",0.0,354,0
Fish market infrastructure/ fish value addition,,"36,434,905","2,020,889","34,414,016",5.5,354,0
111014110,"Fish market infrastructure/ fish value addi-
tion","2,778,795","367,109","2,411,686",13.2,354,0
111024110,Fisheries livelihood support,"2,704,680","811,132","1,893,548",30.0,354,0
111034110,Fisheries Extension Services,"3,121,280","15,758","3,105,522",0.5,354,0
111044110,Fisheries resource management,"7,278,949","238,119","7,040,830",3.3,354,0
111054110,Fisheries resource management,"13,343,252","588,770","12,754,482",4.4,354,0
111064110,Fisheries resource management,"4,258,735",-,"4,258,735",0.0,354,0
111084110,Fish Farming & Aquaculture,"2,949,214",-,"2,949,214",0.0,354,0
Sustainable management of fisheries resources,,"75,858,148","7,393,946","68,464,202",9.7,354,0
115014110,Frame survey,"65,924,148","4,245,517","61,678,631",6.4,354,0
115024110,Fish Stock assessment,"2,880,000","1,116,110","1,763,890",38.8,354,0
115034110,"Monitoring, Control and Surveillance","4,992,000","903,378","4,088,622",18.1,354,0
115044110,Resource monitoring facilities,"2,062,000","1,128,941","933,059",54.7,354,0
Livestock breed improvement,,"98,663,187","4,726,072","93,937,115",4.8,354,0
117014110,"Establish livestock Multiplication and
breeding Centre.","3,240,000","300,676","2,939,324",9.3,354,0
117034110,Provision of Livestock Extension services,"6,624,000","1,019,074","5,604,926",15.4,354,0
117054110,"Livestock multiplication and breeding Cen-
tre","5,940,000","1,166,286","4,773,714",19.6,354,0
