Programme Description,Approved Estimates (Kshs.),"Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
,A,B,C=A-B,D=B/A*100,282,0
Default - Non Programmatic,-,"1,153,500","(627,000)",0%,282,0
Default - Non Programmatic,-,"1,153,500","(627,000)",0%,282,0
Crop Development and management,"416,346,682","145,533,229","270,813,453",35%,282,0
Crop Productivity Improvement,"416,346,682","145,533,229","270,813,453",35%,282,0
"Livestock Resources management and develop-
ment","204,917,623","43,237,946","161,679,677",21%,282,0
Livestock Pests & Disease Management & Control,"72,802,607",-,"72,802,607",0%,282,0
Livestock Information Management,"132,115,016","43,237,946","88,877,070",33%,282,0
Fisheries development and management,"30,505,695","8,000,000","22,505,695",26%,282,0
Fish Products Production,"30,505,695","8,000,000","22,505,695",26%,282,0
Land Policy and Planning,"41,413,459","14,613,949","26,799,510",35%,282,0
Development Planning and Land Reforms,"41,413,459","14,613,949","26,799,510",35%,282,0
Housing Development and Human Settlement,"100,366,687","2,481,500","97,885,187",2%,282,0
Housing Development,"100,366,687","2,481,500","97,885,187",2%,282,0
Urban Mobility and Transport,"157,969,854","96,385,177","61,584,676",61%,282,0
"Metropolitan Planning & Infrastructure Develop-
ment","157,969,854","96,385,177","61,584,676",61%,282,0
Roads Transport and Public Works,"1,092,636,745","414,599,638","678,037,108",38%,282,0
"General Administration, Planning and Support Ser-
vices","61,549,884","10,319,832","51,230,051",17%,282,0
Construction of Roads and Bridges,"943,589,270","400,354,013","543,235,257",42%,282,0
Maintenance of Roads,"87,497,592","3,925,792","83,571,800",4%,282,0
ICT Services,"52,744,534","3,046,103","49,698,431",6%,282,0
ICT Infrastructure Development,"52,744,534","3,046,103","49,698,431",6%,282,0
General Administration and Support Services,"150,220,000","21,653,903","128,566,097",14%,282,0
Administrative Services,"3,908,004",-,"3,908,004",0%,282,0
Cooperative Development & Management,"23,845,870","500,000","23,345,870",2%,282,0
Trade Development and Promotion,"122,466,126","21,153,903","101,312,223",17%,282,0
Tourism Development and Promotion,"490,420,000","130,229,720","360,190,280",27%,282,0
Tourism Promotion and Marketing,"490,420,000","130,229,720","360,190,280",27%,282,0
Preventive &Promotive Health Services,"864,720,000","517,304,954","347,415,046",60%,282,0
Health Promotion,"864,720,000","517,304,954","347,415,046",60%,282,0
Curative Health Services,"325,874,301","62,977,098","262,897,204",19%,282,0
Referral Services,"325,874,301","62,977,098","262,897,204",19%,282,0
"General Administration, Planning & Support Ser-
vices","2,201,127,501","1,155,277,398","1,045,850,103",52%,282,0
"Health Policy, Planning and Financing","2,201,127,501","1,155,277,398","1,045,850,103",52%,282,0
"Manpower Development, Employment and Pro-
ductivity Management","1,275,802,307","859,761,857","416,040,451",67%,282,0
Early Child Development and Education,"1,015,802,307","731,761,857","284,040,451",72%,282,0
Infrastructure Development and Expansion,"260,000,000","128,000,000","132,000,000",49%,282,0
"General Administration, Planning and Support
Services","1,455,268,548","566,464,538","888,804,009",39%,282,0
Administrative Services,"550,596,129","256,183,122","294,413,007",47%,282,0
Information Communication Services,-,-,-,0%,282,0
Coordination and Administrative Services,"317,438,631","73,979,327","243,459,304",23%,282,0
Public service and Field Administrative Services,"430,601,788","182,567,013","248,034,775",42%,282,0
Board Management Services,"156,632,000","53,735,077","102,896,924",34%,282,0
Legal and Public Affairs,-,-,-,0%,282,0
Public Finance Management,"369,377,906","109,228,211","260,149,696",30%,282,0
Accounting services,"36,697,725","3,186,600","33,511,125",9%,282,0
