Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Agriculture, Livestock and Fisheries Development",,,,,,231,1
"Policy, Planning, General Admin-
istration and Support Services
(Agriculture Development",General administration,"154,658,939.09","97,046,357.90","57,612,581.19",62.7,231,1
,"Field Extension Services and
support programme","6,170,000.00","451,159.00","5,718,841.00",7.3,231,1
,sub-total,"160,828,939.09","97,497,516.90","63,331,422.19",60.6,231,1
Donor Funds,Donor Funds,"12,000,000.00",-,"12,000,000.00",-,231,1
,sub-total,"12,000,000.00",,"12,000,000.00",-,231,1
Pending bills,Pending bills,"4,103,000.00",-,"4,103,000.00",-,231,1
,sub-total,"4,103,000.00",-,"4,103,000.00",-,231,1
"Policy, Planning, General Admin-
istration and Support Services
(Livestock Development)",General administration,"4,806,000.00",-,"4,806,000.00",-,231,1
,sub-total,"4,806,000.00",-,"4,806,000.00",-,231,1
"Livestock production and man-
agement","Enterprise Development And
Value Addition","3,687,639.69","460,920.00","3,226,719.69",12.5,231,1
,sub-total,"3,687,639.69","460,920.00","3,226,719.69",12.5,231,1
Pending Bills,Pending Bills,"1,303,760.00",-,"1,303,760.00",-,231,1
,sub-total,"1,303,760.00",-,"1,303,760.00",-,231,1
"Policy, Planning, General Admin-
istration and Support Services
(Fisheries Development)",General administration,"5,502,139.69","130,000.00","5,372,139.69",2.3,231,1
,"Field Extension Services and
support programme","3,610,500.00","575,400.00","3,035,100.00",15.9,231,1
,sub-total,"9,112,639.69","705,400.00","8,407,239.69",7.7,231,1
Pending Bills,Pending Bills,"1,296,000.00",-,"1,296,000.00",-,231,1
,sub-total,"1,296,000.00",-,"1,296,000.00",-,231,1
"Policy, Planning, General Ad-
ministration and Support Ser-
vices(Veterinary Services Depart-
ment)",General administration,"6,484,000.00",-,"6,484,000.00",-,231,1
,"Field Extension Services and
support programme",,-,0,-,231,1
,sub-total,"7,184,000.00",-,"7,184,000.00",-,231,1
Veterinary services,"Livestock disease control &
management","1,750,000.00","680,400.00","1,069,600.00",38.8,232,0
,"Veterinary public health man-
agement","986,000.00",-,"986,000.00",-,232,0
,Livestock breeding services,"1,030,000.00","219,000.00","811,000.00",21.3,232,0
,sub-total,"3,766,000.00","899,400.00","2,866,600.00",23.9,232,0
Pending Bills,Pending Bills,"887,850.00",-,"887,850.00",-,232,0
,sub-total,"887,850.00",-,"887,850.00",-,232,0
Pending Bills,Pending bills,"2,697,269.60","2,427,269.00","270,000.60",90,232,0
,sub-total,"2,697,269.60","2,427,269.00","270,000.60",90,232,0
Donor Funds,EU IDEAS,"66,371,589.60",-,"66,371,589.60",-,232,0
,NARIGP,"198,500,002.00","57,387,908.46","141,112,093.54",28.9,232,0
,ASDSP,"16,203,648.00",-,"16,203,648.00",-,232,0
,sub-total,"281,075,239.60","57,387,908.46","223,687,331.14",20.4,232,0
"Livestock production and man-
agement","Enterprise Development and
Value Addition","350,000.00",-,"350,000.00",-,232,0
,"Dairy cows distribution (Com-
munity Projects) Wiga Ward","3,424,818.00",-,"3,424,818.00",-,232,0
,Breeds Improvement,"1,424,600.00",-,"1,424,600.00",-,232,0
,sub-total,"9,750,218.00",-,"9,750,218.00",-,232,0
Pending Bills,Pending bills,"8,225,400.00","7,650,000.00","575,400.00",93,232,0
,sub-total,"8,225,400.00","7,650,000.00","575,400.00",93,232,0
Fisheries Development,"Aquaculture Development and
Extension Services","3,351,750.00",-,"3,351,750.00",-,232,0
,"Fish Safely Assurance, Value
Addition and Marketing","500,000.00",-,"500,000.00",-,232,0
,sub-total,"3,851,750.00",-,"3,851,750.00",-,232,0
Pending Bills,Pending Bills,"4,972,000.00","1,287,000.00","3,685,000.00",25.8,232,0
,sub-total,"4,972,000.00","1,287,000.00","3,685,000.00",25.8,232,0
Veterinary services,"Veterinary public health man-
agement","9,600,000.00",-,"9,600,000.00",-,232,0
,sub-total,"9,600,000.00",-,"9,600,000.00",-,232,0
Pending Bills,Pending Bills,"2,600,000.00",-,"2,600,000.00",-,232,0
,sub-total,"2,600,000.00",,"2,600,000.00",-,232,0
,Sub Total Kshs,"531,172,305.67","168,315,414.36","362,856,891.30",31.7,232,0
County Executive,,,,,,232,0
"Governance and Executive Man-
agement","Coordination of Devolved Min-
istries and Departments","12,715,405.00","11,134,995.20","1,580,409.80",87.6,232,0
,sub-total,"12,715,405.00","11,134,995.20","1,580,409.80",87.6,232,0
Strategy and service delivery,Legal Services,"69,600,000.00","48,835,731.00","20,764,269.00",70.2,232,0
,Efficiency monitoring services,"2,856,000.00","2,108,657.00","747,343.00",73.8,232,0
,sub-total,"72,456,000.00","50,944,388.00","21,511,612.00",70.3,232,0
