Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorp-
tion (%)",page_number,table_index
"Agriculture, Crop Production and Irrigation",,,,,,130,1
"0101004060 Crop, Livestock and Fish-
eries Development and Management","General Administration and Sup-
port Services","486,931,917","291,585,188","195,346,729",59.9,130,1
,"Livestock Resource Management
and Development","79,400,000","24,082,570","55,317,430",30.3,130,1
,Fisheries Development,"17,000,000",-,"17,000,000",-,130,1
,"Crop Production and Manage-
ment","445,744,352","355,863,274","89,881,078",79.8,130,1
,,"1,029,076,269","671,531,032","357,545,237",65.3,130,1
,Sub Total,"1,029,076,269","671,531,032","357,545,237",65.3,130,1
"Lands, Physical Planning and Housing",,,,,,130,1
"0102004060 Land Management and
Physical Planning; & Housing Develop-
ment","Planning & Housing Administra-
tion","195,136,167","86,171,191","108,964,976",44.2,130,1
,Housing Development,"58,000,000","19,095,286","38,904,714",32.9,130,1
,"Land Management and Physical
Planning","65,000,000",0,"65,000,000",0.0,130,1
,,"318,136,167","105,266,477","212,869,690",33.1,130,1
,"Municipal Administration and
Urban Development","1,919,145,915","552,149,740","1,366,996,175",28.8,130,1
,Sub Total,"2,237,282,082","657,416,217","1,579,865,865",29.4,131,0
"Roads, Transport and Public Works",,,,,,131,0
"0201004060 Maintenance of Roads,
Bridges, Land Transport, Construction
& Maintenance","Construction of Road and Civil
Works","1,503,374,561","618,385,689","884,988,872",41.1,131,0
,,"1,503,374,561","618,385,689","884,988,872",41.1,131,0
"0202004060 Administration, planning
& support","General Administration and Sup-
port Services","413,275,910
413,275,910","294,918,824
294,918,824","118,357,086
118,357,086","71.4
71.4",131,0
,Sub Total,"1,916,650,471","913,304,513","1,003,345,958",47.7,131,0
"Trade, Tourism, Industry and Co-operative",,,,,,131,0
"0301004060 Industrial, Investments,
Tourism, Trade and Cooperative Devel-
opment","General Administration and Sup-
port Services","100,740,095","59,944,814","40,795,281",59.5,131,0
,"Trade, Industrial Development
and Investments","294,800,000","40,017,205","254,782,795",13.6,131,0
,"Tourism Development and Pro-
motion","3,000,000",-,"3,000,000",-,131,0
,"Cooperative Development and
Promotion","38,344,930","6,716,856","31,628,074",17.5,131,0
,Enterprise Development,"7,000,000",-,"7,000,000",0.0,131,0
,,"443,885,025","106,678,875","337,206,150",24.0,131,0
,Sub Total,"443,885,025","106,678,875","337,206,150",24.0,131,0
Health Services,,,,,,131,0
"0401004060 Curative and preventive
health care services",Health curative services,"1,641,450,485","690,842,846","950,607,639",42.1,131,0
,,"1,641,450,485","690,842,846","950,607,639",42.1,131,0
"0402004060 Administration, Planning
and Support Services","General Administration and Sup-
port Services","4,185,081,945","3,456,794,777","728,287,168",82.6,131,0
,,"4,185,081,945","3,456,794,777","728,287,168",82.6,131,0
0403004060 Preventive Health Services,Community Health Services,"81,055,329","25,678,545","55,376,784",31.7,131,0
,,"81,055,329","25,678,545","55,376,784",31.7,131,0
"0405004060 County Pharmaceutical
Services","Pharmaceutical and Non Phar-
maceutical supplies","75,000,000","28,549,212","46,450,788",38.1,131,0
,,"75,000,000","28,549,212","46,450,788",38.1,131,0
,Sub Total,"5,982,587,759","4,201,865,380","1,780,722,379",70.2,131,0
"Education, Youth, Sports, Culture and Social Services",,,,,,131,0
"0501004060 Pre-primary Education,
Promotion of Culture; ICT and social
Services","Pre primary education and youth
polytechnics services","368,869,558","132,670,359","236,199,199",36.0,131,0
,Vocational Training centres,"23,000,000","10,865,300","12,134,700",47.2,131,0
,,"391,869,558","143,535,659","248,333,899",36.6,131,0
"0502004060 General Administration
and Support Services","General Administration and sup-
port Services","679,911,538","518,553,679","161,357,859",76.3,131,0
,,"679,911,538","518,553,679","161,357,859",76.3,131,0
"0504004060 Culture Gender and Social
Service Development","Culture, Gender & Social Services","24,000,000","878,700","23,121,300",3.7,131,0
,,"24,000,000","878,700","23,121,300",3.7,131,0
,Sub Total,"1,095,781,096","662,968,038","432,813,058",60.5,131,0
County Assembly,,,,,,131,0
"General Administration and support
services","General Administration and sup-
port services","481,493,255","175,524,488","305,968,767",36.5,131,0
,,"481,493,255","175,524,488","305,968,767",36.5,131,0
Representation services,Representation services,"178,073,111","94,940,729","83,132,382",53.3,131,0
,,"178,073,111","94,940,729","83,132,382",53.3,131,0
"0701004060 Legislation and Oversight
of County Government","Legislation and Oversight ser-
vices","650,312,178","395,299,926","255,012,252",60.8,131,0
,,"650,312,178","395,299,926","255,012,252",60.8,131,0
,Sub Total,"1,309,878,544","665,765,143","644,113,401",50.8,131,0
County Executive,,,,,,131,0
"0702004060 Leadership and Co-ord
of County Administration and Depart-
ments","General Administration and sup-
port services","326,651,105","238,797,567","87,853,538",73.1,131,0
,Representation Services,"61,710,000","34,684,238","27,025,762",56.2,131,0
,,"388,361,105","273,481,805","114,879,300",70.4,131,0
,Sub Total,"388,361,105","273,481,805","114,879,300",70.4,131,0
County Public Service Board,,,,,,131,0
,"General Administration and sup-
port services",,,,,131,0
"0703004060 Leadership and Admin of
HR management and development in
County Public Service","Human Resource development
and management services","78,962,096","32,256,981","46,705,115",40.9,131,0
,,"78,962,096","32,256,981","46,705,115",40.9,131,0
,Sub Total,"78,962,096","32,256,981","46,705,115",40.9,131,0
Finance and Economic Planning,,,,,,131,0
"0704004060 Public Finance Manage-
ment and Economic Policy and Strategy","General Administration and Sup-
port Services","1,596,242,124","807,561,790","788,680,334",50.6,132,0
,financial management services,"190,796,121","165,876,897","24,919,224",86.9,132,0
,Economic planning services,"10,000,000","4,214,353","5,785,647",42.1,132,0
,,"1,797,038,245","977,653,040","819,385,205",54.4,132,0
902004060 ICT Services,ICT Services,"66,249,021",-,"66,249,021",0.0,132,0
,,"66,249,021",-,"66,249,021",0.0,132,0
,Sub Total,"1,863,287,266","977,653,040","885,634,226",52.5,132,0
"Administration, and Public Service and Communication",,,,,,132,0
"0705004060 Admin & co-ord of county
affairs, HR Dev, Management, Capacity
Building","General administration and sup-
port services","691,522,259","570,289,847","121,232,412",82.5,132,0
,"Human resource development
and management","5,000,000",-,"5,000,000",0.0,132,0
,,"696,522,259","570,289,847","126,232,412",81.9,132,0
"0703004060 Leadership and Admin of
HR mgmt. and dev in County Public
Service","Leadership and Admin of HR
mgmt. and dev in County Public
Service","15,521,529","11,397,864","4,123,665",73.4,132,0
,,"15,521,529","11,397,864","4,123,665",73.4,132,0
,Sub Total,"712,043,788","581,687,711","130,356,077",81.7,132,0
Youth and Sports,,,,,,132,0
"0901004060 Promotion and develop-
ment of sports; Youth services","General administration and sup-
port services","223,920,000","51,305,249","172,614,751",22.9,132,0
,,"223,920,000","51,305,249","172,614,751",22.9,132,0
902004060 ICT Services,ICT Services,"25,695,300","6,383,325","19,311,975",24.8,132,0
,,"25,695,300","6,383,325","19,311,975",24.8,132,0
,Sub Total,"249,615,300","57,688,574","191,926,726",23.1,132,0
"Water, Energy, Environment and Natural Resources",,,,,,132,0
"1001004060 Water Resources Man-
agement, Environment Protection and
Conservation",Environmental management,"50,944,735","9,000,000","41,944,735",17.7,132,0
,Water provision and management,"176,000,000","72,096,584","103,903,416",41.0,132,0
,"Natural resources conservation
and Management","15,000,000",-,"15,000,000",-,132,0
,"Renewable Energy and Climate
Change","7,000,000","738,000","6,262,000",10.5,132,0
,,"248,944,735","81,834,584","167,110,151",32.9,132,0
"1002004060 General Administration
Planning and Support Services","General Administration and Sup-
port Services","338,371,300","235,828,533","102,542,767",69.7,132,0
,,"338,371,300","235,828,533","102,542,767",69.7,132,0
,Sub Total,"587,316,035","317,663,117","269,652,918",54.1,132,0
Grand Total,,"17,894,726,836","10,119,960,426","7,774,766,410",56.6,132,0
