Programme,Sub-Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
Livestock Resource Management and Development,,"126,500,000","55,318,917","71,181,08",3 43.7,116,2
,Livestock resource management and development,"62,000,000","32,026,956","29,973,04",4 51.7,116,2
,Livestock Value Chains Development,"5,000,000","2,177,480","2,822,52",0 43.5,116,2
,Livestock disease and pest prevention,"30,000,000","21,114,481","8,885,51",9 70.4,116,2
,Livestock Market infrastructure Improvement,"29,500,000",-,"29,500,00",0,116,2
Fisheries Development,,"25,000,000","7,500,937","17,499,06",3 30.0,116,2
,Promotion of Fish Farming,"25,000,000","7,500,937","17,499,063",30.0,117,0
Crop Production and Management Services,,"1,429,112,132","658,039,312","771,072,820",46.0,117,0
,Crop production and management Services,"60,000,000","50,087,000","9,913,000",83.5,117,0
,Horticulture Promotion and Development,"938,500,000","360,689,972","577,810,028",38.4,117,0
,Farm Input Support and Subsidies,"5,000,000",-,"5,000,000",-,117,0
,Agricultural Extension and Research,"425,612,132","247,262,340","178,349,792",58.1,117,0
Agricultural Training Services,,"15,000,000",-,"15,000,000",-,117,0
,Agricultural training services,"15,000,000",-,"15,000,000",-,117,0
Cooperative Development and Marketing,,"25,000,000",-,"25,000,000",-,117,0
,Cooperative development and marketing,"25,000,000",0,"25,000,000",-,117,0
Land use policy and planning,,"55,000,000","2,900,000","52,100,000",5.3,117,0
,Land use policy and planning,"42,000,000",0,"42,000,000",-,117,0
,Land Administration and Planning,"10,000,000","400,000","9,600,000",4.0,117,0
,Survey Services,"3,000,000","2,500,000","500,000",83.3,117,0
Urban Development Service,,"740,678,378","28,358,460","712,319,918",3.8,117,0
,Urban Transport management,"715,678,378","11,558,460","704,119,918",1.6,117,0
,Urban Areas Landscape Improvement,"25,000,000","16,800,000","8,200,000",67.2,117,0
"Infrastructure, roads and transport services",,"1,226,443,034","870,419,175","356,023,859",71.0,117,0
,"Infrastructure, roads and transport Services","495,840,226","228,696,856","267,143,370",46.1,117,0
,Infrastructure Development,"60,000,000","22,803,861","37,196,139",38.0,117,0
,Road construction,"670,602,808","618,918,458","51,684,350",92.3,117,0
Energy Reticulation,,"100,000,000","84,782,699","15,217,301",84.8,117,0
,Rural Electrification,"100,000,000","84,782,699","15,217,301",84.8,117,0
Public works Management,,"15,000,000",-,"15,000,000",-,117,0
,Public works Management,"15,000,000",-,"15,000,000",-,117,0
"Administration, Planning and support services",,"5,000,000","5,254,734","-254,734",105.1,117,0
,Quality Assurance,"5,000,000","5,254,734","-254,734",105.1,117,0
Trade Development and Investment,,"180,000,000","52,195,188","127,804,812",29.0,117,0
,Modern Market Infrastructure,"135,000,000","52,195,188","82,804,812",38.7,117,0
,Trade Financing,"45,000,000",0,"45,000,000",-,117,0
Industrial development and investment,,"125,000,000","20,863,734","104,136,266",16.7,117,0
,Industrial Development and Promotion,"115,000,000","17,617,781","97,382,219",15.3,117,0
,SME and Cottage industry development,"10,000,000","3,245,953","6,754,047",32.5,117,0
Preventive and promotive services,,"80,000,000","30,151,200","49,848,800",37.7,117,0
,Diseases surveillance & Emergency Response,-,-,-,-,117,0
,Maternal and child healthcare promotion,"80,000,000","30,151,200","49,848,800",37.7,117,0
,TB Control,-,-,-,-,117,0
,Malaria control,-,-,-,-,117,0
Curative services,,"1,328,446,028","441,253,360","887,192,668",33.2,117,0
,Curative services,"828,522,535","267,502,261","561,020,274",32.3,117,0
,Community Health Strategy,"484,923,493","158,751,099","326,172,394",32.7,117,0
,Disease Surveillance and Response,"15,000,000","15,000,000",-,100.0,117,0
"Administrative, planning and support services",,-,-,-,-,117,0
,Health Data and Information Management,-,-,-,-,117,0
Vocational Education and Training Development,,"175,811,560","89,636,596","86,174,964",51.0,117,0
,Polytechnic Support and Development,"175,811,560","89,636,596","86,174,964",51.0,117,0
Early Childhood Development Education (ECDE),,"202,000,000","15,117,739","186,882,262",7.5,117,0
,ECD Infrastructure Development,"137,000,000",-,"137,000,000",-,117,0
,SP2 ECD education improvement and Support,"65,000,000","15,117,739","49,882,261",23.3,117,0
Education Support Programme,,"25,000,000",-,"25,000,000",-,117,0
,Education Financial Support,"25,000,000",-,"25,000,000",-,117,0
Polytechnic Improvement,,"120,000,000","7,032,279","112,967,721",5.9,117,0
,Polytechnic Tuition Subsidy,"120,000,000","7,032,279","112,967,721",5.9,117,0
Coordination and supervisory services,,"3,000,000","376,269","2,623,731",12.5,117,0
,Coordination and supervisory services,"3,000,000","376,269","2,623,731",12.5,117,0
Information and communication services,,"171,900,000","101,516,477","70,383,522.70",59.1,117,0
,Information and communication services,"171,900,000","101,516,477","70,383,523",59.1,117,0
Coordination and supervisory services,,"7,500,000","1,245,492","6,254,508",16.6,117,0
,Coordination and supervisory services,"5,000,000",0,"5,000,000",-,117,0
,County Internal Audit services,"2,500,000","1,245,492","1,254,508",49.8,117,0
County Public service and Administrative Services,,"220,000,000","55,415,244","164,584,756",25.2,117,0
,County Administration,"145,000,000","41,086,224","103,913,776",28.3,117,0
,Human Resource Management,"75,000,000","14,329,020","60,670,980",19.1,117,0
Investment promotion,,"20,000,000","1,000,000","19,000,000",5.0,117,0
