Programmes,Sub- Programmes,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Revenue Services Devel-
opment Services",,"275,012,902","31,035,296","243,977,606",11.3,41,0
,"General administration, planning & support
services","14,237,331","11,257,250","2,980,082",79.1,41,0
,Support service,-,-,-,0.0,41,0
,Infrastructural Development,"260,775,571","19,778,046","240,997,525",7.6,41,0
"Civic Education Develop-
ment Services",,,,,,41,0
,Civic Education Development Services,-,-,-,-,41,0
"Inter and intra -govern-
mental Relations services",,,,,,41,0
,"General administration,
planning & support services",-,-,-,-,41,0
,,"433,196,497","174,843,431","258,353,066",40.4,41,0
,General administrative services,"75,001,675","51,256,135","23,745,540",68.3,41,0
,County Secretary,"127,804,788","56,927,832","70,876,956",44.5,41,0
,Deputy Governor,"24,206,329","18,486,017","5,720,312",76.4,41,0
,Legal services,-,-,-,-,41,0
,"Public Administration and devolution Ser-
vices","60,254,250","13,284,951","46,969,299",22.0,41,0
,Communication Services,-,-,-,-,41,0
,"Mogotio Sub- County Administration Ser-
vices","16,176,354","7,237,024","8,939,330",44.7,41,0
,"Baringo Central Sub - County Administra-
tion Services","14,700,716","2,258,920","12,441,796",15.4,42,0
,"Baringo North Sub - County Administration
Services","17,009,891","4,524,878","12,485,013",26.6,42,0
,"Baringo South Sub - County Administration
Services","18,863,174","1,953,867","16,909,307",10.4,42,0
,Tiaty Sub- County Administration Services,"18,139,445","2,777,012","15,362,433",15.3,42,0
,County Public Service Board Services,"44,429,627","14,034,516","30,395,111",31.6,42,0
,"Eldama Ravine Sub - County Administration
Services","16,610,248","2,102,280","14,507,968",12.7,42,0
,,"388,510,866","246,807,815","141,703,051",63.5,42,0
,"Legislative Representation and Oversight
services","388,510,866","246,807,815","141,703,051",63.5,42,0
,,-,-,-,-,42,0
,General administrative services,-,-,-,-,42,0
,,"16,357,641","3,219,696","13,137,945",19.7,42,0
,ICT Development,-,-,-,-,42,0
,Infrastructure development,"16,357,641","3,219,696","13,137,945",19.7,42,0
,,"37,502,586","14,514,274","22,988,312",38.7,42,0
,"General administration, planning & support
services","37,502,586","14,514,274","22,988,312",38.7,42,0
,,"81,847,711","4,524,490","77,323,221",5.5,42,0
,"General administration, planning & support
services","81,847,711","4,524,490","77,323,221",5.5,42,0
,Support service,-,-,-,-,42,0
,Gender mainstreaming,-,-,-,-,42,0
Sports Development,Sports Development,,,,,42,0
,"General administration, planning & support
services",-,-,-,-,42,0
,Support service,-,-,-,-,42,0
,,-,-,-,-,42,0
,Conservation of Cultural Heritage,-,-,-,-,42,0
,,"117,925,715","75,169,150","42,756,565",63.7,42,0
,"General administration, planning & support
services","117,925,715","75,169,150","42,756,565",63.7,42,0
,,"694,062,407","67,997,345","626,065,062",9.8,42,0
,"General administration, planning & support
services",-,-,-,-,42,0
,Support service,-,-,-,-,42,0
,Water Harvesting Storage and Flood Control,"694,062,407","67,997,345","626,065,062",9.8,42,0
,,"27,581,046","5,978,436","21,602,610",21.7,42,0
,"General administration, planning & support
services","27,581,046","5,978,436","21,602,610",21.7,42,0
,,-,-,-,-,42,0
,"General administration, planning & support
services",-,-,-,-,42,0
,Support service,-,-,-,-,42,0
,,"38,761,709","21,094,687","17,667,022",54.4,42,0
,General Administrative services,"38,761,709","21,094,687","17,667,022",54.4,42,0
,,-,-,-,-,42,0
,Protection of rivers and streams,-,-,-,-,42,0
,,-,-,-,-,42,0
,"County Forest conservation and manage-
ment",-,-,-,-,42,0
,Grand Total,"7,880,851,694","3,503,041,329","4,377,810,364",44.5,42,0
