Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Implementation
Status (%)",page_number,table_index
County Executive,,,,,,389,1
,"SP 1 - (General Administration, planning and Support
Services)","502,019,030","324,858,886","177,160,144",64.7,389,1
,SP 2 - (County Executive affairs),"9,493,120","3,493,100","6,000,020",36.8,389,1
,SP 3 - (County Public service Board),"29,715,400","9,338,128","20,377,272",31.4,389,1
,SP 4 - (Field Administration service),-,-,-,-,389,1
,SP 5- (Liaison and Intergovernmental service),"10,733,816","4,527,800","6,206,016",40.0,389,1
,Sub total,"551,961,366","342,217,914","209,743,452",62.0,389,1
Finance and Economic Planning,,,,,,389,1
,"SP 1(General Administration, planning and Support Ser-
vices","198,966,087","121,700,066","77,266,021",61.2,389,1
,SP 2- (Treasury Accounting Services),"2,373,440","1,217,100","1,156,340",51.3,389,1
,SP 3- (Supply Chain Management services),"3,142,816","1,484,992","1,657,824",47.3,389,1
,SP 4- (Resource Mobilization),"11,606,632","7,352,076","4,254,556",63.3,389,1
,SP 5- (Internal Audit services),"4,133,600","2,235,450","1,898,150",54.1,389,1
,SP 6- (Budget Formulation services),"15,806,721","8,822,200","6,984,521",55.8,389,1
,SP 7- (Economic Planning),"83,953,932","13,298,082","70,655,850",15.8,389,1
,SP 8-(Project Management,-,-,-,-,389,1
,SP 9- (Monitoring and Evaluation),"6,587,000","5,407,300","1,179,700",82.1,389,1
,Sub total,"326,570,228","161,517,266","165,052,962",49.5,389,1
"Public Works, Transport and Infrastructure",,,,,,389,1
,"SP 1(General Administration, planning and Support Ser-
vices","72,659,4080","51,412,086","21,247,322",70.8,389,1
,SP 2(Road Transport),"7,837,840","1,583,380","6,254,460",20.2,389,1
,SP 3(KRB),"186,588,369","74,522,798","112,065,571",39.9,389,1
,SP 4(Public works),"15,188,500.00","9,766,503","5,421,997",64.3,389,1
,SP 5- (Ward Specific Projects),"155,139,992","13,565,808","141,574,184",8.7,389,1
,Sub total,"437,414,109","150,850,575","286,563,534",34.5,389,1
"Health, Sanitation and Emergencies",,,,,,389,1
,"SP 1(General Administration, planning and Support Ser-
vices","1,313,835,246","978,226,157","335,609,089",74.5,389,1
,SP 2- (Preventive Health Services),"300,791,260","52,499,179","19,995,108",72.4,389,1
,SP 3- (Kapenguria Referral Hospital),"72,494,287","147,828,070","152,963,190",49.1,389,1
,SP 4- (Kacheliba Sub county hospital),"14,615,000","6,575,253","8,039,747",45.0,389,1
,SP 5- (Sigor Sub county hospital),"15,620,000","8,091,620","7,528,380",51.8,389,1
,SP 6- (Chepareria Sub county hospital),"48,260,000","13,289,874","34,970,126",27.5,389,1
,SP 7(Facility Improvement Fund),"39,500,000","29,007,865","10,492,135",73.4,389,1
,SP 8(Ward Specific),"137,787,403","3,500,001","134,287,402",2.5,390,0
,Sub total,"1,942,903,196","1,239,018,019","703,885,177",63.8,390,0
Education and Technical training,,,,,,390,0
,"SP 1(General Administration, planning and Support Ser-
vices","303,268,553","215,839,660","87,428,893",71.2,390,0
,SP 2 - (ECD Services),"15,247,253","280,973","14,966,280",1.8,390,0
,SP 3- (Youth Vocational training),"36,805,196","413,400","36,391,796",1.1,390,0
,SP 4- (Bursary Fund),"299,000,000","252,000,000","47,000,000",84.3,390,0
,SP 5 - (Ward specific),"209,100,791",-,"209,100,791",0.0,390,0
,Sub total,"863,421,793","468,534,033","394,887,760",54.3,390,0
Agriculture and Irrigation,,,,,,390,0
,"SP 1- (General Administration, Planning and Support
Services)","104,857,776","67,663,215","37,194,561",64.5,390,0
,SP 2- (Crop Development and Management),"406,727,420","121,317,034","285,410,386",29.8,390,0
,SP 3- (Cash Crop Production (Special Programs),"4,546,000","4,142,140","403,860",91.1,390,0
,SP 4 - (Ward specific),"13,435,900",-,"13,435,900",0.0,390,0
,Sub total,"529,567,096","193,122,390","336,444,706",36.5,390,0
Pastoral Economy,,,,,,390,0
,"SP 1- (General Administration, Planning and Support
Services)","142,512,425","61,994,259","25,718,166",70.7,390,0
,SP 2 - (Livestock production and Range Management),"39,709,009","1,217,500","38,491,509",3.1,390,0
,SP 3- (Livestock Disease management),"5,718,400","1,916,400","3,802,000",33.5,390,0
,SP 4- (Fisheries Development),"434,400","192,000","242,400",44.2,390,0
,SP 5- (Nasukuta Livestock Improvement Centre),"2,128,000","52,230,500","4,697,500",91.7,390,0
,SP 6 - (Ward specific),"58,069,111","577,200","57,491,911",1.0,390,0
,SP 7 - Dairy Development (Special Programmes),-,-,-,-,390,0
,Sub total,"248,571,345","118,127,859","130,443,486",47.5,390,0
"Trade, Industrialization, Investment and Cooperative Development",,,,,,390,0
,"SP 1- (General Administration, Planning and Support
Services)","72,223,346","47,303,666","24,919,680",65.5,390,0
,SP 2- (Cooperative Development),"173,015,691","42,864,528","130,151,164",24.8,390,0
,"SP 3 - (Trade, License and Market Development)","3,877,073","1,656,475","2,220,598",42.7,390,0
,SP 4- (Ward specific),"16,928,554",-,"16,928,554",0.0,390,0
,Sub total,"266,044,664","91,824,669","174,219,995",34.5,390,0
"Land, Housing, Physical Planning and Urban Development",,,,,,390,0
,"SP 1- (General Administration, Planning and Support
Services)","78,077,589","56,003,047","22,074,542",71.7,390,0
,SP 2 - (Land Policy and Physical Planning),"58,448,854","17,468,783","40,980,071",29.9,390,0
,SP 3- (Housing Development),"912,000","714,686","197,314",78.4,390,0
,SP 4- (Urban Development),"151,749,537","267,500","2,081,300",11.4,390,0
,SP 5- (Kapenguria Municipality),"2,348,800","3,784,863","147,964,674",2.5,390,0
,SP 6- (Ward specific),"2,900,000",-,"2,900,000",0.0,390,0
,Sub total,"294,436,780","78,238,879","216,197,901",26.6,390,0
"Water Development, Environment and Natural Resources",,,,,,390,0
,"SP 1- (General Administration, Planning and Support
Services)","65,010,892","37,139,808","27,871,084",57.1,390,0
,SP 2 - (Water Supply Services),"136,526,968","63,429,378","73,097,590",46.5,390,0
,SP 3 - (Environment & Natural Resource Development),"12,581,280","1,291,800","11,289,480",10.3,390,0
,SP 4 - (Ward Specific),"160,571,261",-,"160,571,261",0.0,390,0
,Sub total,"374,690,401","101,860,986","272,829,415",27.2,390,0
"Youths, Sports, tourism, Gender and Social services",,,,,,390,0
,"SP 1- (General Administration, Planning and Support
Services)","36,388,416","25,020,569","11,367,847",68.8,390,0
,SP 2- (Tourism Development),"3,521,214","2,098,500","1,422,714",59.6,390,0
,"SP 3- (Gender, Youths and sports Development)","85,574,300","7,131,050","78,443,250",8.3,390,0
,SP 4- (Culture and Social Development),"2,089,719","1,252,900","836,819",60.0,390,0
,SP 5- (Ward Specific),"3,125,000",-,"3,125,000",0.0,390,0
,Sub total,"130,698,649","35,503,019","95,195,630",27.2,390,0
"Public Service, ICT and Decentralized Units",,,,,,390,0
,"SP 1- (General Administration, Planning and Support
Services)","291,136,416","107,214,142","183,922,274",36.8,390,0
,SP 2- (Human Resource),"1,404,000","804,974","599,026",57.3,390,0
,SP 3- (Legal Services),"1,836,000","1,468,376","367,624",80.0,390,0
,SP 4 - (Records Management),"384,000","312,782","71,218",81.5,390,0
,SP 5- (Communication Services),"720,000","567,485","152,515",78.8,390,0
