Programme,Sub-programme,"Approved Estimates
(Kshs.)","Actual expenditure
(Kshs.)",Absoprtion Rate (%),page_number,table_index
"General Administration, Planning and Support Services",,"5,130,879,058","2,064,160,926",40.2,111,0
Devolution Services,Coordination of devolution services,"21,266,000","7,821,720",36.8,111,0
,County Executive committee,"12,440,000","3,518,940",28.3,111,0
,Intergovernmental relations,"12,488,000","4,735,786",37.9,111,0
,County Government Advisory,"9,530,000","4,312,147",45.2,111,0
,Special programs,"11,113,600","5,883,696",52.9,111,0
Curative and Rehabilitative,Medical Services,"316,340,196","297,393,868",94.0,111,0
,Ambulance Services,"7,940,000","5,869,832",73.9,111,0
Public Health and Sanitation,Promotive and preventive,"198,577,149","88,773,593",44.7,111,0
,Mobile clinics,"3,650,000","2,589,129",70.9,111,0
,Licensing and control undertaking,"8,015,000","3,447,256",43.0,111,0
,Sanitation,"4,627,920","1,496,754",32.3,111,0
Water Services and Irrigation,Water services,"341,910,000","36,433,875",10.7,111,0
,Storm water management,"7,596,709","1,922,896",25.3,111,0
,Irrigation,"29,282,360","4,372,780",14.9,111,0
"Environment & Natural Resource
Protection",Environmental protection,"117,918,231","23,316,099",19.8,111,0
,Noise pollution,"2,600,000","1,254,400",48.2,111,0
,Control of air pollution,"870,000","498,240",57.3,111,0
,Natural resources,"8,450,000","1,663,373",19.7,111,0
Public Works and Infrastructure,Roads,"686,051,966","42,918,331",6.3,111,0
,Energy,"40,000,000","3,788,000",9.5,111,0
,Fire Fighting,"8,000,000","3,151,095",39.4,111,0
,Transport,"15,000,000","9,209,387",61.4,111,0
,Public works,"7,283,928","2,923,600",40.1,111,0
"County Administration and Inspec-
torate",County administration,"50,450,000","19,042,160",37.7,111,0
,County inspectorate,"15,665,446","6,953,750",44.4,111,0
"Human Resource Management &
Development",Human resource management,"121,030,000","31,755,340",26.2,111,0
Citizen Participation,Citizen participation,"39,900,000","9,306,050",23.3,111,0
"Information, Communication and Technology",,"25,355,334","14,848,006",58.6,111,0
Public Finance Management,Fiscal & economic planning,"12,250,000","6,307,799",51.5,111,0
,Monitoring & evaluation,"20,638,000","8,072,229",39.1,111,0
,Budget cordination and management,"15,753,000","8,547,997",54.3,111,0
,Accounting and expenditure,"13,877,000","8,053,899",58.0,111,0
,Supply Chain Management,"52,061,000","38,957,228",74.8,111,0
,Internal audit,"8,747,000","4,631,100",52.9,111,0
,Revenue collection,"64,647,225","18,224,790",28.2,111,0
Land Policy and Planning,Physical planning,"21,623,900","5,389,929",24.9,111,0
,Land surveying and mapping,"6,890,000","5,998,148",87.1,111,0
,Land administration,"46,533,900","1,899,090.00",4.1,111,0
"Urban Development & Manage-
ment",Urban development,"12,490,000","6,226,400",49.9,111,0
,Housing,"19,116,000","1,301,628",6.8,111,0
"Pre-primary and Vocational
Training",Pre-primary education,"337,886,334","104,989,820",31.1,111,0
,Vocational training,"38,076,170","16,722,374",43.9,111,0
,Home craft centers,"2,820,000","445,200",15.8,111,0
Youth and Sports,Sports training and competitions,"18,854,980","7,310,385",38.8,111,0
,Youth development,"68,000,000",-,-,111,0
Social Protection and Recreation,Gender mainstreaming,"4,096,908","2,106,299",51.4,111,0
,Disability mainstreaming,"12,000,000","5,962,703",49.7,111,0
,Control of drugs and pornography,"3,000,000","500,650",16.7,111,0
,Liquor licensing,"3,000,000","2,092,934",69.8,111,0
,Betting and Casinos,"1,500,000","1,490,600",99.4,111,0
"Cultural Services & Tourism
Promotion",Museums,"1,300,000","668,199",51.4,111,0
,Cultural activities,"18,265,262","7,144,330",39.1,111,0
,County parks,"500,000","402,240",80.4,111,0
,"Local tourism promotion & wildlife man-
agement","2,563,644","2,632,350",102.7,111,0
