Programmes,Sub- Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
Default,Default - Non Programmatic,-,"1,531,235","(1,531,235)",0.0,32,0
"General administra-
tion","General administration, planning & support ser-
vices","344,211,616","92,673,059","251,538,557",26.9,32,0
Land Administration,Land adjudication and demarcation,"27,700,000","99,800","27,600,200",0.4,32,0
"Urban Develop-
ment-Eldama ravine",Support service,"40,000,000",-,"40,000,000",0.0,32,0
"Livestock Develop-
ment and Manage-
ment","General administration, planning & support ser-
vices","12,800,000",-,"12,800,000",0.0,32,0
,Support service,"443,134,299","146,832,527","296,301,772",33.1,32,0
,"Livestock Improvement, Pasture and Fodder De-
velopment","6,000,000",-,"6,000,000",0.0,32,0
,Apiculture Development,"5,000,000",-,"5,000,000",0.0,32,0
,Sub Total,"466,934,299","146,832,527","320,101,772",31.4,32,0
"Agricultural Devel-
opment","General administration, planning & support ser-
vices","1,000,000","500,000","500,000",50.0,32,0
"Agricultural training
services","General administration, planning & support ser-
vices","1,300,000","650,000","650,000",50.0,32,0
"Other Urban Infra-
structure develop-
ment and manage-
ment",KUSP Programme,"52,360,500",-,"52,360,500",0.0,32,0
"Crop Production and
Management",Agribusiness Infrastructure Development,"11,400,000","312,100","11,087,900",2.7,32,0
"Fisheries Develop-
ment and Manage-
ment",Aquaculture Development,"3,000,000",-,"3,000,000",0.0,32,0
"Urban Develop-
ment-Kabarnet",General Administrative Services,"134,702,716","8,578,000","126,124,716",6.4,32,0
Land Use Planning,Land Planning and Development,"16,600,000",-,"16,600,000",0.0,32,0
"General administra-
tion","General administration, planning & support ser-
vices","62,894,893","22,209,827","40,685,066",35.3,32,0
"Development and
Rehabilitation of rural
roads and structures",Roads opening and rehabilitation,"831,582,296","38,481,683","793,100,613",4.6,32,0
"General administra-
tion","General administration, planning & support ser-
vices","74,853,448","51,225,399","23,628,049",68.4,32,0
Trade Development,Trade Development,"5,752,776","2,500,000","3,252,776",43.5,32,0
"Industrial Develop-
ment services",Industrial Development services,-,-,-,0.0,32,0
,"General administration, planning & support ser-
vices","153,074,112","1,524,110","151,550,002",1.0,32,0
,Sub Total,"153,074,112","1,524,110","151,550,002",1.0,32,0
"General administra-
tion","General administration, planning & support ser-
vices","1,879,576,758","1,072,312,877","807,263,881",57.1,32,0
"Curative and Rehabil-
itative Services","General administration, planning & support ser-
vices","40,164,034",-,"40,164,034",0.0,32,0
,Support service,"131,914,894",-,"131,914,894",0.0,32,0
,Support to County Hospitals (FIF),"80,074,047","63,412,633","16,661,414",79.2,32,0
,Sub Total,"252,152,975","63,412,633","188,740,342",25.1,32,0
"Preventive and
Promotive Health
Services",Infrastructure Development,"46,400,000",-,"46,400,000",0.0,33,0
,Compensation for User fees Forgone,"665,007,098","36,492,177","628,514,922",5.5,33,0
,Primary Health Care,"28,200,000","4,393,070","23,806,930",15.6,33,0
,Sub Total,"739,607,098","40,885,247","698,721,852",5.5,33,0
"General administra-
tion services","General administration, planning & support ser-
vices","281,402,357","160,933,038","120,469,319",57.2,33,0
"Early Childhood De-
velopment Education",Early Childhood Development Education,-,-,-,0.0,33,0
