Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
Education services,"0509015310 sp 9.1
Quality Assurance
and Co-curriculum","1,000,000","236,000","764,000",23.6,243,0
,"0509025310 sp 9.2
Early Childhood De-
velopment Centres","148,400,000","7,754,008","140,645,992",5.2,243,0
,"0509035310 sp 9.3
Technical and Voca-
tional Training","88,904,947","956,400","87,948,547",1.1,243,0
Social Services,"0902015310 General
Administration &
Support Services","178,773,527","60,709,868","118,063,659",34.0,243,0
,"0902025310 Sp.2.2
Gender and Commu-
nity Empowerment","30,800,000",-,"30,800,000",-,243,0
,"0902035310 Sp2.3
Development and
promotion of culture/
heritage","38,150,000","112,700","38,037,300",0.3,243,0
,"0902045310 Sp2.4
Development and
promotion of sports","239,000,000","16,068,122","222,931,878",6.7,243,0
,"0902055310 Sp2.5
Youth Empowerment
and Promotion","26,300,000","13,758,642","12,541,358",52.3,243,0
,"0902065310 Sp 2.6
Social welfare and
care for the Aged","30,000,000","714,800","29,285,200",2.4,243,0
,"0902075310 Sp 2.7
Promotion of Library
and Information
Services","4,300,000",-,"4,300,000",-,243,0
,"0902085310 Sp.2 8
Rescue and Rehabil-
itation of Children
Services","41,200,000","335,000","40,865,000",0.8,243,0
"EDUCATION,YOUTH AFFAIRS, SPORTS,
CULTURE & SOCIAL SERVICES",,"1,976,459,968","399,335,398","1,577,124,570",20.2,244,0
"General Administration Planning and Sup-
port Services","0301010 SP1 Gen-
eral Administration
Planning and Support
Services","428,123,278","157,442,177","270,681,101",36.8,244,0
"Co-operative Development and Audit Ser-
vices","0310015310 sp 10.1
Cooperative Develop-
ment Services","34,000,000","4,758,675","29,241,325",14.0,244,0
,"0310025310 sp 10.2
Cooperative Audit
Services","12,281,300","477,870","11,803,430",3.9,244,0
Tourism Promotion and Marketing,"0311015310 sp 11.1
Tourism Develop-
ment","43,000,000","920,900","42,079,100",2.1,244,0
Trade development and Market Services,"0312015310 sp 12.1
Trade Development","170,000,000","631,400","169,368,600",0.4,244,0
,"0312025310 sp 12.2
Market Services","280,000,000",-,"280,000,000",-,244,0
,"0313025310 sp 13.2
Weights & Measures
Services","62,000,000",-,"62,000,000",-,244,0
,"0313035310 sp 13.3
Trade Licensing
Services","35,000,000",-,"35,000,000",-,244,0
,"0313045310 sp 13.4
Betting & Gaming
Services","21,000,000","412,449","20,587,551",2.0,244,0
"TRADE,COMMERCE,TOURISM & CO-
OPERATIVES",,"1,085,404,578","164,643,471","920,761,107",15.2,244,0
,,,-,-,,244,0
"General Administration Planning and Sup-
port Services","0701010 SP.1.1 Gen-
eral Administration
Planning and Support
Services","297,662,603","79,942,410","217,720,193",26.9,244,0
Public Service Transformation,"0710010 S.P.5.1
Human Resource
Management","701,000,000","650,596,199","50,403,801",92.8,244,0
,"0710020 S.P.5.2
Human Resource
Development","74,785,035","20,042,142","54,742,893",26.8,244,0
"Performance Management and Public Ser-
vice Delivery","0723015310 sp 23.1
Performance Con-
tracting management","10,000,000","1,745,758","8,254,242",17.5,244,0
,"0723025310 sp 23.2
Governance Monitor-
ing and Evaluation","25,000,000","682,548","24,317,452",2.7,244,0
,"0723035310 sp 23.3
Quality Management
Systems and ISO
certification","9,000,000","212,599","8,787,401",2.4,244,0
PUBLIC SERVICE MANAGEMENT,,"1,117,447,638","753,221,656","364,225,982",67.4,244,0
"General Administration Planning and Sup-
port Services","0106010 SP.6.1
Administration,
Planning & Support
Services","231,481,909","94,670,863","136,811,046",40.9,244,0
Crop Development and Management,"0108055310 SP5 Crop
Production, Market-
ing & Research","38,494,806","3,046,284","35,448,522",7.9,244,0
Fisheries Development and Management,"0111020 SP 5.2 Aqua-
culture Development
Marketing & Research","31,509,644","681,984","30,827,660",2.2,245,0
"Livestock Resources Management and De-
velopment","0112065310 Promo-
tion of Dairy Pro-
duction, Extension &
Research","31,533,999",-,"31,533,999",-,245,0
"Animal Health, Safety and Quality Assur-
ance","0116015310 sp 10.1
Animal Research,
Diseases, Pest Control
& Quality Assuarance","55,152,413",-,"55,152,413",-,245,0
Aforestation,"0117015310 sp 11.1
Forestry Services","24,532,637",-,"24,532,637",-,245,0
Food Systems and Surveillance,"0118015310 sp18:1
Food Systems and
Surveillance Services","26,830,000",-,"26,830,000",-,245,0
Agricultural Development Support Project,"5321000801 Agricul-
tural Development
Support Project","47,025,760",-,"47,025,760",-,245,0
"AGRICULTURE, LIVESTOCK DEVELOP-
MENT, FISHERIES & FORESTRY",,"486,561,168","98,399,131","388,162,037",20.2,245,0
General Administration & Support Services,"1001015310 Sp1 Gen-
eral Administration &
Support Services","567,476,815","240,168,820","327,307,995",42.3,245,0
Environment Management and Protection.,"1002035310 sp 2.3
Solid waste manage-
ment","992,237,878","346,591,871","645,646,007",34.9,245,0
,"1002045310 sp 2.4
Beautification, Rec-
reation and Greening
Services","43,687,121",-,"43,687,121",-,245,0
,"1002055310 sp 2.5
Environment plan-
ning Management
Services","27,400,000","120,800","27,279,200",0.4,245,0
Water Resources Management,"1004055310 sp 4.5
Energy & Natural
resources","352,000,000","7,339,869","344,660,131",2.1,245,0
"ENVIROMENT,WATER,ENERGY & NAT-
URAL RESOURCES",,"1,982,801,814","594,221,359","1,388,580,455",30.0,245,0
"Housing Development and Human Settle-
ment","0102045310 SP4
Urban Renewal","298,000,000","1,078,025","296,921,975",0.4,245,0
,"0102055310 SP5
Management of Rent-
al Housing","25,900,000","1,258,900","24,641,100",4.9,245,0
"General Administration Planning and Sup-
port Services","0106010 SP.6.1
Administration,
Planning & Support
Services","303,016,963","38,769,839","264,247,124",12.8,245,0
Building Services,"0113015310 sp 7.1
Building services
research and infor-
mation","24,800,000","1,843,850","22,956,150",7.4,245,0
URBAN RENEWAL AND HOUSING,,"651,716,963","42,950,614","608,766,349",6.6,245,0
Ward Development,"0214015310 sp 8.1
Ward Development &
Administration","1,343,000,000","4,000,420","1,338,999,580",0.3,245,0
WARD DEVELOPMENT FUND,,"1,343,000,000","4,000,420","1,338,999,580",0.3,245,0
General Administrative Services,"0718015310 Sp1 Gen-
eral Administration &
Support Services","100,000,000","2,300,000","97,700,000",2.3,245,0
EMERGENCY FUND,,"100,000,000","2,300,000","97,700,000",2.3,245,0
Liquor Licensing & Regulation,"0313015310 sp 13.1
Liquor Licensing &
Regulation","250,000,000","173,562,123","76,437,877",69.4,245,0
