Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
LIQOUR LICENSING BOARD,,"250,000,000","173,562,123","76,437,877",69.4,246,0
COUNTY ASSEMBLY,"Legislation and
Oversight","2,939,977,879","466,503,299","2,473,474,580",15.9,246,0
Total Voted Expenditur. KShs.,,"36,981,390,886","11,106,993,885","25,874,397,001",30.0,246,0
Administration,"Administration and per-
sonnel","795,810,619","102,540,447","588,548,111",12.9,251,1
Administration Total,,"795,810,619","102,540,447","588,548,111",12.9,251,1
children,Education development,"33,466,339",-,"37,431,210",-,251,1
children Total,,"33,466,339",-,"37,431,210",-,251,1
Structural Development,Network Administration,"55,066,066",-,"55,066,066",-,251,1
Structural Development Total,,"55,066,066",-,"55,066,066",-,251,1
Vocational,"revitalized of Youth pro-
gramme","115,035,198","28,721,192","87,062,949",25,251,1
Vocational Total,,"115,035,198","28,721,192","87,062,949",25,251,1
,,"999,378,222","131,261,639","768,108,336",13.1,251,1
"Agriculture, Livestock & Fisheries Head-
quarters",Administration Services,"493,820,438","158,718,282","334,129,008",32.1,251,1
"Agriculture, Livestock & Fisheries Headquarters Total",,"493,820,438","158,718,282","334,129,008",32.1,251,1
"Crop Development and Management Head-
quarters","Crop development and
food security","509,039,543","60,035,748","347,950,198",11.8,251,1
Crop Development and Management Headquarters Total,,"509,039,543","60,035,748","347,950,198",11.8,251,1
Fisheries Development Headquarters,Aquaculture development,"44,662,020","757,580","34,789,237",1.7,251,1
Fisheries Development Headquarters Total,,"44,662,020","757,580","34,789,237",1.7,251,1
"Livestock Resource Management And De-
velopment Headquarters","Promotion of dairy pro-
duction breeding and dis-
ease control","156,369,748","41,929,630","95,658,806",26.8,251,1
"Livestock Resource Management And Development Headquarters
Total",,"156,369,748","41,929,630","95,658,806",26.8,251,1
,,"1,203,891,749","261,441,240","812,527,249",21.7,251,1
"County Assembly Administration Head-
quarters",Finance and budget,"508,388,444","224,257,263","214,123,942",44.1,251,1
County Assembly Administration Headquarters Total,,"508,388,444","224,257,263","214,123,942",44.1,251,1
County Assembly Headquarters,"Procedure and committee
services","471,461,519","114,893,970","245,394,285",24.4,251,1
County Assembly Headquarters Total,,"471,461,519","114,893,970","245,394,285",24.4,251,1
,,"979,849,963","339,151,233","459,518,227",34.6,252,0
County Public Service Board Headquarters’,Administration Services,"64,102,389","11,097,827","52,173,937",17.3,252,0
County Public Service Board Headquarters’,,"64,102,389","11,097,827","52,173,937",17.3,252,0
,,"64,102,389","11,097,827","52,173,937",17.3,252,0
Administration,"Administration and per-
sonnel","413,727,701","71,147,406","341,840,069",17.2,252,0
Administration Total,,"413,727,701","71,147,406","341,840,069",17.2,252,0
children,Education development,"127,634,566","136,127,081","37,652,613",106.7,252,0
Children Total,,"127,634,566","136,127,081","37,652,613",106.7,252,0
Information Communication Services,"Functional andf technical
support center","50,346,878","3,205,004","45,967,503",6.4,252,0
Information Communication Services Total,,"50,346,878","3,205,004","45,967,503",6.4,252,0
Vocational,"revitalized of Youth pro-
gramme","72,701,320","1,108,085","71,303,235",1.5,252,0
Vocational Total,,"72,701,320","1,108,085","71,303,235",1.5,252,0
,,"664,410,465","211,587,576","496,763,420",31.8,252,0
"Environment Natural Resources Water and
Energy Headquarters",Administration,"100,000","48,300","51,700",48.3,252,0
,Forest Headquarters,"360,000","60,000","300,000",16.7,252,0
