Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
"Cash Crop Develop-
ment and Manage-
ment",Land and Crops Development,"3,900,000","1,050,260","2,849,740",26.9,233,1
,Promotion Food Security,"261,069,053","57,409,527","203,659,526",22,233,1
,Sub total,"264,969,053","58,459,787","206,509,266",22.1,233,1
"Livestock and fisher-
ies Development",Curative health care services,"5,000,000",-,"5,000,000",-,233,1
,Prev.,"114,173,298","56,051,939","58,121,358.85",49.1,233,1
,Tertiary care,"2,000,000",-,"2,000,000",-,233,1
,Sub total,"121,173,298","56,051,939","65,121,359",46.3,233,1
"Land survey, housing
and administration",Land Policy and Planning,"22,500,000",-,"22,500,000",-,233,1
,Land Survey,"10,000,000",-,"10,000,000",-,233,1
,Sub total,"32,500,000",-,"32,500,000",-,233,1
"Agribusiness and In-
formation Manage-
ment",Agribusiness and Market Development,"4,200,000","277,586","3,922,414",-,233,1
,Sub total,"4,200,000","277,586","3,922,414",-,233,1
"Livestock Resourc-
es Management and
Development",Livestock Diseases Management and Control,"16,000,000","3,717,190","12,282,810",23.2,233,1
,Sub total,"16,000,000","3,717,190","12,282,810",23.2,233,1
"Land Administration
and Management",Land Administration and Management,"5,319,000","1,286,210","4,032,790",24.2,233,1
,Sub total,"5,319,000","1,286,210","4,032,790",24.2,233,1
Road Transport,Construction of Roads and Bridges,"19,411,500","6,350,570","13,060,930",32.7,233,1
,"General Administration, Planning and Support
Services","739,019,018","214,132,607","524,886,411",29,233,1
,Sub total,"758,430,518","220,483,177","537,947,341",29.1,233,1
"ICT Infrastructure
Development",ICT Infrastructure Connectivity,"30,000,000",-,"30,000,000",-,233,1
,Sub total,"30,000,000",-,"30,000,000",-,233,1
"Tourism Develop-
ment and Promotion",Tourism Promotion and Marketing,"3,300,000","1,571,900","1,728,100",47.6,233,1
,Sub total,"3,300,000","1,571,900","1,728,100",47.6,233,1
"Trade Promotion and
marketing",Domestic Trade Development,"245,832,114","45,852,668","199,979,446",18.7,233,1
,Sub total,"245,832,114","45,852,668","199,979,446",18.7,233,1
"Cooperative Devel-
opment and Manage-
ment",Governance and Accountability,"3,100,000","561,238","2,538,761",18.1,234,0
,Co-operative Advisory Services,"20,779,074","1,948,000","18,831,074",9.4,234,0
,Sub total,"23,879,074","2,509,238.15","21,369,836",10.5,234,0
"Trade Development
and Promotion",Domestic Trade Development,"4,600,000","2,047,876","2,552,124",44.5,234,0
,Fair Trade and Consumer Protection,"3,100,000","527,800","2,572,200",17,234,0
,Sub total,"7,700,000","2,575,676","5,124,324",33.5,234,0
"Curative Health Ser-
vices",Forensic and Diagnostics,"3,000,000","784,365","2,215,635",26.1,234,0
,Free Primary Healthcare,"288,924,209","104,999,835","183,924,374",36.3,234,0
,Sub total,"291,924,209","105,784,200","186,140,009",36.2,234,0
"Treatment and reha-
bilitation",Prevention Curriculum Development,"3,000,000","727,405","2,272,595",24.2,234,0
,Sub total,"3,000,000","727,405","2,272,595",24.2,234,0
"ICT Infrastructure
Development",ICT Infrastructure Connectivity,"30,000,000",-,"30,000,000",-,234,0
,Sub total,"30,000,000",-,"30,000,000",-,234,0
"Tourism Develop-
ment and Promotion",Tourism Promotion and Marketing,"3,300,000","1,571,900","1,728,100",47.6,234,0
,Sub total,"3,300,000","1,571,900","1,728,100",47.6,234,0
"Trade Promotion and
marketing",Domestic Trade Development,"245,832,114","45,852,668","199,979,446",18.7,234,0
,Sub total,"245,832,114","45,852,668","199,979,446",18.7,234,0
"Cooperative Devel-
opment and Manage-
ment",Governance and Accountability,"3,100,000","561,238.15","2,538,761.85",18.1,234,0
,Co-operative Advisory Services,"20,779,074","1,948,000","18,831,074",9.4,234,0
,Sub total,"23,879,074","2,509,238.15","21,369,835.85",10.5,234,0
"Trade Development
and Promotion",Domestic Trade Development,"4,600,000","2,047,876","2,552,124",44.5,234,0
,Fair Trade and Consumer Protection,"3,100,000","527,800","2,572,200",17,234,0
,Sub total,"7,700,000","2,575,676","5,124,324",33.5,234,0
,Free Primary Healthcare,"288,924,209","104,999,835","183,924,374",36.3,234,0
,Sub total,"291,924,209","105,784,200","186,140,009",36.2,234,0
"Treatment and reha-
bilitation",Prevention Curriculum Development,"3,000,000","727,405","2,272,595",24.2,234,0
,Sub total,"3,000,000","727,405","2,272,595",24.2,234,0
"Prevention Curricu-
lum Development",Prevention Curriculum Development,"3,000,000","727,405","2,272,595",24.2,234,0
,Sub total,"3,000,000","727,405","2,272,595",24.2,234,0
Education,Early Childhood Development Education,"158,500,000","47,527,627","110,972,373",30,234,0
,Motivation of Primary and Secondary School,"96,000,000","42,422,342","53,577,658",44.2,234,0
,Sub total,"254,500,000","89,949,969","164,550,031",35.3,234,0
"Technical Vocational
Education and Train-
ing",Infrastructure Development and Expansion,"87,437,600",-,"87,437,600",-,234,0
,Sub total,"87,437,600",-,"87,437,600",-,234,0
"Youth Training and
Development",Revitalization of Youth Polytechnics,"112,868,298","4,883,660","107,984,638",4.3,234,0
,Sub total,"112,868,298","4,883,660","107,984,638",4.3,234,0
"General Administra-
tion, Planning and
Support Services","General Administration, Planning and Support
Services","20,000,000","1,188,000","18,812,000",5.9,234,0
,Sub total,"20,000,000","1,188,000","18,812,000",5.9,234,0
,"Legislation, Treaties and Advisory Services","323,400,000","136,889,140","186,510,860",42.3,234,0
,Public Trusts and Estates Management,"7,000,000",-,"7,000,000",-,234,0
,Oversight,"240,750,000","84,670,641","156,079,359",35.2,234,0
,Sub total,"571,150,000","221,559,782","349,590,218",38.8,234,0
,Human Resource Management,"16,198,711","2,185,860","14,012,851",13.5,234,0
,Staff Training and Capacity Building,"314,123,650","50,609,000","263,514,650",16.1,234,0
,Sub total,"330,322,361","52,794,860","277,527,501",16,234,0
,"Budget Formulation Coordination and Manage-
ment","4,500,000","2,079,648","2,420,352",46.2,234,0
,Economic Planning and CIDP Review,"4,500,000","2,068,117","2,431,883",46,234,0
,Sub total,"9,000,000","4,147,765","4,852,235",46.1,234,0
Public Participation,Public Participation,"5,500,000","2,671,638","2,828,362",48.6,234,0
,Sub total,"5,500,000","2,671,638","2,828,362",48.6,234,0
"General Adminis-
tration Planning and
support Services","General Administration Planning and support
Services","5,113,299,328","1,928,359,100","3,184,940,228",37.7,234,0
,Sub total,"5,113,299,328","1,928,359,100","3,184,940,228",37.7,234,0
"Gender & Youth Em-
powerment",Youth Development Services,"2,100,000","978,300","1,121,700",46.6,234,0
,Gender & Socio-economic empowerment,"30,000,000","7,342,360","22,657,640",24.5,234,0
,Sub total,"32,100,000","8,320,660","23,779,340",25.9,234,0
