Programme,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Absorption (%),page_number,table_index
County Attorney,Administration Planning And Support Services,"102,575,000.00","54,070,459.00",52.7,124,1
,Sub total,"102,575,000.00","54,070,459.00",52.7,124,1
Agriculture,"Administration, Planning and Support services","628,693,052.00","17,165,745.75",2.7,124,1
,Food Sufficiency Initiatives,"55,747,191.00","2,269,257.80",4.1,124,1
,Agribusiness and Information Management,"38,207,963.00","1,986,135.00",5.2,124,1
,Irrigation and Drainage Infrastructure,"108,034,621.75","1,747,850.00",1.6,124,1
,Sub total,"830,682,827.75","23,168,988.55",2.8,124,1
"Devolution, Public service
and Disaster management",Risk Management,"154,205,500.00","129,580,500.35",84.0,124,1
,Public Participation,"8,316,700.00","95,500.00",1.1,124,1
,General Administration Planning & Support Services,"90,172,076.00","7,090,686.00",7.9,124,1
Education,Sub total,"252,694,276.00","136,766,686.35",54.1,124,1
,"General administration, planning and support servic-
es","565,857,547.00","253,329,916.15",44.8,124,1
,Early Childhood development education,"403,342,152.00","23,122,037.75",5.7,124,1
,Education support services,"354,560,000.00","71,760,600.00",20.2,124,1
,Vocation Education and training,"166,716,117.00","243,050.00",0.1,124,1
"Environment, Forestry,
Natural Resources & Wild-
life",Sub total,"1,490,475,816.00","348,455,603.90",23.4,124,1
,Environment management and protection,"62,090,702.00","16,213,399.65",26.1,124,1
Economic Planning,Sub total,"62,090,702.00","16,213,399.65",26.1,125,0
,"Administration, Support and Planning Services","29,047,000.00","848,196.00",2.9,125,0
,County Fiscal Planning,"7,063,000.00","994,220.00",14.1,125,0
,Statistical Information services /Monitoring,"17,346,532.00","1,027,430.00",5.9,125,0
Finance,Sub total,"53,456,532.00","2,869,846.00",5.4,125,0
,"Administration, Support and Planning Services","502,036,609.00","43,271,159.00",8.6,125,0
,"Budget Formulation, Coordination and Management","19,523,500.00","5,610,153.00",28.7,125,0
,Audit Service,"8,240,000.00","737,830.00",9.0,125,0
,Accounting Services,"15,255,350.00","3,290,215.00",21.6,125,0
,Supply Chain Management,"4,275,000.00","1,791,485.00",41.9,125,0
,Resource Mobilization & Revenue Management,"22,574,998.00","7,017,069.00",31.1,125,0
Gender,Sub total,"571,905,457.00","61,717,911.00",10.8,125,0
,General administration,"438,207,033.00","33,883,414.00",7.7,125,0
Medical Services,Sub total,"438,207,033.00","33,883,414.00",7.7,125,0
,Curative and rehabilitative,"108,269,413.27","825,564.00",0.8,125,0
,"General Administration, Planning & Support Services","2,235,644,788.44","1,033,862,846.65",46.2,125,0
,.Maternal and Child Health,"35,321,228.95","1,384,355.00",3.9,125,0
Lands & Energy,Sub total,"2,379,235,430.66","1,036,072,765.65",43.5,125,0
,"General Administration Planning and Support ser-
vices","114,634,878.00","17,902,527.00",15.6,125,0
,Land policy and planning,"91,705,832.00","1,466,820.00",1.6,125,0
,Alternative Energy Technologies,"124,143,762.00","1,585,780.00",1.3,125,0
Livestock,Sub total,"330,484,472.00","20,955,127.00",6.3,125,0
,"Administration, Planning and Support services","9,100,764.00","3,582,156.00",39.4,125,0
,Livestock Production and Management,"106,405,022.00","872,500.70",0.8,125,0
,Livestock Value Addition and Marketing,"5,400,000.00","1,556,060.00",28.8,125,0
,Food Safety and Animal Products Development,"4,305,000.00","588,080.00",13.7,125,0
,Livestock Disease Management and Control,"41,951,667.36","1,040,080.00",2.5,125,0
Office of the Governor,Sub total,"167,162,453.36","7,638,876.70",4.6,125,0
,Intergovernmental relations,"21,000,000.00","14,132,183.00",67.3,125,0
,"Administration, planning and support services","257,938,877.00","102,741,846.00",39.8,125,0
County Assembly,Sub total,"278,938,877.00","116,874,029.00",41.9,125,0
,General administration,"1,003,455,640.00","297,960,041.58",29.7,125,0
Public Works,Sub total,"1,003,455,640.00","297,960,041.58",29.7,125,0
,"General administration, planning and support servic-
es","305,168,574.00","60,449,640.50",19.8,125,0
,Road Transport,"1,069,024,064.00","179,683,181.85",16.8,125,0
Trade & Tourism,Sub total,"1,374,192,638.00","240,132,822.35",17.5,125,0
,"General Administration, Planning and Support ser-
vices","75,876,151.00","26,036,904.40",34.3,125,0
,Trade Development and Promotion,"254,063,361.00","46,250,687.30",18.2,125,0
,Co-operative Development and Promotion,"10,178,850.00","2,670,205.15",26.2,125,0
,Tourism Development and Promotion,"23,520,816.00","3,336,311.20",14.2,125,0
"Devolution & Public
Service",Sub total,"363,639,178.00","78,294,108.05",21.5,125,0
,County Secretary,"19,208,122.00","720,000.00",3.7,125,0
,"Administration, Planning and Support Services","553,611,438.00","90,184,446.85",16.3,125,0
,Human resource Management,"8,580,000.00",-,0.0,125,0
,Strategic Human Resource Management,"2,668,000.00","411,855.00",15.4,125,0
Water & Sanitation,Sub total,"584,067,560.00","90,596,301.85",15.5,125,0
,"General Administration, Planning and Support Ser-
vices","231,930,095.00","74,362,212.35",32.1,125,0
,Water Resource management,"1,122,098,708.00","19,355,936.90",1.7,125,0
,Sub total,"1,354,028,803.00","93,718,149.25",6.9,125,0
Public Health,Health Promotion & Non combative prevention,"355,298,457.36","124,049,805.00",34.9,125,0
,Sub total,"355,298,457.36","124,049,805.00",34.9,125,0
,General Administration,"82,345,935.00","13,098,419.85",15.9,125,0
