Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance,Absorption (%),page_number,table_index
"Gender and social develop-
ment",Gender and disability mean streaming,"3,005,000",0,"3,005,000",0,146,0
,Betting control,"2,550,000","168,600","2,381,400",6.6,146,0
,Sub total,"5,555,000","168,600","5,386,400",3.0,146,0
"Early childhood education
management",Early childhood education,"4,840,000","90,000","4,750,000",1.9,146,0
,Sub total,"4,840,000","90,000","4,750,000",1.9,146,0
"Sports management and
development",Sports management,"6,054,500","382,100","5,672,400",6.3,146,0
,Talent management,"105,491,000","400,592","105,090,408",0.4,146,0
,Sub total,"111,545,500","782,900","110,762,600",0.7,146,0
Alcoholic drinks,Alcoholic drinks,"7,461,179","30,400","7,430,779",0.4,146,0
,Sub total,"7,461,179","30,400","7,430,779",0.4,146,0
"Pre - primary policy and
legislation",Pre - primary policy and legislation,"35,564,316","3,578,664","31,985,652",10.1,146,0
,Sub total,"35,564,316","3,578,664","31,985,652",10.1,146,0
"Youth training and legisla-
tion",Youth training and legislation,"3,995,894","727,002","3,268,892",18.2,146,0
,Sub total,"3,995,894","727,002","3,268,892",18.2,146,0
"General administration and
planning services","Administration& formulation of
county policy","1,141,080,163","254,585,601","886,494,562",22.3,146,0
,General administration,"211,545,670","51,371,412","160,174,258",24.3,146,0
,Human development services,"227,105,208","106,917,025","120,188,183",47.1,146,0
,"Development & management of county
admin systems","70,860,470","18,776,853","52,083,617",26.5,146,0
,"Social responsibility including civic &
public management","6,519,479","978,500","5,540,979",15.0,146,0
,Sub total,"1,657,110,990","432,629,390","1,224,481,600",26.1,146,0
"Management of county
affairs and special affairs",Inter-government and protocol,"11,702,198","1,956,642","9,745,556",16.7,146,0
,Sub total,"11,702,198","1,956,642","9,745,556",16.7,146,0
"Inter-governmental relations,
communication and coordi-
nation.","Governor’s press service and communi-
cation","10,678,795","1,448,204","9,230,591",13.6,146,0
,Internal auditing services,"12,430,000","1,785,344","10,644,656",14.4,146,0
,Sub total,"23,108,795","3,233,548","19,875,247",14.0,146,0
"Administration and develop-
ment of human resources in
Kisumu county","General administration and support
services","664,776,957","190,071,220","474,705,737",28.6,146,0
,"Human resource recruitment and
development","32,694,356","7,260,113","25,434,243",22.2,146,0
,"Human resource audit and staff ration-
alization","2,534,000","394,000","2,140,00",15.5,146,0
,Sub total,"700,005,313","197,725,333","502,279,980",28.2,146,0
Public finance management,Revenue mobilisation,"46,999,560","1,387,500","45,612,060",3.0,146,0
,Assets management,"98,550,000","10,200,000","88,350,000",10.4,146,0
,"Management of public financial
resources","4,245,000","337,500","3,907,500",8.0,146,0
,Budget formulation and coordination,"95,689,712","3,006,508","92,683,204",3.1,146,0
,Sub total,"245,484,272","14,931,508","230,552,764",6.1,146,0
"County planning & develop-
ment coordination services",Policy formulation and planning,"22,500,000","4,242,351","18,257,649",18.9,146,0
,Monitoring and evaluation,"11,000,000","361,653","10,638,347",3.3,146,0
,Sub total,"33,500,000","4,604,004","28,895,996",13.7,146,0
"County communication and
ICT",Management of information system,"6,210,650","161,219","6,049,431",2.6,146,0
,County publicity and marketing,"4,781,700","546,000","4,235,700",11.4,146,0
,Sub total,"10,992,350","707,319","10,285,031",6.4,146,0
"County assembly service
board",County assembly service board,"35,432,855","8,487,266","26,945,589",24.0,146,0
,Committee services,"289,015,200","96,816,594","192,198,606",33.5,146,0
,Representation & public participation,"80,031,000","35,493,225","44,537,775",44.3,146,0
,Sub total,"404,479,055","140,797,085","263,681,970",34.8,146,0
