Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
County Assembly,Office of the speaker,"38,389,787","8,165,211","30,224,576",21,138,1
,"Representation, legislative and over-
sight services","545,993,330","232,134,754","313,858,576",43,138,1
,County assembly service board,"553,767,588","135,280,116","418,487,472",24,138,1
,Sub total,"1,138,150,705","375,580,081","762,570,624",33,138,1
County Executive,"Administration, planning and sup-
port services","417,407,288","167,493,334","249,913,954",40,138,1
,Office of the county secretary,"36,100,000","9,999,786","26,100,214",28,138,1
,Legal services,"20,700,000","5,387,737","15,312,263",26,138,1
,Communication services,"24,250,000","2,308,100","21,941,900",10,138,1
,Special programmes,"6,850,000","2,782,170","4,067,830",41,138,1
,Public private partnership,"2,500,000","1,075,700","1,424,300",43,138,1
,Advisory services,"3,350,000",,"3,350,000",,138,1
,County public service board,"34,096,000","8,341,383","25,754,617",24,138,1
,Sub total,"545,253,288","197,388,210","347,865,078",36,138,1
"Administration, Corpo-
rate services and stake-
holder management","Administration, planning and sup-
port services","567,711,999","272,337,286","295,374,713",48,138,1
,Devolved units services,"59,464,165","11,840,863","47,623,302",20,138,1
,Human Resource development,"10,060,000","2,374,411","7,685,589",24,138,1
,Enforcement services,"13,100,000",,"13,100,000",,138,1
,Stakeholder management,"8,308,809","2,605,377","5,703,432",31,138,1
,"Public participation and civic edu-
cation.","12,950,000","1,607,555","11,342,445",12,138,1
,Disaster management.,"34,070,000","2,231,100","31,838,900",7,138,1
,Sub total,"705,664,973","292,996,592","412,668,381",42,138,1
"Finance and economic
planning","Administration, coordination and
support services","971,177,878","498,670,727","472,507,151",51,138,1
,"Public financial management servic-
es","80,775,000","40,771,761","40,003,239",50,138,1
,County planning services,"190,670,076","60,699,479","129,970,597",32,138,1
,Sub total,"1,242,622,954","600,141,967","642,480,987",48,138,1
"Agriculture, livestock,
fisheries and cooperative
development",Administrative and support services,"709,652,585","206,201,295","503,451,290",29,139,0
,"Crop development and value addi-
tion","194,910,085","41,681,143","153,228,942",21,139,0
,Livestock development,"23,250,000","10,706,300","12,453,700",46,139,0
,Veterinary services,"175,000,000","113,784,960","61,215,040",65,139,0
,"Cooperative development and man-
agement","2,250,000","1,125,000","1,125,000",50,139,0
,Fisheries development,"48,000,000","15,328,290","32,671,710",32,139,0
,Kisii agricultural training centre,"9,250,000","1,400,340","7,849,660",15,139,0
,Sub total,"1,162,312,670","390,227,328","772,085,342",34,139,0
"Energy, water, environ-
ment and natural resourc-
es","Administration and planning ser-
vices","130,156,579","47,323,009","82,833,570",36,139,0
,Water and sanitation services,"260,750,000","54,659,882","206,090,118",21,139,0
,Environment management,"22,000,000","5,229,546","16,770,454",24,139,0
,Energy services,"8,550,000","2,689,500","5,860,500",31,139,0
,Sub total,"421,456,579","109,901,937","311,554,642",26,139,0
"Education, labour and
manpower development","General administration and plan-
ning services","613,439,043","229,070,120","384,368,923",37,139,0
,"Early childhood development edu-
cation","43,184,441","9,851,961","33,332,480",23,139,0
,Vocational training,"163,643,298","54,995,759","108,647,539",34,139,0
,Sub total,"820,266,782","293,917,840","526,348,942",36,139,0
Health services,Medical services,"4,057,930,441","1,485,115,092","2,572,815,349",37,139,0
,Public health,"35,950,000","3,121,300","32,828,700",9,139,0
,Sub total,"4,093,880,441","1,488,236,392","2,605,644,049",36,139,0
"Lands, Physical Planning
and Urban Development","Administration, planning and sup-
port services","75,985,904","29,956,706","46,029,198",39,139,0
,Land use services,"108,300,000","51,028,430","57,271,570",47,139,0
,Urban development,"37,456,610","8,997,898","28,458,712",24,139,0
,Sub total,"221,742,514","89,983,034","131,759,480",41,139,0
"Roads, Public Works,
Transport and Housing","General administration and plan-
ning services","109,395,000","51,709,475","57,685,525",47,139,0
,Roads development,"877,152,456","229,464,150","647,688,306",26,139,0
,Public works,"69,590,000","14,938,418","54,651,582",21,139,0
,Housing services,"5,800,000",,"5,800,000",,139,0
,Sub total,"1,061,937,456","296,112,043","760,025,413",28,139,0
"Trade, Tourism and In-
dustry","Administration and planning ser-
vices","204,322,306","50,151,691","154,170,615",25,139,0
,Tourism services,"8,357,000","1,690,882","6,666,118",20,139,0
,Weights and measures,"2,550,000","1,181,000","1,369,000",46,139,0
,Liquor licensing,"2,450,000","1,180,000","1,270,000",48,139,0
,Betting and gaming,"8,550,000","2,271,700","6,278,300",27,139,0
,Sub total,"226,229,306","56,475,273","169,754,033",25,139,0
"Culture and Social Ser-
vices","Administration and planning ser-
vices","52,165,252","22,980,734","29,184,518",44,139,0
,Sports development,"79,835,603","18,466,810","61,368,793",23,139,0
,Cultural services,"34,650,000","4,908,700","29,741,300",14,139,0
,Social development,"6,700,000",,"6,700,000",,139,0
,Sub total,"173,350,855","46,356,244","126,994,611",27,139,0
Kisii Town,"General administration, planning
and support services","139,174,275","51,102,023","88,072,252",37,139,0
,Infrastructure development,"286,748,163","58,974,999","227,773,164",21,139,0
,Sub total,"425,922,438","110,077,022","315,845,416",26,139,0
Grand Total,,"12,238,790,961","4,351,110,870","7,887,680,091",36,139,0
