Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
OFFICE OF THE GOVERNOR,,,,,,152,0
General Adm & planning,General Adm & planning,"1,171,117,654","282,244,198","888,873,456",24.1,152,0
National social safety net,National social safety net,"124,792,166","17,134,214","107,657,952",13.7,152,0
Cabinet affairs,Cabinet affairs,"50,200,000","40,298,747","9,901,253",80.3,152,0
Public financial management,Public financial management,"36,120,000",-,"36,120,000",-,152,0
Human resource,Human resource,-,"25,146,156","(25,146,156)",∞,152,0
,Sub total,"1,382,229,820","364,823,315","1,017,406,505",26.4,152,0
ADMNISTRATION AND CO-ORDINATION OF COUNTY AFFAIRS,,,,,,152,0
General admin & support services,General admin & support services,"139,917,282","63,179,891","76,737,391",45.2,152,0
County Govt admin &field services,County Govt admin &field services,"127,943,777","55,598,494","72,345,283",43.5,152,0
Devolution services,Devolution services,"142,272,212","77,949,457","64,322,755",54.8,152,0
,Sub total,"410,133,271","196,727,842","213,405,429",48.0,152,0
"AGRICULTURE,WATER AND LIVESTOCK DEVELOPMENT",,,,,,152,0
General admin & support services,General admin & support services,"281,237,369","130,274,491","150,962,878",46.3,152,0
Crop Development & management,Crop Development & management,"459,807,260","67,944,339","391,862,921",14.8,152,0
"Agribusiness and Information manage-
ment","Agribusiness and Information man-
agement","72,715,933","8,474,539","64,241,394",11.7,152,0
"Agricultural extension services and train-
ing","Agricultural extension services and
training","70,890,842","7,147,270","63,743,572",10.1,152,0
Irrigation and drainage infrastructure,Irrigation and drainage infrastructure,"6,542,766","251,669","6,291,097",3.8,152,0
Fisheries development &management,Fisheries development &management,"1,975,479","59,100","1,916,379",3.0,152,0
"Livestock resource management and de-
velopment","Livestock resource management and
development","24,273,378","2,083,477","22,189,901",8.6,152,0
Water resource management,Water resource management,"705,414,150","66,483,891","638,930,259",9.4,152,0
,Sub total,"1,622,857,177","282,718,776","1,340,138,401",17.4,152,0
"BASIC EDUCATION, ICT AND YOUTH DEVELOPMENT",,,,,,152,0
General admin & support services,General admin & support services,"94,436,080","2,367,500","92,068,580",2.5,152,0
Primary education,Primary education,"313,284,322","175,585,967","137,698,355",56.0,152,0
ICT infrastructure development,ICT infrastructure development,"170,751,301","3,167,411","167,583,890",1.9,152,0
Youth training and development,Youth training and development,"75,322,554","14,943,058","60,379,496",19.8,152,0
Quality assurance &standard,Quality assurance &standard,-,"18,903,110","(18,903,110)",∞,152,0
,Sub total,"653,794,257","214,967,046","438,827,211",32.9,152,0
"LANDS,INFRUSTRUCTURE AND URBAN DEVELOPMENT",,,,,,152,0
General admin & support services,General admin & support services,"116,625,577","45,538,723","71,086,854",39.0,152,0
Lands policy & planning,Lands policy & planning,"47,994,774","22,676,158","25,318,616",47.2,152,0
"Housing development and human settle-
ment","Housing development and human set-
tlement","30,557,557","16,398,955","14,158,602",53.7,152,0
Government buildings,Government buildings,"28,360,135","37,937,288","(9,577,153)",133.8,152,0
Road transport,Road transport,"651,169,061","49,620,359","601,548,702",7.6,152,0
,Sub total,"874,707,104","172,171,483","702,535,621",19.7,152,0
HEALTH AND SANITATION,,,,,,152,0
"General admin & planning and support
services","General admin & planning and sup-
port services","466,684,727","397,725,006","68,959,721",85.2,152,0
Maternal and child health,Maternal and child health,"175,766,976","18,765,815","157,001,161",10.7,152,0
Preventive and promotive health services,"Preventive and promotive health ser-
vices","472,522,647","236,348,198","236,174,449",50.0,152,0
Curative health services,Curative health services,"2,231,651,374","1,121,599,292","1,110,052,082",50.3,152,0
,Sub total,"3,346,625,724","1,774,438,311","1,572,187,413",53.0,152,0
"TRADE, CO-OPERATIVES, & INVESTMENT",,,,,,153,0
"General admin & planning and support
services","General admin & planning and sup-
port services","136,510,148","55,503,962","81,006,186",40.7,153,0
Trade development and promotion,Trade development and promotion,"163,662,458","32,518,483","131,143,975",19.9,153,0
"Cooperative development and manage-
ment","Cooperative development and man-
agement","312,701,357","69,547,791","243,153,566",22.2,153,0
,Sub total,"612,873,963","157,570,236","455,303,727",25.7,153,0
ENVIRONMENT & NATURAL RESOURCES,,,,,,153,0
