Programmes,Sub- Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index,Programme,Sub- Programme,Variance (Kshs.)
,"General administration, planning & support ser-
vices",-,"77,400","(77,400)",0.0,35,0,,,
,Support service,"6,000,000",-,"6,000,000",0.0,35,0,,,
,Sub -total,"6,000,000","77,400","5,922,600",1.3,35,0,,,
,General Administrative services,"37,048,339","11,086,939","25,961,400",29.9,35,0,,,
,Protection of rivers and streams,"1,000,000",-,"1,000,000",0.0,35,0,,,
,County Forest conservation and management,"6,000,000",-,"6,000,000",0.0,35,0,,,
Grand Total,,"8,681,521,001","2,364,346,392","6,317,174,609",27.2,35,0,,,
,,,,,,40,0,"MEDICAL SERVICES, PUBLIC HEALTH & SANITATION",,
,,"110,953,899","56,841,980",,51.2,40,0,Curative Health Services,"Cash Transfers to Health
Facilities.","54,111,919"
,,"495,596,909","148,168,799",,29.9,40,0,,Health Programmes,"347,428,110"
,,,,,,40,0,"General Administration Plan-
ning and Support Services",,
,,"665,000,000","162,455,832",,24.4,40,0,,Human Resource Services,"502,544,168"
,,"27,495,831","12,257,166",,44.6,40,0,,Administrative services,"15,238,665"
,,"35,000,000","21,190,561",,60.5,40,0,"World Bank Loan to for trans-
forming health systems for uni-
versal care project","Transformative Health Care
systems","13,809,439"
,,,,,,40,0,COUNTY EXECUTIVE,,
,,"1,494,638,552","619,302,091",,41.4,40,0,"Administration, Planning and
Support services",Human Resource Services,"875,336,461"
,,"20,034,200","2,316,164",,11.6,40,0,,"Administration of Human
Resources in County Public
Service Board","17,718,036"
,,"259,227,874","47,415,846",,18.3,40,0,,Administration Services,"211,812,028"
,,,,,,40,0,"Information Technology Ser-
vices(ICT) Services",,
,,"35,000,000","8,801,980",,25.1,40,0,,Administration Services,"26,198,020"
,,,,,,40,0,FINANCE AND ECONOMIC PLANNING,,
,,"105,772,392","40,325,462",,38.1,40,0,"Budget Preparation and Man-
agement",Administrative Services,"65,446,930"
,,"8,000,000","5,505,000",,68.8,40,0,,"Budget Preparation Docu-
ments","2,495,000"
,,"6,000,000","4,610,400",,76.8,40,0,,Public Participation,"1,389,600"
,,,,,,40,0,"Policy Planning and Adminis-
tration",,
,,"23,900,000","1,853,500",,7.8,40,0,,Administrative Services,"22,046,500"
,,,,,,40,0,"AGRICULTURE, LIVESTOCK DEVELOPMENT, VETERINARY SERVICES & FISHERIES",,
,,"60,972,095","9,482,511",,15.6,40,0,"Administration, Planning and
Support Services",Administrative services,"51,489,584"
,,"215,200,000","11,304,194",,5.3,40,0,,"IDA(Word Bank) Kenya
Climate Smart","203,895,806"
,,"900,000","3,536,896",,393,40,0,,Fisheries Development,"(2,636,896)"
,,"4,000,000","525,000",,13.1,40,0,,"Disease, Vector and pest
control","3,475,000"
,,,,,,40,0,"WATER, ENVIRONMENT, NATURAL RESOURCES & ENERGY",,
,,"86,514,199","41,426,400",,47.9,40,0,"Policy planning and Adminis-
trative Services","SP1.1. Policy, Planning and
Administrative services","45,087,799"
,,"257,846,082","18,633,996",,7.2,40,0,,"P.2 Water supply infrastruc-
ture","239,212,086"
,,,,,,40,0,EDUCATION AND VOCATIONAL TRAINING,,
,,"146,470,250","28,134,615",,19.2,40,0,"Policy Planning, and General
Administrative Services","General Administrative
Services","239,212,086"
,,"122,250,000","32,831,207",,26.9,40,0,,"Early Childhood Develop-
ment and Education","89,418,793"
,,"5,925,000","2,343,379",,39.6,40,0,,"Technical Vocational Edu-
cational and Training","3,581,621"
,,,,,,40,0,"LANDS, HOUSING, PHYSICAL PLANNING & URBAN DEVELOPMENT",,
,,,,,,40,0,"General Administration Plan-
ning and Support Services",,
,,"36,491,187","440,850",,1.2,40,0,,Use of Goods and Services,"36,050,337"
,,,,,,40,0,"ROADS, TRANSPORT & PUBLIC WORKS",,
