Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index,Absorption (%)
Land Policy and Physical Planning,"Land Policy and Physical
Planning","118,796,000","16,379,615","102,416,385",13.8,382,0,
Public Works and Transport Services,"Public Works and Transport
Services","19,728,100",-,"19,728,100",-,382,0,
,Sub total,"204,243,326","28,463,230","175,780,096",13.9,382,0,
WAJWASCO,,,,,,382,0,
WAJWASCO,WAJWASCO,"416,327,493","41,391,138","374,936,355",9.9,382,0,
,Sub total,"416,327,493","41,391,138","374,936,355",9.9,382,0,
COUNTY PUBLIC SERVICE BOARD,,,,,,382,0,
County Public Service Board Services,"County Public Service Board
Services","67,259,465","26,481,324","40,778,141",39.4,382,0,
,,"67,259,465","26,481,324","40,778,141",39.4,382,0,
MUNICIPALITY,,,,,,382,0,
Urban Development Services,Urban Development Services,"466,609,262","128,120,000","338,489,262",27.5,382,0,
,Sub total,"466,609,262","128,120,000","338,489,262",27.5,382,0,
Grand Total,,"9,666,416,132","3,057,527,433","6,616,941,011",31.6,382,0,
County Executive,"General Administration ,plan-
ning and Support Services","418,648,977.03","206,666,122.85","211,982,854.18",,387,0,49.4
,County Executive affairs,"36,857,399.49","17,457,824.00","19,399,575.49",,387,0,47.4
,County Public service Board,"5,591,520.00","1,481,784.00","4,109,736.00",,387,0,26.5
,Field Administration service,"10,515,680.00","5,342,350.00","5,173,330.00",,387,0,50.8
,"Liaison and Intergovernmental
service","12,933,850.48","3,698,282.50","9,235,567.98",,387,0,28.6
"Finance &Economic Plan-
ning","General Administration ,plan-
ning and Support Services","204,018,468.41","74,124,636.10","129,893,832.31",,387,0,36.3
,Treasury Accounting Services,"2,273,440.00","1,955,994.00","317,446.00",,387,0,86.0
,"Supply Chain Management ser-
vices","3,142,816.00","1,176,180.00","1,966,636.00",,387,0,37.4
,Resource Mobilization,"7,492,000.00","2,842,690.00","4,649,310.00",,387,0,37.9
,Internal Audit services,"4,033,600.00","1,764,250.00","2,269,350.00",,387,0,43.7
,Budget Formulation services,"14,469,479.54","4,861,465.00","9,608,014.54",,387,0,33.6
,Economic Planning,"61,871,728.06","13,342,694.80","48,529,033.26",,387,0,21.6
,Project Management,-,-,-,,387,0,-
,Monitoring and Evaluation,"2,798,000.00","1,855,000.00","943,000.00",,387,0,66.3
"Roads, Public Works,
Transport and Infrastruc-
ture","General Administration ,plan-
ning and Support Services","54,486,183.23","26,072,958.20","28,413,225.03",,387,0,47.9
,Road Transport,"172,102,760.75","12,890,561.10","159,212,199.65",,387,0,7.5
,Public Works,"16,006,546.00","5,216,840.40","10,789,705.60",,387,0,32.6
,Vehicle Maintenance Unit,-,-,-,,387,0,-
,Ward Specific Projects,"139,795,936.02","36,185,077.10","103,610,858.92",,387,0,25.9
Health and Sanitation,"General Administration ,plan-
ning and Support Services",-,-,-,,387,0,-
,Preventive Health Services,"92,094,286.61","33,949,098.75","58,145,187.86",,387,0,36.9
,Kapenguria Referral Hospital,"202,562,790.23","34,825,146.60","167,737,643.63",,387,0,17.2
,Kacheliba Sub county Hospital,"17,860,000.00","5,220,000.00","12,640,000.00",,387,0,29.2
,Sigor Sub county Hospital,"16,860,000.00","5,228,000.00","11,632,000.00",,387,0,31.0
,Chepareria Sub county Hospital,"19,890,000.00","5,270,400.00","14,619,600.00",,387,0,26.5
,Sanitation,-,-,-,,387,0,-
,Ward Specific,"145,921,820.30","8,050,916.20","137,870,904.10",,387,0,5.5
"Education and Technical
Training","General Administration ,plan-
ning and Support Services","363,880,943.84","134,497,705.00","229,383,238.84",,387,0,37.0
,ECD Services,"14,481,552.14","523,630.00","13,957,922.14",,387,0,3.6
,Youth Vocational training,"40,775,680.00","7,397,450.00","33,378,230.00",,387,0,18.1
,Bursary Fund,"412,000,000.00","231,000,000.00","181,000,000.00",,387,0,56.1
,Ward specific,"120,040,700.00",-,"120,040,700.00",,387,0,0.0
Agriculture and Irrigation,"General Administration, Plan-
ning and Support Services","95,332,474.20","39,890,669.15","55,441,805.05",,387,0,41.8
,"Crop Development and Man-
agement","217,319,566.25","78,252,210.05","139,067,356.20",,387,0,36.0
,"Cash Crop Production (Special
Programs)","1,042,000.00","475,900.00","566,100.00",,387,0,45.7
,Ward specific,"12,499,300.00","999,924.00","11,499,376.00",,387,0,8.0
Pastoral Economy,"General Administration, Plan-
ning and Support Services","86,147,851.28","40,835,158.85","45,312,692.43",,387,0,47.4
,"Livestock production and Range
Management","71,259,062.00","8,852,154.00","62,406,908.00",,387,0,12.4
,Livestock Disease management,"10,337,095.00","2,702,000.00","7,635,095.00",,387,0,26.1
,Fisheries Development,"434,400.00","195,900.00","238,500.00",,387,0,45.1
,"Nasukuta Livestock Improve-
ment Centre","52,287,096.00",-,"52,287,096.00",,387,0,-
,Ward specific,"29,477,687.00",-,"29,477,687.00",,387,0,-
,"Dairy Development (Special
Programme)","20,642,000.00","241,500.00","20,400,500.00",,387,0,1.2
