Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
"County Assembly of Marsabit Op-
erational And Oversight",Operations & Oversight,"640,182,991","220,595,281","419,587,710",34.5,203,1
"Physical Planning And Develop-
ment",Urban Development Services,"385,637,646","11,042,256","374,595,390",2.9,203,1
,"Lands and Physical Planning
Services","25,000,000","10,292,200","14,707,800",41.2,203,1
,"General administration planning
and Support Services","132,997,500","45,698,935","87,298,565",34.4,203,1
,Sub total,"543,635,146","67,033,391","476,601,755",12.3,203,1
Education,"General Administration, Plan-
ning and Support Services","330,893,916","139,868,303","191,025,613",42.3,203,1
,Pre – Primary Education,"180,416,350","28,004,922","152,411,428",15.5,203,1
,Youth Development,"75,930,000","5,693,300","70,236,700",7.5,203,1
,"Vocational Education and Train-
ing","19,058,298",-,"19,058,298",-,203,1
,Sports,"69,110,000","4,453,600","64,656,400",6.4,203,1
,Sub total,"675,408,564","178,020,125","497,388,439",26.4,203,1
Executive Services,"General Administration,Plan-
ning and Support Services","330,000,000","142,540,680","187,459,320",43.2,203,1
,Management of County Affairs,"535,857,842","184,784,782","351,073,060",34.5,203,1
,Public Sector Advisory Services,"59,000,000","24,143,460","34,856,540",40.9,203,1
,Inter/Intra Governmental,"25,000,000","10,996,000","14,004,000",44.0,203,1
,County Legal Services,"25,000,000","1,700,000","23,300,000",6.8,203,1
,Sub total,"974,857,842","364,164,922","610,692,920",37.4,203,1
Administration and ICT,"General administration planning
and Support Services","330,809,768","111,126,215","219,683,553",33.6,203,1
,ICT infrastructure,"6,200,000",-,"6,200,000",-,203,1
,"Coordination of functions of de-
volved Units","15,500,000","5,265,300","10,234,700",34.0,203,1
,"Public Participation and Civic
Education","3,000,000","412,000","2,588,000",13.7,203,1
,Sub total,"355,509,768","116,803,515","238,706,253",32.9,203,1
"Agriculture And Livestock Devel-
opment","General Administration, Plan-
ning and Support Services","84,080,444","55,132,733","28,947,711",65.6,203,1
,"Livestock Resources Manage-
ment and Development","214,849,300","27,431,908","187,417,392",12.8,203,1
,"Fisheries Development and
Management","80,236,450","868,244","79,368,206",1.1,203,1
,"Crop Development and Manage-
ment","405,955,924","5,429,371","400,526,553",1.3,203,1
,Sub total,"785,122,118","88,862,256","696,259,862",11.3,203,1
