Program,Description,Approved Budget,Actual Payments,Variance,Absorption (%),page_number,table_index
101003000,,"125,160,843.00","35,555,630.50","89,605,212.50",28.4,88,1
,"Extension services,",0,0,0,0.0,88,1
,Livestock Production,"91,229,073.00","35,555,630.50","55,673,442.50",39.0,88,1
,livestock infrastructure development,"33,931,770.00",0,"33,931,770.00",0.0,88,1
102003000,,"8,000,000.00",0,"8,000,000.00",0.0,88,1
,extension services,"5,000,000.00",0,"5,000,000.00",0.0,88,1
,,"3,000,000.00",0,"3,000,000.00",0.0,88,1
103003000,,"50,881,138.00","18,784,959.00","32,096,179.00",36.9,88,1
,Administration and Support Services,"50,881,138.00","18,784,959.00","32,096,179.00",36.9,89,0
104003000,,"264,866,996.00",0,"264,866,996.00",0.0,89,0
,"Increase food productivity & output by
30%.","2,000,000.00",0,"2,000,000.00",0.0,89,0
,Establishment of Demo Farms,"24,040,573.00",0,"24,040,573.00",0.0,89,0
,"Administration Climate Change Miti-
gation","222,258,569.00",0,"222,258,569.00",0.0,89,0
,Irrigation,"14,567,854.00",0,"14,567,854.00",0.0,89,0
,Policy Devt,"2,000,000.00",0,"2,000,000.00",0.0,89,0
105003000,,"34,389,351.00","19,252,013.00","15,137,338.00",56.0,89,0
,Veterinary Support Services,"34,389,351.00","19,252,013.00","15,137,338.00",56.0,89,0
107003000,,"23,156,220.00","1,362,583.00","21,793,637.00",5.9,89,0
,Administration and Planning Services,"23,156,220.00","1,362,583.00","21,793,637.00",5.9,89,0
109003000,,"69,807,583.00","8,378,954.50","61,428,628.50",12.0,89,0
,"County land planning and spatial de-
velopment","39,517,415.00","4,863,154.50","34,654,260.50",12.3,89,0
,County Land Survey and Mapping,"30,290,168.00","3,515,800.00","26,774,368.00",11.6,89,0
204003000,,"307,632,748.00","62,947,057.70","244,685,690.30",20.5,89,0
,Road Improvement,"16,740,117.00","2,037,647.00","14,702,470.00",12.2,89,0
,Estate Flood lighting facilities.,"290,892,631.00","60,909,410.70","229,983,220.30",20.9,89,0
206003000,,"237,936,200.00","46,000,000.00","191,936,200.00",19.3,89,0
,Control of invasive species (Mathenge),"50,000,000.00",0,"50,000,000.00",0.0,89,0
,Urban Development,"187,936,200.00","46,000,000.00","141,936,200.00",24.5,89,0
207003000,,"179,923,516.00","68,642,734.00","111,280,782.00",38.2,89,0
,General Administration and Planning,"32,587,086.00","14,277,147.00","18,309,939.00",43.8,89,0
,Infrastructural Development,"147,336,430.00","54,365,587.00","92,970,843.00",36.9,89,0
301003000,,"28,138,787.00","2,603,020.00","25,535,767.00",9.3,89,0
,"Entrepreneurship and business man-
agement training","18,556,862.00","2,603,020.00","15,953,842.00",14.0,89,0
