Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorp-
tion (%)",page_number,table_index
"Administration, Planning and
Support Service","Administration, Planning and Support
Service","817,734,740","289,207,439","528,527,301",35.0,373,0
,Administrative Service,"817,534,740","289,207,439","687,726,426",35.0,373,0
,Research and Development,"200,000",-,"200,000",-,373,0
"Livestock Development and
Management",Livestock Development and Management,"17,970,357","3,251,000","14,719,357",18.0,373,0
,Veterinary Services and Extension,"12,170,357","2,831,000","9,339,357",23.0,373,0
,Livestock Extension,"5,800,000","420,000","5,380,000",7.0,373,0
"Fisheries Development and
Management",Fisheries Development and Management,"8,000,000","80,800","7,919,200",1.0,373,0
,Promotion of Fish Farming,"8,000,000","80,800","7,919,200",1.0,373,0
"Crop Development and Man-
agement",Crop Development and Management,"12,100,000","535,000","11,565,000",4.0,373,0
,Crop Extension,"12,100,000","535,000","11,565,000",4.0,373,0
Cooperatives Development,Cooperatives Development,"5,000,000","993,360","4,006,640",20.0,373,0
,Cooperative Development Services,"5,000,000","993,360","4,006,640",20.0,373,0
"1 Urban and Physical Planning
and Housing Services","1 Urban and Physical Planning and Hous-
ing Services","498,361,024",-,"498,361,024",-,373,0
,Urban and Physical Planning,"488,361,024",-,"488,361,024",-,373,0
,Housing Development,"10,000,000",-,"10,000,000",-,373,0
"Administration, Planning, and
Support Service","Administration, Planning, and Support
Service","574,498,888","49,431,692","525,067,196",9.0,373,0
,Administrative Service,"574,498,888","49,431,692","525,067,196",9.0,373,0
Public Finance Management,Public Finance Management,"1,000,000",-,"1,000,000",-,373,0
,Purchase of a trailer,"1,000,000",-,"1,000,000",-,373,0
Transport Management,Transport Management,"27,434,400","2,510,500","24,923,900",9.0,373,0
,Transport System Management,"10,900,000","2,500,000","8,400,000",23.0,373,0
,Mechanical Services,"16,534,400","10,500","16,523,900",-,373,0
Infrastructure Development,Infrastructure Development,"4,200,000",-,"4,200,000",,373,0
,Roads Maintenance,"4,200,000",-,"4,200,000",-,373,0
"Administration, Planning, and
Support Service","Administration, Planning, and Support
Service","137,846,017","14,965,091","122,880,927",11.0,373,0
,Administrative Service,"137,846,017","14,965,091","122,880,927",11.0,373,0
,Tourism Development,"1,977,264",-,"1,977,264",-,373,0
,Tourism Promotion and Branding,"1,977,264",-,"1,977,264",-,373,0
"Administration, Planning, and
Support Service","Administration, Planning, and Support
Service","1,331,630,635","429,538,944","902,091,691",32.0,373,0
,Administrative Service,"221,747,339","5,000,868","216,746,471",2.0,373,0
,"Human Resource Management and Devel-
opment","1,053,678,085","420,561,754","633,116,331",40.0,373,0
,Healthcare Financing,"56,205,211","3,976,322","52,228,889",7.0,373,0
"Promotive and Preventive
Healthcare Services","Promotive and Preventive Healthcare Ser-
vices","27,565,284","730,656","26,834,628",3.0,373,0
,Public Health Services,"16,700,000","192,256","16,507,744",1.0,373,0
,Community Health Strategy,"6,240,000","469,200","5,770,800",8.0,373,0
,Health Promotion,"3,795,284","44,400","3,750,884",1.0,373,0
,Reproductive Healthcare,"340,000",-,"340,000",-,373,0
,Disease Surveillance and Emergency,"490,000","24,800","465,200",5.0,373,0
"Curative And Rehabilitative
Health Services","Curative And Rehabilitative Health Ser-
vices","280,394,894","665,800","279,729,094",-,373,0
,Medical services,"280,014,894","665,800","279,349,094",-,373,0
,County referral services,"240,000",-,"240,000",-,373,0
,Drugs and Other Medical Supplies,"140,000",-,"140,000",,373,0
"Child and Maternal Health
Care",Child and Maternal Health Care,"46,188,276",-,"46,188,276",-,374,0
,Antenatal and Post Natal healthcare,"1,800,000",-,"1,800,000",-,374,0
,Antenatal and Post Natal Healthcare,"1,440,000",-,"1,440,000",-,374,0
,Maternity Services,"41,368,276",-,"41,368,276",-,374,0
,"New-born, Child and Adolescent Health","1,140,000",-,"1,140,000",-,374,0
,Nutrition Services,"440,000",-,"440,000",-,374,0
"Administration, Planning, and
Support Service","Administration, Planning, and Support
Service","391,699,421","143,090,907","248,608,514",37.0,374,0
,Administrative Service,"391,699,421","23,090,907","368,608,514",6.0,374,0
"Vocational Education and
Training",Vocational Education and Training,"83,176,000","21,633,430","61,542,570",26.0,374,0
,Youth Polytechnic Development,"83,176,000","21,633,430","61,542,570",26.0,374,0
Early Childhood Development,Early Childhood Development,"149,700,000","62,961,693","86,738,307",42.0,374,0
,ECD Development,"149,700,000","62,961,693","86,738,307",42.0,374,0
"Administration, Planning, and
Support Service","Administration, Planning, and Support
Service","1,616,978,949","357,158,371","1,259,820,578",22.0,374,0
,Administrative Service,"1,569,641,809","346,479,261","1,223,162,548",22.0,374,0
,County Administration,"28,030,000","5,630,160","22,399,840",20.0,374,0
,County Radio Information Services,"19,307,140","5,048,950","14,258,190",26.0,374,0
,Bursary Funds,-,-,-,-,374,0
Public Finance Management,Public Finance Management,"75,095,548","12,757,815","62,337,733",17.0,374,0
,Public Finance Management,"10,300,000","1,746,900","8,553,100",17.0,374,0
,Accounting Services,"12,445,548","1,761,980","10,683,568",14.0,374,0
,Audit Services,"11,250,000","1,652,090","9,597,910",15.0,374,0
,Budget Formulation Coordination,"10,400,000","1,696,950","8,703,050",16.0,374,0
,Resource Mobilization,"16,650,000","1,422,795","15,227,205",9.0,374,0
,Budget Expenditure Management,"14,050,000","4,477,100","9,572,900",32.0,374,0
County Planning Services,County Planning Services,"15,364,970","1,640,800","13,724,170",11.0,374,0
,Monitoring and Evaluation,"7,425,000","995,100","6,429,900",13.0,374,0
,"Coordination of Policy Formulation and
Plans","7,939,970","645,700","7,294,270",8.0,374,0
"Coordination and Supervisory
Services",Coordination and Supervisory Services,"400,000",-,"400,000",-,374,0
,Performance Management,"200,000",-,"200,000",-,374,0
,Disaster Management and Mitigation,"200,000",-,"200,000",-,374,0
"Management and Administra-
tion of County Services","Management and Administration of
County Services","17,756,178","1,949,360","15,806,818",11.0,374,0
,County Executive,"300,000",-,"300,000",-,374,0
,County Secretary,"10,756,178","996,200","9,759,978",9.0,374,0
,Legal Services,"6,700,000","953,160","5,746,840",14.0,374,0
Legislation and Oversight,Legislation and Oversight,"317,009,425","111,608,647","205,400,778",35.0,374,0
,Legislation and Oversight,"317,009,425","111,608,647","205,400,778",35.0,374,0
,Oversight,-,-,-,-,374,0
"Administration, Planning, and
Support Service","Administration, Planning, and Support
Service","83,808,587","14,634,893","69,173,694",17.0,374,0
,Administrative Service,"82,608,587","14,559,293","68,049,294",18.0,374,0
,Technical Conferences,"500,000",-,"500,000",-,374,0
,Elderly Fund,"700,000","75,600","624,400",1.0,374,0
,,"103,954,612","7,469,250","96,485,362",7.0,374,0
,Promotion of Sports,"70,544,855","7,245,850","63,299,005",10.0,374,0
,Promotion of Culture and Heritage,"19,550,000","223,400","19,326,600",1.0,374,0
,Recreation and Arts,"13,859,757",-,"13,859,757",,374,0
,,"13,700,000",-,"13,700,000",-,374,0
,Social Protection,"1,400,000",-,"1,400,000",-,374,0
,"Gender, Children, Youth and People with
Disability","12,300,000",-,"12,300,000",-,374,0
"Administration, Planning, and
Support Service","Administration, Planning, and Support
Service","342,156,659","28,748,800","313,407,859",8.0,374,0
,Administrative Service,"180,156,659","28,748,800","151,407,859",16.0,374,0
,Financial Services,"162,000,000",-,"162,000,000",-,374,0
