Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance,"Absorption
(%)",page_number,table_index
Legislation and Oversight,,"691,454,051","290,760,077","400,693,974",42.1,131,1
Sub Total,,"691,454,051","290,760,077","400,693,974",42.1,131,1
"Office of the Governor and
Deputy Governor",County Executive Services,"289,499,644","99,045,690","190,453,954",34.2,131,1
"County Executive Admin-
istration",County Executive Services,"481,677,591","18,423,472","463,254,119",3.8,131,1
"Management of County
Affairs","Coordination of County
Functions","181,228,830","55,957,977","125,270,853",30.9,131,1
"County Executive Com-
mittee Affairs","Organization of County
Business","5,600,000","3,688,655","1,911,345",65.9,131,1
"County Public Service
Board","Human Resource Manage-
ment","17,311,040","4,986,146","12,324,894",28.8,131,1
"Administrative Support
Services","Administrative Support
Services","7,980,000","2,338,732","5,641,268",29.3,131,1
,Audit Committee,"2,600,000","1,377,092","1,222,908",53.0,131,1
,"County Enforcement Ac-
tivities","4,950,000","1,967,110","2,982,890",39.7,131,1
,"ICT Infrastructure Devel-
opment Management","4,184,000","3,563,079","620,922",85.2,131,1
,"ICT Systems Development
Management","1,940,000","645,468","1,294,532",33.3,131,1
Sub Total,,"996,971,105","191,993,421","804,977,684",19.3,131,1
"Public Finance Manage-
ment",Finance Services,"280,792,347","116,479,455","164,312,892",41.5,131,1
,Revenue Services,"45,540,000","16,596,897","28,943,103",36.4,131,1
,"Procurement and Supply
Services","8,126,500","3,282,445","4,844,055",40.4,131,1
,Internal Audit Services,"2,363,200","513,140","1,850,060",21.7,131,1
,"Budget Formulation, Coor-
dination and Management","7,844,000","3,467,680","4,376,320",44.2,131,1
,Accounting Services,"6,255,000","2,775,340","3,479,660",44.4,131,1
"County Planning and Eco-
nomic Policy Management","Economic Planning Servic-
es","4,928,000","2,565,842","2,362,158",52.1,131,1
Sub Total,,"355,849,047.00","145,680,799.00","210,168,248.00",40.9,131,1
"Curative and Rehabilita-
tive Services","Curative and Rehabilitative
Services","2,533,092,065","874,517,099","1,658,574,966",34.5,131,1
Sub Total,,"2,533,092,065","874,517,099","1,658,574,966",34.5,131,1
Basic Education,General Administration,"209,174,229","50,876,258","158,297,971",24.3,132,0
,"Free Pre- Primary Educa-
tion","8,270,000","1,158,460","7,111,540",14.0,132,0
"State Education Function
Support",Tertiary Education,"34,503,298","4,998,760","29,504,538",14.5,132,0
"Technical and Vocational
Training",Village Polytechnic,"815,000","368,760","446,240",45.2,132,0
Sub Total,,"252,762,527","57,402,238","195,360,289",22.7,132,0
"Livestock Resource Man-
agement and Development","Livestock Extension and
Capacity Building Services","305,000","75,560","229,440",24.8,132,0
,"Livestock Production Man-
agement","880,000","250,839","629,161",28.5,132,0
,"Livestock Disease Manage-
ment & Control","1,300,000","412,070","887,930",31.7,132,0
"Crop Development and
Management","Agricultural Extension Ser-
vices","2,000,000","1,470,976","529,024",73.5,132,0
,"Agribusiness and Market
Development","335,000","195,687","139,313",58.4,132,0
,"Land and Crop Develop-
ment","1,331,000","873,181","457,820",65.6,132,0
,Food Security Initiatives,"400,000","99,800","300,200",25.0,132,0
"Kamweti Agricultural
Training Centre",Extension and Training,-,-,-,-,132,0
Fisheries Development,Aquaculture Development,"200,000",-,"200,000",-,132,0
"Policy Strategy and Man-
agement of Agriculture","Development of Agricultur-
al Policy","5,910,000","2,223,810","3,686,190",37.6,132,0
,"General Administration
and Planning","698,160,024","78,604,953","619,555,072",11.3,132,0
Sub Total,,"710,821,024","84,206,875","626,614,149",11.8,132,0
Culture,"Gender Administration
Services","32,671,210","10,856,002","21,815,208",33.2,132,0
,"Gender and Social Develop-
ment","38,780,800","7,348,509","31,432,291",18.9,132,0
Youth,"Youth Development and
Empowerment Services","2,150,000","675,150","1,474,850",31.4,132,0
Sub Total,,"73,602,010","18,879,661","54,722,349",25.7,132,0
Sports,"Development of Sports and
Sports Facilities","14,500,000","3,740,500","10,759,500",25.8,132,0
,"Management & Develop-
ment of Sports and Sports
Facilities","10,350,000","5,543,150","4,806,850",53.6,132,0
Social Services,Social Services,"10,428,469","4,667,881","5,760,588",44.8,132,0
,"Control & Campaign
Against Drug & Substance
Abuse","3,084,000","3,084,000",-,100.0,132,0
,"Prevention & Promotion of
Heritage and Culture","334,000","75,800","258,200",22.7,132,0
Children Services,"Child Community Support
Services","5,542,000","1,074,251","4,467,749",19.4,132,0
Sub Total,,"44,238,469","18,185,582","26,052,887",41.1,132,0
"Trade Development and
Investment","General Administration
and Planning","20,765,436",-,"20,765,436",#VALUE!,132,0
,"Capacity Building for Trad-
ers and SME's","577,000","34,600","542,400",6.0,132,0
,"promotion, Development &
Growth of Trade","39,223,878","602,200","38,621,678",1.5,132,0
,"Fair Trade Practices and
Consumer Protection","610,000","99,900","510,100",16.4,132,0
