Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs)","Absorption
(%)",page_number,table_index
"public health and commu-
nity outreach","public health and community out-
reach","108,557,389","7,792,883",7.2,181,0
Sub total,,"3,954,764,283","1,019,870,610",25.8,181,0
"Agriculture, Food Security, and Co-operative Development",,,,,181,0
"General Administration
and Support Services",Support Services,"261,899,172","54,161,798",20.7,181,0
"Crop Development and
Management",Crop Development and Management,"179,174,991","27,581,024",15.4,181,0
"Livestock Resources
Management and Devel-
opment",Livestock Resources Management,"93,126,412","340,000",0.4,181,0
Fisheries Development,Fisheries Development,"14,752,645","130,000",0.9,181,0
Veterinary Services,Veterinary Services,"82,328,402",-,-,181,0
"Agriculture Training
Centre",Agriculture Training Centre,"15,628,231",-,-,181,0
"Cooperative Development
and Marketing","Cooperative Development and Mar-
keting","91,065,157","758,600",0.8,181,0
Sub total,,"737,975,010","82,971,422",11.2,181,0
"Tourism, Youth, Sports and Culture",,,,,181,0
"General Administration
and Support Services",Support Services,"65,715,063","20,146,407",30.7,181,0
Heritage & Culture,Heritage & Culture Preservation,"5,149,882","2,678,704",52.0,181,0
Liquor Management,Liquor Management,"1,330,790",-,-,181,0
"Tourism Development
and Marketing",Tourism Development,"10,161,278","3,747,200",36.9,181,0
County Image Directorate,County Beautification,"10,800,000","250,000",2.3,181,0
"Management and De-
velopment of Sports and
Sports Facilities",Management of Sports,"140,740,112","18,814,499",13.4,181,0
Sub total,,"233,897,125","45,636,810",19.5,181,0
County Administration and Decentralized Units,,,,,181,0
"General Administration
and Support Services",Support Services,"300,280,713","79,910,925",26.6,181,0
Civic Engagement,Civic Engagement,"99,436,310","6,215,228",6.3,181,0
"Administration and Coor-
dination Services","Administration and Coordination
Services","24,492,254","9,884,052",40.4,181,0
Solid Waste Management,Solid Waste Management,"12,800,000","2,643,000",20.6,181,0
Sanitation Management,Sanitation,"2,000,000",-,-,181,0
"Inspectorate services and
Management",Inspectorate Services,"44,695,872",-,-,181,0
Sub total,,"483,705,149","98,653,205",20.4,181,0
"Trade, Industrialization and Innovation",,,,,181,0
"General Administration
and Support Services",Support Services,"77,841,600","15,297,582",19.7,181,0
Trade Development,Trade Development,"33,850,000","12,142,813",35.9,181,0
"Business and Enterprise
Development",Business and Enterprise Development,"8,600,000","1,054,900",12.3,181,0
"Industrialization and in-
novation",Industrialization and innovation,"106,050,000","37,788,499",35.6,181,0
"Machakos Investment
Promotion Board",Investment Facilitation and Support,"11,759,324","694,069",5.9,181,0
County Law Office,Legal Office,"150,903,950","48,087,451",31.9,181,0
Sub total,,"389,004,874","115,065,313",29.6,181,0
County Assembly,,,,-,181,0
