Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
,Road maintenance,"346,004,452","193,323,999","152,680,453",55.9,80,0
,Sub total,"394,504,374","226,160,835","168,343,539",57.3,80,0
Transport Services,Bus Park Improvement Services,"25,920,000",-,"25,920,000",-,80,0
,Sub total,"25,920,000",-,"25,920,000",-,80,0
Department of Energy and Mining,,,,,,80,0
Energy Services,Electrical Power Services,"14,800,000",-,"14,800,000",-,80,0
,Solar Power Services,"43,658,987","5,646,188","38,012,799",12.9,80,0
,"Low Cost energy Technologies pro-
motion Services","17,772,949",-,"17,772,949",-,80,0
,Sub total,"76,231,936","5,646,188","70,585,748",7.4,80,0
"Mineral Resource Develop-
ment and Marketing Services","Construction mineral development
and marketing services","3,000,000",-,"3,000,000",-,80,0
,Sub total,"3,000,000",,"3,000,000",-,80,0
"General Administration, Plan-
ning and Support Services",Administrative Support Services,"35,088,406","12,937,750","22,150,656",36.9,80,0
,"Development of Policies, Plans, Reg-
ulations and Legislations","649,149",-,"649,149",-,80,0
,Sub total,"35,737,555","12,937,750","22,799,805",36.2,80,0
Department of Education and ICT,,,,,,80,0
"General Administration and
Quality Assurance Service",General administration Services,"14,948,426",-,"14,948,426",-,80,0
,Quality Assurance Services,"522,729,773","112,975,178","409,754,595",21.6,80,0
,Sub total,"537,678,199","112,975,178","424,703,021",21.0,80,0
"ECDE and Vocational Train-
ing Services",ECDE Services,"55,275,957","6,151,031","49,124,926",11.1,80,0
,Vocational Training Services,"56,458,942",-,"56,458,942",-,80,0
,Sub total,"111,734,899","6,151,031","105,583,868",5.5,80,0
ICT Services,Information Services,"1,030,700",-,"1,030,700",-,80,0
,ICT Infrastructure Development,"11,521,409",-,"11,521,409",-,80,0
,Sub total,"12,552,109",-,"12,552,109",-,80,0
Department of Health Services,,,,,,80,0
"Policy planning and adminis-
trative support service","Policy, Planning and Monitoring
Services","13,473,807",-,"13,473,807",-,80,0
,Administrative Support Services,"1,864,490,967","810,237,436","1,054,253,531",43.5,80,0
,Sub total,"1,877,964,774","810,237,436","1,067,727,338",43.1,80,0
"Preventive and promotive
health services",Community health services,"77,400,000",-,"77,400,000",-,80,0
,Disease control services,"47,500,000",-,"47,500,000",-,80,0
,Sub total,"124,900,000",-,"124,900,000",-,80,0
"Curative and rehabilitative
health services",Routine medical health services,"268,017,729","170,427,917","97,589,812",63.6,81,0
,"Medical emergency response ser-
vices","12,000,000",-,"12,000,000",-,81,0
,"Facility infrastructure improvement
services","323,247,690","55,332,918","267,914,772",17.1,81,0
,Sub total,"603,265,419","225,760,835","377,504,584",37.4,81,0
"Research and development
service",Research and surveillance services,"2,703,000",-,"2,703,000",-,81,0
,Capacity development services,"3,500,000",-,"3,500,000",-,81,0
,Sub total,"6,203,000",-,"6,203,000",-,81,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,81,0
"General Administration Ser-
vices","General administrative support ser-
vices","33,768,440","28,525,171","5,243,269",84.5,81,0
,Policy development,"1,390,000",-,"1,390,000",-,81,0
,Monitoring and Evaluation,"694,409",-,"694,409",-,81,0
,General office operations,"24,310,550",-,"24,310,550",-,81,0
,Sub total,"60,163,399","28,525,171","31,638,228",47.4,81,0
Lands and Physical planning,County Spatial planning,"35,477,062",-,"35,477,062",-,81,0
,"Survey, Demarcation and upgrading
of markets","6,232,308","1,117,780","5,114,528",17.9,81,0
,Sub total,"41,709,370","1,117,780","40,591,590",2.7,81,0
"Housing and Urban Develop-
ment",Housing improvement services,"8,000,760",-,"8,000,760",-,81,0
,"Smart settlement services (Equip-
ping of Ndhiwa ABTC)","3,100,000",-,"3,100,000",-,81,0
,"Kenya Urban Support Programme
(KUSP)","119,892,100",-,"119,892,100",-,81,0
,Sub total,"130,992,860",-,"130,992,860",-,81,0
"Department of Trade, Industrialization, Cooperatives and Enterprise Development",,,,,,81,0
"Planning and Administrative
services",Administrative and Support Services,"171,826,059","106,869,454","64,956,605",62.2,81,0
,"Policy Development and Implemen-
tation Services","46,123,140",-,"46,123,140",-,81,0
,Sub total,"217,949,199","106,869,454","111,079,745",49.0,81,0
"Trade, Cooperative and En-
trepreneurship Development
Service",Cooperative Development Services,"10,000,000",-,"10,000,000",-,81,0
,"Enterprise Development and Pro-
motion Services","5,889,893",-,"5,889,893",-,81,0
,"Trade Infrastructure Development
Services","90,245,511","21,439,533","68,805,978",23.8,81,0
,Sub total,"106,135,404","21,439,533","84,695,871",20.2,81,0
"Industrial Development and
Investment Services",Value Chain Development Services,"49,800,000",-,"49,800,000",-,81,0
,Financial and Investment Services,"2,000,000",-,"2,000,000",-,81,0
,Sub total,"51,800,000",-,"51,800,000",-,81,0
"Department of Water, Environment and Natural Resources",,,,,,81,0
"General Administrative ser-
vices",Administrative Support Services,"156,158,105","64,165,319","91,992,786",41.1,81,0
,Policy and Planning Services,"1,200,000",-,"1,200,000",-,81,0
,Sub total,"157,358,105","64,165,319","93,192,786",40.8,81,0
"Water Supply and Manage-
ment Services",Urban Water Supply Services,"51,845,920","26,988,411","24,857,509",52.1,81,0
,Rural Water Supply Services,"228,500,000",-,"228,500,000",-,81,0
,Sub total,"280,345,920","26,988,411","253,357,509",9.6,81,0
"Environmental Protection and
Management Services","Pollution and Waste Management
services","34,100,000",-,"34,100,000",-,81,0
,Forestry Development Services,"11,200,000",-,"11,200,000",-,81,0
,Land Reclamation Services,"5,000,000",-,"5,000,000",-,81,0
,Sub total,"50,300,000",-,"50,300,000",-,81,0
"Department of Finance, Economic Planning and Service Delivery",,,,,,81,0
"General administration and
support services","Staff Remuneration and Welfare
Support Services","109,871,580","90,093,350","19,778,230",82.0,81,0
,"General Logistics, Coordination and
Asset Management Services","8,735,098","5,496,500","3,238,598",62.9,81,0
,"Devolution and Service Delivery
Support Services","41,216,648","16,550,000","24,666,648",40.2,81,0
,Sub total,"159,823,326","112,139,850","47,683,476",70.2,81,0
"Planning, budgeting and de-
velopment coordination ser-
vices","Economic planning and develop-
ment services","108,600,200","86,844,086","21,756,114",80.0,82,0
,Resource Allocation Services,"12,129,714","3,140,500","8,989,214",25.9,82,0
,"Community Development Partici-
pation Services","30,146,160","24,425,178","5,720,982",81.0,82,0
,Sub total,"150,876,074","114,409,764","36,466,310",75.8,82,0
"Strategy and service delivery
management services",Monitoring and evaluation services,"7,989,200",-,"7,989,200",-,82,0
,"Strategy and service delivery im-
provement services","3,970,000",-,"3,970,000",-,82,0
,Sub total,"11,959,200",-,"11,959,200",-,82,0
Resource mobilization services,"External Resources Mobilization
Services","8,448,248",-,"8,448,248",-,82,0
,"Internal Revenue Generation Ser-
vices","53,721,280","5,240,300","48,480,980",9.8,82,0
,Sub total,"62,169,528","5,240,300","56,929,228",8.4,82,0
"Financial management ser-
vices","Accounting and Financial Reporting
Services","12,554,530","3,500,240","9,054,290",27.9,82,0
,Audit and Advisory Services,"8,318,740","2,430,800","5,887,940",29.2,82,0
,Emergency Management Services,"70,000,000","18,688,160","51,311,840",26.7,82,0
,Sub total,"90,873,270","24,619,200","66,254,070",27.1,82,0
Office of the Governor,,,,,,82,0
"Public service administration
support services","Human resource management and
development services","260,167,019","227,936,319","32,230,700",87.6,82,0
,supply chain management services,"5,559,541",-,"5,559,541",-,82,0
,Legal Services,"16,000,000","4,800,000","11,200,000",30.0,82,0
,"Logistics, security and asset manage-
ment services","33,824,360","27,100,000","6,724,360",80.1,82,0
,"Performance contracting and ap-
praisal services","7,500,000",-,"7,500,000",-,82,0
,Sub total,"323,050,920","259,836,319","63,214,601",80.4,82,0
"Governance and coordination
services","Executive management and liaison
services","94,565,410","63,200,000","31,365,410",66.8,82,0
,"Field coordination and administra-
tion services","154,266,000","22,325,055","131,940,945",14.5,82,0
,Sub total,"248,831,410","85,525,055","163,306,355",34.4,82,0
"Strategy and service delivery
improvement services",Strategy and advisory services,"19,739,640",-,"19,739,640",-,82,0
,Efficiency monitoring services,"32,003,000",-,"32,003,000",-,82,0
,"Information and communication
services","5,950,000",-,"5,950,000",-,82,0
,Disaster management services,"8,360,600",-,"8,360,600",-,82,0
,Sub total,"66,053,240",-,"66,053,240",-,82,0
County Public Service Board,,,,,,82,0
"Policy, Planning and Adminis-
tration Services",Policy and Planning Services,"2,124,900",-,"2,124,900",-,82,0
,Administrative Support Services,"51,444,305","3,044,200","48,400,105",5.9,82,0
,"Facility Improvement & Capacity
Strengthening Services","6,000,000",-,"6,000,000",-,82,0
,Sub total,"59,569,205","3,044,200","56,525,005",5.1,82,0
"Personnel Sourcing and Man-
agement Services","Recruitment, Selection and Deploy-
ment Services","4,817,000",-,"4,817,000",-,82,0
,Human Resource Advisory Services,"8,230,000","5,100,000","3,130,000",62.0,82,0
,Capacity Development Services,"3,295,500","500,000","2,795,500",15.2,82,0
,Sub total,"16,342,500","5,600,000","10,742,500",34.3,82,0
"Performance Management
Services","Performance Contracting and Ap-
praisal Services","783,000",-,"783,000",-,82,0
,Sub total,"783,000",-,"783,000",-,82,0
County Assembly Service Board,,,,,,82,0
Legislative Services,Members welfare Support services,"323,630,788","170,661,122","152,969,666",52.7,82,0
,"Legislative development and ap-
proval services","53,176,569","19,176,310","34,000,259",36.1,82,0
,Sub total,"376,807,357","189,837,432","186,969,925",50.4,82,0
