Programme,Sub- Programme,"FY 2019/20
Approved Budget
(Kshs)","Actual Payments
in First Half FY
2019/20 (Kshs)",Variance,"Absorption rate
in First Half FY
2019/20 (%)",page_number,table_index
"AGRICULTURE, FOOD, LIVESTOCK AND FISHERIES",,,,,,306,0
General Administration and Planning,"General Adminis-
tration and Plan-
ning","439,692,018","72,621,619","367,070,399",16.5,306,0
,Sub total,"439,692,018","72,621,619","367,070,399",16.5,306,0
Livestock Management and Development,"Livestock Manage-
ment and Develop-
ment","38,758,222","20,512,000","18,246,222",52.9,306,0
,Sub total,"38,758,222","20,512,000","18,246,222",52.9,306,0
Crop and Land Development,"Crop and Land De-
velopment","97,188,079","43,368,279","53,819,800",44.6,306,0
,Sub total,"97,188,079","43,368,279","53,819,800",44.6,306,0
Fisheries Management and Development,"Fisheries Manage-
ment and Develop-
ment","26,350,017","11,492,805","14,857,212",43.6,306,0
,Sub total,"26,350,017","11,492,805","14,857,212",43.6,306,0
Veterinary Services,Veterinary Services,"23,455,022","12,707,873","10,747,149",54.2,306,0
,Sub total,"23,455,022","12,707,873","10,747,149",54.2,306,0
"WATER, IRRIGATION, ENVIRONMENT AND NATURAL RESOURCES",,,,,,306,0
Water Resources Development and Management,"Water Resources
Development and
Management","495,553,985","74,439,799","421,114,187",15.0,306,0
,Sub total,"495,553,985","74,439,799","421,114,187",15.0,306,0
"General Administration, Planning and Support
Services","General Adminis-
tration, Planning
and Support Ser-
vices","37,431,930","15,570,288","21,861,642",41.6,306,0
,Sub total,"37,431,930","15,570,288","21,861,642",41.6,306,0
"Environment and Natural Resources Conserva-
tion and Management","Environment and
Natural Resources
Conservation and
Management","3,610,241","736,972","2,873,269",20.4,306,0
,Sub total,"3,610,241","736,972","2,873,269",20.4,306,0
"EDUCATION, YOUTH AFFAIRS, GENDER AND SOCIAL SERVICES",,,,,,306,0
"General Administration, Planning and Support
Services","General Adminis-
tration, Planning
and Support Ser-
vices","302,381,817","83,406,884","218,974,933",27.6,306,0
,Sub total,"302,381,817","83,406,884","218,974,933",27.6,306,0
County Pre Primary Education,"County Pre Primary
Education","423,079,150","58,459,360","364,619,790",13.8,306,0
,Sub total,"423,079,150","58,459,360","364,619,790",13.8,306,0
Vocational Education and Training Development,"Vocational Educa-
tion and Training
Development","2,153,117","885,731","1,267,386",41.1,306,0
,Sub total,"2,153,117","885,731","1,267,386",41.1,306,0
,"County Social Secu-
rity and Services","1,638,681","857,464","781,217",52.3,306,0
COUNTY HEALTH SERVICES,,,,,,307,0
"General Administration, Planning and Support
Services","General Adminis-
tration, Planning
and Support Ser-
vices","1,594,453,578","519,845,093","1,074,608,485",32.6,307,0
,Sub total,"1,594,453,578","519,845,093","1,074,608,485",32.6,307,0
Curative and Rehabilitative Health Care Services,"Curative and Re-
habilitative Health
Care Services","845,207,036","263,732,006","581,475,030",31.2,307,0
,Sub total,"845,207,036","263,732,006","581,475,030",31.2,307,0
Preventive and Promotive Health Services,"Preventive and Pro-
motive Health Ser-
vices","173,199,992","88,350,360","84,849,632",51.0,307,0
,Sub total,"173,199,992","88,350,360","84,849,632",51.0,307,0
,,,,,,307,0
"LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT AND HOUSING",,,,,,307,0
"General Administration, Planning and Support
Services","General Adminis-
tration, Planning
and Support Ser-
vices","231,346,561","50,102,210","181,244,351",21.7,307,0
,Sub total,"231,346,561","50,102,210","181,244,351",21.7,307,0
Land Use Planning,Land Use Planning,"3,991,805","1,049,510","2,942,295",26.3,307,0
,Sub total,"3,991,805","1,049,510","2,942,295",26.3,307,0
County Land Administration and Surveying,"County Land Ad-
ministration and
Surveying","4,028,400","1,790,398","2,238,002",44.4,307,0
,Sub total,"4,028,400","1,790,398","2,238,002",44.4,307,0
Housing and Urban Development,"Housing and Urban
Development","53,414,795","538,750","52,876,045",1.0,307,0
,Sub total,"53,414,795","538,750","52,876,045",1.0,307,0
,,,,,,307,0
"ROADS, PUBLIC WORKS, ENERGY AND TRANSPORT",,,,,,307,0
Transport Infrastructure Development,"Transport Infra-
structure Develop-
ment","1,082,710,581","160,976,873","921,733,708",14.9,307,0
,Sub total,"1,082,710,581","160,976,873","921,733,708",14.9,307,0
County Government Building Services,"County Govern-
ment Building Ser-
vices","1,210,930","589,723","621,207",48.7,307,0
,Sub total,"1,210,930","589,723","621,207",48.7,307,0
"General Administration, Planning and Support
Services","General Adminis-
tration, Planning
and Support Ser-
vices","5,917,255","2,614,659","3,302,596",44.2,307,0
,Sub total,"5,917,255","2,614,659","3,302,596",44.2,307,0
,,,,,,307,0
ENTERPRISES AND INDUSTRIAL DEVELOPMENT,,,,,,307,0
"General Administration, Planning and Support
Services","General Adminis-
tration, Planning
and Support Ser-
vices","118,051,779","56,895,420","61,156,360",48.2,307,0
,Sub total,"118,051,779","56,895,420","61,156,360",48.2,307,0
Trade Development and Promotion,"Trade Development
and Promotion","216,449,919","6,532,957","209,916,962",3.0,307,0
,Sub total,"216,449,919","6,532,957","209,916,962",3.0,307,0
"Fair Trade Practices and Consumer Protection
Services","Fair Trade Practices
and Consumer Pro-
tection Services","3,000,000","1,530,000","1,470,000",51.0,307,0
,Sub total,"3,000,000","1,530,000","1,470,000",51.0,307,0
Alcoholic Drinks Control,"Alcoholic Drinks
Control","1,450,000","144,300","1,305,700",10.0,307,0
,Sub total,"1,450,000","144,300","1,305,700",10.0,307,0
Co-operatives Development and Management,"Co-operatives De-
velopment and
Management","2,550,000","871,227","1,678,773",34.2,307,0
,Sub total,"2,550,000","871,227","1,678,773",34.2,307,0
