Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs,"Absorption
.)
(%)",page_number,table_index,Variance (Kshs.),"Absorption
(%)"
-,Sub total,"150,528,784","17,263,509",,,47,0,"133,265,275",11.5
Education and Planning,,,,,,47,0,,
"General Administration, Plan-
ning, Policy Coordination and
Support Services","General Administration, Planning,
Policy Coordination and Support Ser-
vices","1,173,562,669","455,163,452",,,47,0,"718,399,217",39
"Early Childhood Development
and Education","Early Childhood Development and
Education","53,928,298",-,,,47,0,"53,928,298",-
"Vocational Education and Train-
ing",Vocational Education and Training,"162,297,166","70,000,000",,,47,0,"92,297,166",43
Education Support Programme,Education Support Programme,"19,000,000","1,250,000",,,47,0,"17,750,000",7
,Sub total,"1,408,788,133","526,413,452",,,47,0,"882,374,681",37
Tourism,,,,,,47,0,,
General Administration,General Administration,"191,716,261","84,547,160",,,47,0,"107,169,101",44
Feasibility and Appraisal studies,Feasibility and Appraisal studies,"2,000,000",-,,,47,0,"2,000,000",-
"Other infrastructure and civil
works",Other infrastructure and civil works,"14,000,000",-,,,47,0,"14,000,000",-
"Other infrastructure and civil
works",Other infrastructure and civil works,"6,000,000",-,,,47,0,"6,000,000",-
-,Sub total,"213,716,261","84,547,160",,,47,0,"129,169,101",40
,,,,,,47,0,,
"General administration, plan-
ning and support services","General administration, planning
and support services","55,385,873","21,402,779",,,47,0,"33,983,094",38.6
"Land Resource Management and
survey","Land Resource Management and
survey","116,877,797","12,732,674",,,47,0,"104,145,124",10.9
Urban development,Urban development,"309,000,000","167,475,530",,,47,0,"141,524,470",54.2
,Sub total,"481,263,670","201,610,983",,,47,0,"279,652,687",41.9
County Public Service Board,,,,,,47,0,,
"General Administration, plan-
ning and Support Services","General Administration, planning
and Support Services","27,990,760","15,290,376",,,47,0,"12,700,384",55
"Human Resource Management
and Development","Human Resource Management and
Development","6,185,300",-,,,47,0,"6,185,300",-
Governance and National Values,Governance and National Values,"2,400,000",-,,,47,0,"2,400,000",-
,Sub total,"36,576,060","15,290,376",,,48,0,"21,285,684",42
Public Administration,,,,,,48,0,,
"General Administration, Plan-
ning and support services","General Administration, Planning
and support services","322,297,417","181,977,480",,,48,0,"140,319,937",56.5
"Purchase of ICT networking and
Communications Equipment","Purchase of ICT networking and
Communications Equipment","29,670,244","10,895,073",,,48,0,"18,775,171",36.7
"Institutional development and
support services","Institutional development and sup-
port services","9,000,000",-,,,48,0,"9,000,000",-
,Sub total,"360,967,661","192,872,553",,,48,0,"168,095,108",53.4
Housing,,,,,,48,0,,
"General Administration, Plan-
ning and support services","General Administration, Planning
and support services","19,855,883","9,711,380",,,48,0,"10,144,503",49
"Housing development and man-
agement","Housing development and manage-
ment","10,000,000",-,,,48,0,"10,000,000",-
,Sub total,"29,855,883","9,711,380",,,48,0,"20,144,503",33
Finance and Economic planning,,,,,,48,0,,
"General administration ,plan-
ning and support services","General administration ,planning and
support services","1,130,226,504","544,673,263",,,48,0,"585,553,241",48.2
"Integrated Planning & Budgeting
Service","Integrated Planning & Budgeting Ser-
vice",-,-,,,48,0,-,-
Monitoring & Evaluation,Monitoring & Evaluation,"8,072,960","3,374,200",,,48,0,"4,698,760",41.8
"County Public Financial Man-
agement",County Public Financial Management,-,0,,,48,0,-,-
Emergency Fund,Emergency Fund,-,0,,,48,0,-,-
,Sub total,"1,138,299,464","548,047,463",,,48,0,"590,252,001",48.1
Governor/Deputy Governor,,,,,,48,0,,
"General Administration, Plan-
ning and support services","General Administration, Planning
and support services","434,609,527","243,332,448",,,48,0,"191,277,079",56
,Sub total,"434,609,527","243,332,448",,,48,0,"191,277,079",56
County Secretary,,,,,,48,0,,
"General administration ,plan-
ning and support services","General administration, planning and
support services","124,000,000","84,099,226",,,48,0,"39,900,774",67.8
Kenya devolution development,Kenya devolution development,"212,537,789",0,,,48,0,"212,537,789",-
,Sub total,"336,537,789","84,099,226",,,48,0,"252,438,563",25.0
Roads and Public Works,,,,,,48,0,,
"General administration, plan-
ning and support services","General administration, planning and
support services","104,745,457","62,493,535",,,48,0,"42,251,922",59.7
"Public safety and transport oper-
ations",Public safety and transport operations,"5,316,000",-,,,48,0,"5,316,000",-
Building standard and civil works,Building standard and civil works,"2,936,000",-,,,48,0,"2,936,000",-
"Transport and infrastructure de-
velopment and management","Transport and infrastructure develop-
ment and management","1,157,242,695","362,941,213",,,48,0,"794,301,482",31.4
,Sub total,"1,270,240,152","425,434,748",,,48,0,"844,805,404",33.5
,,,,,,48,0,,
"General administration ,plan-
ning and support services","General administration ,planning and
support services","344,009,239","164,804,752",,,48,0,"179,204,488",47.9
"Other Capital grants and trans-
fers-ASDSP and NARGIP","Other Capital grants and trans-
fers-ASDSP and NARGIP","374,314,092","50,780,787",,,48,0,"323,533,305",13.6
infrastructure and civil works,infrastructure and civil works,"79,570,930",-,,,48,0,"79,570,930",-
"Crop development and manage-
ment",Crop development and management,"179,479,070",-,,,48,0,"179,479,070",-
"Livestock resource management
and development","Livestock resource management and
development","43,070,930","21,000,000",,,48,0,"22,070,930",48.8
"Fisheries development and man-
agement","Fisheries development and manage-
ment",-,-,,,48,0,-,-
"Agricultural Institutions and De-
velopment","Agricultural Institutions and Devel-
opment","7,100,000",-,,,48,0,"7,100,000",-
Ward Fund projects,Ward Fund projects,"3,357,452",-,,,48,0,"3,357,452",-
,Sub total,"1,030,901,713","236,585,539",,,48,0,"794,316,175",22.9
"Gender, Youth, Culture and Sports",,,,,,48,0,,
