Programme,Sub- Programme,Approved Budget (Kshs),"Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"0401004210 P1
Preventive and
Promotive Health
Services","0401044210 SP2 Environmental &
Health Promotion","74,608,471","36,268,307","38,340,164",48.6,298,0
,0402014210 SP1 Nutrition,"14,144,518","6,713,890","7,430,628",47.5,298,0
,"0401054210 SP3 Communicable
Disease Control","83,111,734","41,098,598","42,013,136",49.5,298,0
,"0401064210 SP4 Non-communica-
ble Disease Prevention & Control","36,870,936","11,585,329","25,285,607",31.4,298,0
,"0401074210 SP5 Reproductive,
Maternal, Neonatal, child and Ad-
olescent Health","61,112,750","30,493,180","30,619,570",49.9,298,0
,Sub total,"269,848,409","126,159,304","143,689,105",46.8,298,0
"0402004210 P2
Curative Health","0402044210 SP1 County Hospital
and Referral Services","362,609,585","166,983,937","195,625,648",46.1,298,0
,"0402054210 SP2 Free Primary
Health Services","136,200,280","51,290,954","84,909,326",37.7,298,0
,Sub total,"498,809,865","218,274,891","280,534,974",43.8,298,0
"0403004210 P3
General Admin-
istration Planning
and Support Ser-
vices","0403014210 SP1 Health Infrastruc-
ture Development","9,049,174","4,418,300","4,630,874",48.8,298,0
,"0403034210 SP2 Human Resource
Management and Development","74,762,075","46,746,111","28,015,964",62.5,298,0
,"0403044210 SP3 Monitoring and
Evaluation, Research and Devel-
opment","5,025,018","2,066,713","2,958,305",41.1,298,0
,"0403054210 SP4 Health Policy,
Planning & Financing","440,620,345","28,333,689","412,286,656",6.4,298,0
,"0403064210 SP5 Health Standards
and Quality Assurance Services","57,090,371","18,545,619","38,544,752",32.5,298,0
,Sub total,"586,546,983","100,110,432","486,436,551",17.1,298,0
,,,,,,298,0
"Lands, Housing, Physical Planning & Urban Development",,,,,,298,0
280,,,,,,298,0
"0101004210 P1
General Admin-
istration Planning
and Support Ser-
vices","0101014210 SP1 Administration,
Planning and Support Services","56,244,429","9,567,942","46,676,487",17,299,0
,Sub total,"56,244,429","9,567,942","46,676,487",17,299,0
"0102004210 P2
Land policy Plan-
ning and Housing","0102014210 SP1 Land Use Plan-
ning","39,614,274","2,944,750","36,669,524",7.4,299,0
,"0102034210 SP2 Land Survey and
Mapping","41,543,515","3,879,588","37,663,927",9.3,299,0
,"0102044210 SP3 Housing Manage-
ment Services","1,072,214","162,041","910,173",15.1,299,0
,Sub total,"82,230,003","6,986,379","75,243,624",8.5,299,0
"0106004210 P3
Urban Centres Ad-
ministration","0106014210 SP1 Urban Centre
Management","104,531,216","15,088,985","89,442,231",14.4,299,0
,Sub total,"104,531,216","15,088,985","89,442,231",14.4,299,0
,,,,,,299,0
"Roads, Transport & Public Works",,,,,,299,0
"0201004210 P1
General Admin-
istration Planning
and Support Ser-
vices","0201014210 SP1 General Admin-
istration Planning and Support
Services","88,500,707","12,379,823","76,120,884",14,299,0
,"0201034210 SP2 Firefighting Ser-
vices","385,786",-,"385,786",-,299,0
,"0201044210 SP3 Design, Imple-
mentation and Supervision of Pub-
lic Buildings","20,296,380","6,063,990","14,232,390",29.9,299,0
,Sub total,"109,182,873","18,443,813","90,739,060",16.9,299,0
"0202004210 P2
Roads and public
Infrastructure De-
velopment","0202014210 SP1 Construction,
Rehabilitation and Maintenance of
Roads and Bridges","17,794,504",-,"17,794,504",-,299,0
,"0202024210 SP2 Design, Supervi-
sion and Rehabilitation of County
Buildings","10,904,542","3,057,550","7,846,992",28,299,0
,"0202034210 SP3 Street lights Man-
agement","22,956,658","9,073,388","13,883,270",39.5,299,0
,"0202044210 SP4 Public Road
Transport and Parking","628,386,522","2,188,250","626,198,272",0.4,299,0
,Sub total,"680,042,226","14,319,188","665,723,038",2.1,299,0
,,,,,,299,0
"Tourism, Trade, Enterprise Development & Cooperatives",,,,,,299,0
"0301004210 P1
General Admin-
istration Planning
and Support Ser-
vices","0301014210 SP1 General Admin-
istration Planning and Support
Services","47,248,895","6,626,052","40,622,843",14,299,0
,Sub total,"47,248,895","6,626,052","40,622,843",14,299,0
"0302004210 P2
Cooperatives De-
velopment and
Management","0302014210 SP1 Governance and
Accountability","37,027,760","3,396,201","33,631,559",9.2,299,0
,Sub total,"37,027,760","3,396,201","33,631,559",9.2,299,0
"0304004210 P4
Tourism Develop-
ment and Promo-
tion","0304014210 SP1 Tourism Promo-
tion and Marketing","225,010,169","37,886,913","187,123,256",16.8,299,0
,Sub total,"225,010,169","37,886,913","187,123,256",16.8,299,0
"0305004210 P5
Trade Develop-
ment and Promo-
tion","0305014210 SP1 Domestic Trade
Development","53,451,359","15,218,516","38,232,843",28.5,299,0
,Sub total,"53,451,359","15,218,516","38,232,843",28.5,299,0
"0306004210 P6 P1
General Admin-
istration Planning
and Support Ser-
vices","0306014210 SP6 SP1 General Ad-
ministration Planning and Support
Services","15,575,656","6,436,331","9,139,325",41.3,299,0
,Sub total,"15,575,656","6,436,331","9,139,325",41.3,299,0
,,,,,,299,0
"Culture, Social Services, Gender, Sports & Youth Affairs",,,,,,299,0
"0901004210 P1
General Admin-
istration Planning
and Support Ser-
vices","0901014210 SP1 General Admin-
istration Planning and Support
Services","41,315,472","15,962,265","25,353,207",38.6,300,0
,Sub total,"41,315,472","15,962,265","25,353,207",38.6,300,0
"0902004210 P2
Culture and social
Services develop-
ment","0902014210 SP1 Conservation of
Heritage","28,403,600",-,"28,403,600",-,300,0
,"0902024210 SP2 Development and
Promotion of Culture","11,759,858","2,160,867","9,598,991",18.4,300,0
,"0902034210 SP3 Social Welfare and
Gender","75,127,500","15,540,130","59,587,370",20.7,300,0
,"0902044210 SP4 Community Mo-
bilization and Development","10,007,810",-,"10,007,810",-,300,0
,Sub total,"125,298,768","17,700,997","107,597,771",14.1,300,0
"0903004210 P3
Promotion of other
sports activities","0903014210 SP1 Development and
Management of Sports Facilities","30,622,000",-,"30,622,000",-,300,0
,Sub total,"30,622,000",-,"30,622,000",-,300,0
"0503004210 P3
Sports Develop-
ment","0503034210 SP3 Sports Develop-
ment, Training and Competition","37,778,844","7,903,660","29,875,184",20.9,300,0
,Sub total,"37,778,844","7,903,660","29,875,184",20.9,300,0
"0904014210 P1
General Admin-
istration Planning
and Support Ser-
vices","0904004210 SP1 General Admin-
istration Planning and Support
Services","16,786,002","5,719,822","11,066,180",34.1,300,0
,Sub total,"16,786,002","5,719,822","11,066,180",34.1,300,0
,,,,,,300,0
County Assembly,,,,,,300,0
"0707004210 P1
County Assembly
Administration","0707014210 SP1 Legislative and
Oversight","90,428,385","22,431,420","67,996,965",24.8,300,0
,"0707024210 SP2 County Assembly
Administration","258,510,303","97,257,188","161,253,115",37.6,300,0
,0707034210 SP3 Representation,"221,358,346","104,735,725","116,622,621",47.3,300,0
,Sub total,"570,297,034","224,424,333","345,872,701",39.4,300,0
,,,,,,300,0
Grand Total,,"6,802,165,441","1,408,949,119","5,393,216,322",20.7,300,0
