Program,Sub Program,Description,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
729003000,,,"454,079,650","60,227,420","393,852,230",13.3,355,0
,729014110,"Disaster Preparedness
Programmes","2,375,822",-,"2,375,822",-,355,0
,729024110,"Disaster Mitigation Pro-
grammes","2,901,096",-,"2,901,096",-,355,0
,729034110,"Stakeholders coordina-
tion and Support Pro-
gramme","1,713,185",-,"1,713,185",-,355,0
,729044110,"Humanitarian Relief
Food Programme","445,788,999","60,227,420","385,561,579",13.5,355,0
,729064110,Disaster Risk Mgt,"1,300,548",-,"1,300,548",-,355,0
730003000,,,"48,203,287","4,556,105","43,647,182",9.5,355,0
,730044110,"Inspectorate Training In-
stitute","16,700,000","1,417,675","15,282,325",8.5,355,0
,730054110,Dispute Resolution,"4,000,000",-,"4,000,000",-,355,0
,730064110,Enforcement,"8,103,287","460,000","7,643,287",5.7,355,0
,730074110,Capacity Building,"5,700,000","426,900","5,273,100",7.5,355,0
,730084110,Inspectorate Services,"6,000,000","331,100","5,668,900",5.5,355,0
,730094110,"Inspectorate Services
Equip","7,700,000","1,920,430","5,779,570",24.9,355,0
731003000,,,"33,601,644","2,559,120","31,042,524",7.6,355,0
,731014110,"Payroll and record man-
agement","1,400,000",-,"1,400,000",-,355,0
,731024110,"Human Resource Devel-
opment","7,000,000","1,350,420","5,649,580",19.3,355,0
,731034110,"GHRIS Leave & Perfor-
mance Module Imple-
mentation","3,900,000","727,300","3,172,700",18.6,355,0
,731044110,"Digitization and Auto-
mation of Human Re-
source Registry","2,650,000","319,000","2,331,000",12.0,355,0
,731054110,"Mainstreaming Public
Sector Integrity Pro-
gramme","4,800,000",-,"4,800,000",-,355,0
,731064110,"County performance
management","4,800,000",-,"4,800,000",-,355,0
,731074110,Public Service Week,"4,550,000",-,"4,550,000",-,355,0
,731094110,Records Mgt,"1,500,548",-,"1,500,548",-,355,0
,731104110,HRM,"3,001,096","162,400","2,838,696",5.4,355,0
735003000,,,"17,200,000","1,128,750","16,071,250",6.6,355,0
,735014110,Govt Programming,"6,500,000","218,700","6,281,300",3.4,355,0
,735024110,Community Engagement,"3,000,000","302,898","2,697,102",10.1,355,0
,735034110,"Govt Stakeholder En-
gagement","3,700,000","432,000","3,268,000",11.7,355,0
,735044110,Govt Transformation,"4,000,000","175,152","3,824,848",4.4,355,0
901003000,,,"57,561,495","15,485,352","42,076,143",26.9,355,0
,901014110,"General Administration,
Planning and Support
Services","57,561,495","15,485,352","42,076,143",26.9,355,0
902003000,,,"13,119,211","1,082,495","12,036,716",8.3,355,0
,902014110,"Tourism expos, incen-
tives, conferences and
exhibition program","3,500,001","942,695","2,557,306",26.9,355,0
,902024110,"Community Based Tour-
ism products","2,200,000","139,800","2,060,200",6.4,356,0
,902054110,"Media Campaign and
Promotion of Tour-
ism Products and Pro-
grammes","7,419,210",-,"7,419,210",-,356,0
903003000,,,"12,400,000",-,"12,400,000",-,356,0
,903014110,"Completion and Furnish-
ing of Eco-Lodges","8,000,000",-,"8,000,000",-,356,0
,903024110,"Phase II of Renovation of
Tourism Infrastructure","1,500,000",-,"1,500,000",-,356,0
,903034110,Tourism Products,"2,900,000",-,"2,900,000",-,356,0
904003000,,,"167,174,234","8,078,866","159,095,368",4.8,356,0
,904014110,Ushanga Initiative,"37,800,000","190,860","37,609,140",0.5,356,0
,904024110,"Culture Promotion and
Preservation","84,700,756","288,255","84,412,501",0.3,356,0
,904034110,"Arts and Creativity De-
velopment","3,073,478",-,"3,073,478",-,356,0
,904044110,Heritage Promotion,"6,600,000","407,925","6,192,075",6.2,356,0
,904054110,"Annual tourism and cul-
tural festival","35,000,000","7,191,826","27,808,174",20.5,356,0
905003000,,,"15,400,000",-,"15,400,000",-,356,0
,905014110,"Equipment and Infra-
structure Development at
Ekalees Centre","15,400,000",-,"15,400,000",-,356,0
906003000,,,"38,709,835","760,268","37,949,568",2.0,356,0
,906014110,"Forestry Management
and Conservation","3,826,370","684,600","3,141,770",17.9,356,0
,906024110,"Community Wildlife
Conservation","16,182,370","75,668","16,106,703",0.5,356,0
,906054110,"Forestry Development
Infrastructure","13,500,000",-,"13,500,000",-,356,0
,906084110,Forestry Protection,"2,701,095",-,"2,701,095",-,356,0
,906094110,Prosopis Mgt,"2,500,000",-,"2,500,000",-,356,0
1001003000,,,"377,108,533","687,597","376,420,936",0.2,356,0
,1001014110,"General Administration,
Planning and support
services","70,000,000",-,"70,000,000",-,356,0
,1001024110,"Construction and Desilt-
ing of Water Pans/Rock
Catchment","117,600,000",-,"117,600,000",-,356,0
,1001034110,"Rehabilitation of Water
Infrastructure","52,500,000","486,257","52,013,743",0.9,356,0
,1001044110,"Drilling and Equipping of
Boreholes","125,382,163",-,"125,382,163",-,356,0
,1001084110,"Equipment of Quality
Analysis Laboratory","8,000,000",-,"8,000,000",-,356,0
,1001094110,"Project Coordination and
Management","3,626,370","201,340","3,425,030",5.6,356,0
1002003000,,,"10,853,404","61,840","10,791,564",0.6,356,0
,1002014110,"Technical planning and
design","2,053,404","9,090","2,044,314",0.4,356,0
,1002144110,Drought Mitigation,"8,800,000","52,750","8,747,250",0.6,356,0
1003003000,,,"25,205,109","775,320","24,429,789",3.1,356,0
,1003014110,"Feasibility studies for
irrigation systems devel-
opment","25,205,109","775,320","24,429,789",3.1,356,0
1004003000,,,"17,482,005","269,770","17,212,235",1.5,356,0
,1004014110,Farmers training,"6,798,601","213,160","6,585,441",3.1,356,0
